"","Seed1","Seed2","Seed3","Seed4","Seed5","Seed6","Seed7","Seed8","Seed9","Seed10"
"Percent1",0.729166666666667,0.723958333333333,1,1,0.833333333333333,1,0.833333333333333,0.6875,1,0.895833333333333
"Percent2",0.80828857421875,0.802642822265625,0.751800537109375,0.598012288411458,0.567789713541667,0.922709147135417,0.945556640625,0.851155598958333,0.518310546875,0.8209228515625
"Percent3",0.970967610677083,0.922139485677083,0.839518229166667,1,0.844950358072917,0.8040771484375,0.901285807291667,0.980224609375,0.982889811197917,0.784718831380208
"Percent4",1,0.914306640625,1,1,1,1,1,1,0.987650553385417,1
"Percent5",1,1,1,1,1,1,1,1,0.988911946614583,1
"Percent6",1,1,1,1,1,1,1,1,0.99468994140625,1
"Percent7",1,1,1,1,1,1,1,1,1,1
"Percent8",1,1,1,1,1,1,1,1,1,1
"Percent9",1,1,1,1,1,1,1,1,1,1
"Percent10",1,1,1,1,1,1,1,1,1,1
