,Seed1,Seed2,Seed3,Seed4,Seed5,Seed6,Seed7,Seed8,Seed9,Seed10
1,0.5,0.776785714,0.785714286,0.529017857,0.678571429,0.5,0.785714286,0.879464286,0.5,0.517857143
2,0.65625,0.674455915,0.414620536,0.426217215,0.525948661,0.605887277,0.900041853,0.759504046,0.753888811,0.928571429
3,0.881696429,0.883039202,0.830705915,0.853376116,0.851388114,0.708984375,0.672223772,0.937953404,0.531598772,0.965576172
4,0.926583426,0.942121233,0.994035993,0.958757673,0.947474888,0.666102818,1,0.97769601,0.644321987,0.991908482
5,0.973318917,0.930908203,1,0.932756696,0.934953962,1,1,0.993024554,1,1
6,0.965053013,0.95186942,1,0.990373884,0.893484933,1,1,1,1,1
7,0.97781808,0.983398438,1,1,1,1,1,1,1,1
8,0.989362444,1,1,1,1,1,1,1,1,1
9,0.980503627,1,1,1,1,1,1,1,1,1
10,0.980643136,1,1,1,1,1,1,1,1,1
11,0.980364118,1,1,1,1,1,1,1,1,1
12,0.979073661,1,1,1,1,1,1,1,1,1
13,0.979387556,1,1,1,1,1,1,1,1,1
14,0.979527065,1,1,1,1,1,1,1,1,1
15,0.979527065,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1
