"AUC","Node","Percent"
"0.5","x3","1"
"0.776785714","x3","1"
"0.785714286","x3","1"
"0.529017857","x3","1"
"0.678571429","x3","1"
"0.5","x3","1"
"0.785714286","x3","1"
"0.879464286","x3","1"
"0.5","x3","1"
"0.517857143","x3","1"
"0.65625","x3","2"
"0.674455915","x3","2"
"0.414620536","x3","2"
"0.426217215","x3","2"
"0.525948661","x3","2"
"0.605887277","x3","2"
"0.900041853","x3","2"
"0.759504046","x3","2"
"0.753888811","x3","2"
"0.928571429","x3","2"
"0.881696429","x3","3"
"0.883039202","x3","3"
"0.830705915","x3","3"
"0.853376116","x3","3"
"0.851388114","x3","3"
"0.708984375","x3","3"
"0.672223772","x3","3"
"0.937953404","x3","3"
"0.531598772","x3","3"
"0.965576172","x3","3"
"0.926583426","x3","4"
"0.942121233","x3","4"
"0.994035993","x3","4"
"0.958757673","x3","4"
"0.947474888","x3","4"
"0.666102818","x3","4"
"1","x3","4"
"0.97769601","x3","4"
"0.644321987","x3","4"
"0.991908482","x3","4"
"0.973318917","x3","5"
"0.930908203","x3","5"
"1","x3","5"
"0.932756696","x3","5"
"0.934953962","x3","5"
"1","x3","5"
"1","x3","5"
"0.993024554","x3","5"
"1","x3","5"
"1","x3","5"
"0.965053013","x3","6"
"0.95186942","x3","6"
"1","x3","6"
"0.990373884","x3","6"
"0.893484933","x3","6"
"1","x3","6"
"1","x3","6"
"1","x3","6"
"1","x3","6"
"1","x3","6"
"0.97781808","x3","7"
"0.983398438","x3","7"
"1","x3","7"
"1","x3","7"
"1","x3","7"
"1","x3","7"
"1","x3","7"
"1","x3","7"
"1","x3","7"
"1","x3","7"
"0.989362444","x3","8"
"1","x3","8"
"1","x3","8"
"1","x3","8"
"1","x3","8"
"1","x3","8"
"1","x3","8"
"1","x3","8"
"1","x3","8"
"1","x3","8"
"0.980503627","x3","9"
"1","x3","9"
"1","x3","9"
"1","x3","9"
"1","x3","9"
"1","x3","9"
"1","x3","9"
"1","x3","9"
"1","x3","9"
"1","x3","9"
"0.980643136","x3","10"
"1","x3","10"
"1","x3","10"
"1","x3","10"
"1","x3","10"
"1","x3","10"
"1","x3","10"
"1","x3","10"
"1","x3","10"
"1","x3","10"
"0.980364118","x3","11"
"1","x3","11"
"1","x3","11"
"1","x3","11"
"1","x3","11"
"1","x3","11"
"1","x3","11"
"1","x3","11"
"1","x3","11"
"1","x3","11"
"0.979073661","x3","12"
"1","x3","12"
"1","x3","12"
"1","x3","12"
"1","x3","12"
"1","x3","12"
"1","x3","12"
"1","x3","12"
"1","x3","12"
"1","x3","12"
"0.979387556","x3","13"
"1","x3","13"
"1","x3","13"
"1","x3","13"
"1","x3","13"
"1","x3","13"
"1","x3","13"
"1","x3","13"
"1","x3","13"
"1","x3","13"
"0.979527065","x3","14"
"1","x3","14"
"1","x3","14"
"1","x3","14"
"1","x3","14"
"1","x3","14"
"1","x3","14"
"1","x3","14"
"1","x3","14"
"1","x3","14"
"0.979527065","x3","15"
"1","x3","15"
"1","x3","15"
"1","x3","15"
"1","x3","15"
"1","x3","15"
"1","x3","15"
"1","x3","15"
"1","x3","15"
"1","x3","15"
"1","x3","16"
"1","x3","16"
"1","x3","16"
"1","x3","16"
"1","x3","16"
"1","x3","16"
"1","x3","16"
"1","x3","16"
"1","x3","16"
"1","x3","16"
"1","x3","17"
"1","x3","17"
"1","x3","17"
"1","x3","17"
"1","x3","17"
"1","x3","17"
"1","x3","17"
"1","x3","17"
"1","x3","17"
"1","x3","17"
