"","Intercept","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10"
"G1",60.4710252266563,-19.2754015740584,-20.6906021108042,-20.1797741617407,19.6404135960386,-62.4075385984224,0.550219011206029,19.53850090322,0.904372549938353,-19.7862295231233,0.145815964267457
"G2",98.2910418147672,-47.9726927782148,-41.2341080718756,-45.3929704021816,9.87926148006988,5.159444766646,21.6406903925579,-30.0954585080121,-2.5797223790446,-43.8138304509202,-19.1975685796167
"G3",37.4345974775376,1.2638616310397,-38.2200097409833,-18.6702760879983,18.1431988664855,-39.8682754178443,0.537885496983032,18.0441411427078,19.9341376949347,-18.2858720219453,0.142673176327203
"G4",25.5660714658865,-6.26244197644704e-09,-2.21322829516069e-06,-2.21061068775523e-06,-2.20526975398072e-06,-2.21431456392607e-06,2.50698949299902e-10,-51.1321377723491,2.21138070887342e-06,-4.17400596904306e-10,2.20941422407059e-06
"G5",-25.566066315035,-2.20680748159636e-06,-6.82685270352972e-10,-2.30793199208361e-09,51.1321355792055,51.1321355656782,6.20047878082456e-10,1.09281728058115e-09,-51.1321377833389,-1.01902976647012e-09,2.20481602011025e-06
"G6",-35.2473723780982,17.5871066306445,0.508278320272729,18.4680528087188,37.9775490582487,17.587106719338,19.7582814993568,-0.621453123850179,-0.880946277975627,-0.372667874829723,-37.6048812336145
"G7",23.6150071282352,-0.0787171138791353,-0.384386849633256,-0.117699392773642,-47.168289606522,-0.0787171138793474,-48.9846591451127,1.58866436062554,0.0389822788945174,-0.345404570738775,47.5136941772607
"G8",25.5660693110949,3.10150696871222e-08,-2.19451200979382e-06,3.40866390661168e-08,-2.58712202559653e-06,51.1321355963369,-2.43718390947061e-08,-51.1321378940009,-51.1321333676513,3.59668968166387e-09,2.73930313120761e-07
"G9",-39.5181032239209,41.0521583279491,-40.8911311018632,-21.9715336309744,143.548745240616,-2.07997873397099,-1.12858999591529,40.297420433199,1.03998939504447,-39.8511417375816,-60.5654664718823
"G10",-59.4072623667946,20.2073314435209,21.5570121234333,21.1606033938673,-21.8102474364144,20.2073314062818,39.6053960314589,-61.9725066887733,-0.953271913226899,20.6037401728632,1.20650726337011
