"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.5197363768424413	0.5421640339578954	0.23015105902654368	0.5528721627240915	0.4725686818388429	0.9998014074852546	0.1732457143764282	0.3374404928185036	1.0	0.9972523029581376
"G1(+/-)"	0.25986844077288374	0.5282804160513904	0.1688876711412548	0.5546228386470482	0.4991042114976334	0.9983107688398752	0.32319805303256594	0.388933420366281	1.0	0.9980971914187857
"G2(+/-)"	0.5197364531328763	0.2710820184065756	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.33744045839228376	1.0	0.9972523019304944
"G3(+/-)"	0.5197364531328763	0.5421640368131512	0.11507554556122629	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.33744045839228376	1.0	0.9972523019304944
"G4(+/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.27643607931396885	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.33744045839228376	1.0	0.9972523019304944
"G5(+/-)"	0.5197368815532389	0.5421640528312949	0.2580790059126552	0.4928370113114682	0.23628429811180254	0.999801796556427	0.45392376208829804	0.41820439594133446	1.0	0.7742602568799033
"G6(+/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.4999007052168577	0.17324568899964324	0.33744045839228376	1.0	0.9972523019304944
"G7(+/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.08662284449982162	0.33744045839228376	1.0	0.9972523019304944
"G8(+/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.16872022919614188	1.0	0.9972523019304944
"G9(+/-)"	0.5197163905555838	0.5421637278826524	0.23051688792308836	0.5519100946827226	0.45771101225958755	0.9998014069174382	0.17664704943863518	0.33966357693489607	0.5	0.9965943282908662
"G10(+/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.33744045839228376	1.0	0.4986261509652472
