"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.5197363768424413	0.5421640339578954	0.23015105902654368	0.5528721627240915	0.4725686818388429	0.9998014074852546	0.1732457143764282	0.3374404928185036	1.0	0.9972523029581376
"G1(-/-)"	0.0	0.09142407290630335	6.932584801096392E-4	0.7646928942840069	0.6996325731810471	0.0042590494982173	1.0	0.6654708527621993	1.0	0.9998044326846399
"G2(-/-)"	0.5197364531328763	0.0	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.33744045839228376	1.0	0.9972523019304944
"G3(-/-)"	0.5197364531328763	0.5421640368131512	0.0	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.33744045839228376	1.0	0.9972523019304944
"G4(-/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.0	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.33744045839228376	1.0	0.9972523019304944
"G5(-/-)"	0.5197368815569678	0.5421640528314342	0.9758559752033159	0.314304188016665	0.0	0.9999999998428775	1.0	0.5870759061653815	1.0	0.03745776532206195
"G6(-/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.0	0.17324568899964324	0.33744045839228376	1.0	0.9972523019304944
"G7(-/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.0	0.33744045839228376	1.0	0.9972523019304944
"G8(-/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.0	1.0	0.9972523019304944
"G9(-/-)"	0.03947486798006865	0.1972465311197484	0.009326086069491684	0.5723187827082561	0.34265032330628964	0.6365368981398468	0.9181088767049765	0.6792628528712974	0.0	0.9765185660139964
"G10(-/-)"	0.5197364531328763	0.5421640368131512	0.23015109112245258	0.5528721586279377	0.47256866889965593	0.9998014104337154	0.17324568899964324	0.33744045839228376	1.0	0.0
