"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.519734051508465	0.542164004344045	0.23015077082789168	0.552872274526974	0.4725689170783688	0.9998013773196851	0.17324589412949512	0.3374410536709657	1.0	0.9972523128545988
"G1(+/-)"	0.2598684407438216	0.528280419719032	0.16888822407565368	0.5546223828011989	0.49910409830969577	0.9983108056388538	0.32319805488531544	0.38893302625975273	1.0	0.9980971883681696
"G2(+/-)"	0.519734475118401	0.2710820058790089	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.3374409299008402	1.0	0.9972523104800194
"G3(+/-)"	0.519734475118401	0.5421640117580178	0.11507542216229738	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.3374409299008402	1.0	0.9972523104800194
"G4(+/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.2764361285254624	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.3374409299008402	1.0	0.9972523104800194
"G5(+/-)"	0.5197368815314682	0.5421640528310417	0.25807892787083747	0.49283953976023404	0.2362842981128707	0.9998017965529271	0.4539237619809202	0.4182041523435465	1.0	0.7742602692181362
"G6(+/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.49990069244346114	0.17324584157651787	0.3374409299008402	1.0	0.9972523104800194
"G7(+/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.08662292078825894	0.3374409299008402	1.0	0.9972523104800194
"G8(+/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.1687204649504201	1.0	0.9972523104800194
"G9(+/-)"	0.5197164065566939	0.5421637281039571	0.23051673334713293	0.5519124114423816	0.4577120406922589	0.9998014069543483	0.17664699029488476	0.3396624123990096	0.5	0.9965943911892758
"G10(+/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.3374409299008402	1.0	0.4986261552400097
