"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.5668249389728646	0.5611375885111285	1.0	0.006625626146706856	0.5999343087972274	1.0	0.5125566654575084	0.5096344692706927	0.9996191231962761	1.0
"G1(-/-)"	0.0	0.9999999999669119	1.0	0.4289411929474891	0.3081824144444293	1.0	0.5125853672238211	0.5096338734139744	0.749746966402185	1.0
"G2(-/-)"	0.5668249389728646	0.0	1.0	0.006625625996212521	0.5999343087972294	1.0	0.512556663952991	0.5096344693415275	0.9996191236907712	1.0
"G3(-/-)"	1.0	0.5395399071670639	0.0	0.0018833232126021166	0.7938207170052131	1.0	0.512553858602567	0.5096345277779414	0.9999603329091928	1.0
"G4(-/-)"	0.5668249389728646	0.5611375884692457	1.0	0.0	0.5999343087972343	1.0	0.5125566574665146	0.5096344696469253	0.9999999327913794	1.0
"G5(-/-)"	0.5668249389728646	0.5611375884692426	1.0	0.006625625454451134	0.0	1.0	0.9999995803922375	0.5060152367220744	0.9996191255193958	1.0
"G6(-/-)"	0.5668249389728645	0.5611375884692426	1.0	0.3046387846197759	0.5999343087972343	0.0	0.5125566574610879	0.5096344696471807	0.8087037837824188	1.0
"G7(-/-)"	0.5668249389728645	0.5611375884692426	1.0	0.006625625454451373	0.5999343087972343	1.0	0.0	0.9999999999062401	0.9996191255193949	1.0
"G8(-/-)"	0.5668249389728646	0.5611375885012841	1.0	0.006625625996212521	0.5999343087972294	1.0	0.512556663952991	0.0	0.9996191236907712	1.0
"G9(-/-)"	0.5668249389728646	0.5611375885012841	1.0	0.006625625996212521	0.5999343087972294	1.0	0.512556663952991	0.5096344693415275	0.0	1.0
"G10(-/-)"	0.5668249389728646	0.5611375884692426	1.0	0.006625625454451134	0.5999343087972343	1.0	0.9999995803922375	0.5060152367220744	0.9996191255193958	0.0
