"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.5668249403651769	0.561137588930316	1.0	0.006625627542806183	0.5999343087972104	1.0	0.5125567423485059	0.5096344830109257	0.9996130639162237	1.0
"G1(+/-)"	0.2834124694864329	0.604054244230567	1.0	0.02951130770081277	0.49884524648095885	1.0	0.5125601707423165	0.5096343966929546	0.9944841256348086	1.0
"G2(+/-)"	0.5668249400778024	0.28056879441155436	1.0	0.006625627088807629	0.5999343087972171	1.0	0.5125567267052648	0.5096344804416396	0.9996138753046411	1.0
"G3(+/-)"	0.611607888703463	0.5576290626367418	0.5	0.005603408470072972	0.6024274557335826	1.0	0.5125565977742114	0.5096344708858004	0.9997176838181654	1.0
"G4(+/-)"	0.5668249389737176	0.5611375884693359	1.0	0.0033128127276349072	0.5999343087972341	1.0	0.5125566575816329	0.5096344696613515	0.999884016845956	1.0
"G5(+/-)"	0.5668249389900896	0.5611375884722252	1.0	0.006625625474270937	0.29996715439861704	1.0	0.512585428872314	0.5096339230764287	0.9996187305486072	1.0
"G6(+/-)"	0.5668249389865343	0.5611375884715287	1.0	0.00662685800482136	0.5999343087972341	0.5	0.5125566588819654	0.5096344698328483	0.9996186847070274	1.0
"G7(+/-)"	0.5668249389728856	0.5611375884692439	1.0	0.006625625454467295	0.5999343087972341	1.0	0.2562783287327671	0.5274822573281467	0.9996191194094382	1.0
"G8(+/-)"	0.5668249400778024	0.5611375888231087	1.0	0.006625627088807629	0.5999343087972171	1.0	0.5125567267052648	0.2548172402208198	0.9996138753046411	1.0
"G9(+/-)"	0.5668249400778024	0.5611375888231087	1.0	0.006625627088807629	0.5999343087972171	1.0	0.5125567267052648	0.5096344804416396	0.49980693765232054	1.0
"G10(+/-)"	0.5668249389837128	0.5611375884709947	1.0	0.006625625466590104	0.5999343087972341	1.0	0.5125987350499988	0.5096336509772941	0.9996188292372379	0.5
