"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
"wt"	1.0	0.9636868189686125	0.622719372630907	0.9842759497230863	0.5314649698112752	0.5647361369534714	0.5082921978921359	0.45928355520957004	0.5111360771515622	0.03583664721275437	5.307805784734353E-4	0.11349317803105166	0.9999999995338167	0.02372062375440095	0.6921337509888438	0.5616350114024701	0.10104408697060177	1.0	0.5050092313931756	1.0	0.5606357940529596	0.49219173262425714	0.5279366123758035	0.4797308225497703	0.8998317211884655	0.5531335852704703	0.9998039746828028	0.2192500499816007	1.0	0.12179919606015296	0.9295224798735431	0.019158629546453594	0.6790175960622038	0.32664271365017944	0.7893184825607702	0.4473492583388795	0.3310006667416057	1.0	0.9577785417295192	1.0	0.752283466256213	0.06498700938203646	0.12595313321905655	0.4931165281592597	1.0	1.0	0.535018765338995	0.04445684748216195	0.044805816061728565	0.09192872510257707	0.6297674804108792	0.8213668502537068	0.5882801771871914	0.12782154302319457	0.529170005634737	0.5170035951508443	0.4883138062876979	0.3218654269953483	0.8582394061281621	1.0	0.37916637793435565	0.7730805467350147	0.517749583423842	0.2055922148219216	0.46218844999330355	0.9997798652385959	0.6151563063141204	0.5037900375589258	0.4440723604044454	0.46110093429174703	1.0	0.0649393823940337	0.732359538211901	0.17881985136141618	0.07031407510168096	0.5352600016081673	0.02506724110835618	0.7496717298295505	0.999993836276219	1.0	0.3103305088087382	0.28808329892377066	0.74449949476938	0.06108770977312637	1.0	0.4452630237550335	1.0	1.0	0.5112026323701355	0.03543060107451264	0.09659972732174253	0.1042962360532921	0.39789837289473723	0.3349116618078631	0.7405317197968875	0.5324123584676009	1.0	0.29431196942188564	3.10721890570813E-5	0.013917578793244715
"G1(+/-)"	0.5	0.770625513537922	0.6403313906690632	0.9631639051200992	0.5314648568237318	0.5647360551469044	0.5082921956547473	0.4592835017281477	0.5111360771396709	0.03583664721166462	5.307805784853919E-4	0.11349317804019028	0.999999999724056	0.023720612369822366	0.6921341691571364	0.5616350119612477	0.10104408744836206	1.0	0.5050092193227833	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758035	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828006	0.2192500457770032	1.0	0.12179919605991062	0.9295224840885004	0.019158628257542186	0.6790175967166415	0.3266427106903723	0.789318483194298	0.4473492523250443	0.33100067253255716	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.04445684738404243	0.04480581603943824	0.0919287248310403	0.6297674944802648	0.821366857219336	0.5882801771886187	0.1278215409582589	0.5291700056707643	0.5170035951530386	0.4883138037789865	0.32186561377699846	0.8582391256454805	1.0	0.3791663792207065	0.7730805467348814	0.5177495834156708	0.20559244887916556	0.4621913497687469	0.999779866995136	0.6151563063129836	0.503790037201253	0.44407236031262576	0.46110276524739874	1.0	0.0649393823916331	0.7323595345807732	0.17881982515369152	0.07031407408467745	0.5352600016105928	0.025067241111532575	0.7492961288663723	0.9999938362946148	1.0	0.3103305083406728	0.288083299148918	0.7444994950573566	0.061087709784509725	1.0	0.44521421075483586	1.0	1.0	0.5112026327700606	0.035430540607688	0.09659972723532165	0.10429621909750635	0.39789837299351327	0.3349116617828892	0.7405319629095038	0.5324117649358723	1.0	0.29431196940926685	3.110864905950753E-5	0.013917578446285708
"G2(+/-)"	1.0	0.48184341110370094	0.6888376047297573	0.8089988356927386	0.5314639871471066	0.5647354254230749	0.5082921956548173	0.45928309082352137	0.5111360771396709	0.03583664720327715	5.307805785769824E-4	0.11349317811032572	0.9999999997240527	0.023720612370453704	0.692134169133317	0.5616350119612281	0.10104408744833208	1.0	0.505009219323847	1.0	0.5606357940364821	0.4921917326680373	0.5279366123758035	0.47973082260756456	0.8998317214582572	0.5531335852845999	0.9998039746828006	0.21925004577716578	1.0	0.12179919605991062	0.9295224840883913	0.019158628257572856	0.6790175967166204	0.3266427106904017	0.7893184831942807	0.44734925232524686	0.3310006725325056	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.49311652818792384	1.0	1.0	0.5350187653483532	0.04445684738406073	0.04480581603943927	0.09192872483104818	0.6297674944797463	0.8213668572190226	0.5882801771886187	0.12782154095829734	0.5291700056707643	0.5170035951530386	0.4883138037791177	0.3218656137496458	0.858239125697452	1.0	0.37916637922068086	0.7730805467348814	0.5177495834156712	0.20559244883574362	0.46219134922625443	0.9997798669950985	0.6151563063129836	0.5037900372012609	0.4440723603126263	0.4611027649059356	1.0	0.0649393823916331	0.7323595345808231	0.1788198251575153	0.07031407408471087	0.5352600016105928	0.025067241111532558	0.745996071800816	0.9999938362946148	1.0	0.3103305083406753	0.28808329914891356	0.7444994950573509	0.06108770978035404	1.0	0.44478329617079937	1.0	1.0	0.5112026327700564	0.03543054061899218	0.09659972723532198	0.10429621909834491	0.39789837299351294	0.3349116617828892	0.740534125182826	0.5324064949685807	1.0	0.29431196940926685	3.1437029063953044E-5	0.01391757844628848
"G3(+/-)"	1.0	0.9636868195055138	0.31135968631444283	0.9842759497355908	0.5314649698112806	0.5647361369546856	0.508292197524255	0.45928355519865444	0.5111360771491812	0.03583664721275458	5.307805784734426E-4	0.11349317803105584	0.9999999995685884	0.023720621980744594	0.6921338156945485	0.5616350114956369	0.10104408703971118	1.0	0.5050092295978641	1.0	0.5606357940498475	0.49219173263228444	0.5279366123758035	0.47973082256044725	0.8998317212379177	0.5531335852733023	0.9998039746828021	0.2192500493035177	1.0	0.12179919606010664	0.9295224805761858	0.01915862932919123	0.6790175961728051	0.3266427131197682	0.7893184826661834	0.4473492573746407	0.33100066778387893	1.0	0.9577785417352518	1.0	0.7522834662558772	0.06498700938201053	0.1259531332190496	0.4931165281645441	1.0	1.0	0.5350187653408813	0.04445684746869429	0.044805816058149324	0.09192872505485654	0.6297674826371203	0.8213668513430212	0.5882801771874742	0.1278215426474484	0.5291700056415412	0.5170035951513045	0.4883138058944024	0.32186545327558974	0.8582393675710004	1.0	0.37916637815027987	0.7730805467349878	0.5177495834223675	0.20559224698182307	0.46218884709139346	0.999779865537502	0.6151563063138794	0.503790037498348	0.4440723603876867	0.46110118543802536	1.0	0.0649393823935264	0.7323595376005378	0.17881984766876352	0.07031407493774267	0.5352600016085735	0.02506724110893736	0.7496717298264955	0.99999383628005	1.0	0.31033050872073636	0.28808329896147944	0.7444994948189622	0.061087709775213106	1.0	0.44526302376440635	1.0	1.0	0.511202632441671	0.035430592791027476	0.09659972730508738	0.1042962333869941	0.3978983729134008	0.3349116618030413	0.740531719761929	0.532412358463042	1.0	0.29431196941939886	3.107209058366678E-5	0.013917578729232574
"G4(+/-)"	1.0	0.9636868222067377	0.6050053107058738	0.4921379748930831	0.5314649698112957	0.5647361369592377	0.5082921956553138	0.45928355511518903	0.511136077139671	0.03583664721275433	5.307805784734906E-4	0.11349317803107832	0.9999999997240393	0.023720612374414852	0.6921341689841167	0.5616350119610962	0.10104408744813674	1.0	0.5050092193299173	1.0	0.5606357940364833	0.492191732668034	0.5279366123758035	0.4797308226075605	0.8998317214582363	0.5531335852845999	0.9998039746828006	0.21925004577826346	1.0	0.12179919605991062	0.9295224840875879	0.019158628257801485	0.6790175967164831	0.3266427106906651	0.7893184831941539	0.447349252326686	0.33100067253202425	1.0	0.9577785417589287	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.49311652818792173	1.0	1.0	0.5350187653483531	0.04445684738415022	0.04480581603944558	0.09192872483110019	0.6297674944760883	0.8213668572169166	0.5882801771886187	0.12782154095856849	0.5291700056707623	0.5170035951530386	0.4883138037799508	0.32186561360888366	0.8582391259517118	1.0	0.37916637922047547	0.7730805467348814	0.5177495834156716	0.20559244862331924	0.4621913465730334	0.999779866994813	0.6151563063129836	0.5037900372013222	0.4440723603126332	0.4611027632358407	1.0	0.06493938239163319	0.7323595345813051	0.17881982517719558	0.07031407408495055	0.5352600016105925	0.025067241111532326	0.73343421547046	0.9999938362946147	1.0	0.31033050834070286	0.28808329914887787	0.7444994950573081	0.06108770973893212	1.0	0.4431086809464386	1.0	1.0	0.5112026327700169	0.035430540674279115	0.09659972723532603	0.1042962191037402	0.39789837299350755	0.33491166178289017	0.740542778661562	0.532385486674598	1.0	0.29431196940926724	3.273799514379272E-5	0.013917578446314267
"G5(+/-)"	1.0	0.9636868222074889	0.6227193726205414	0.9842759497861677	0.2657324849056478	0.32563205146194957	0.5082921956547514	0.32088223119618686	0.5111360771396709	0.03582952639415169	5.308793453557541E-4	0.11352877850400246	0.999999991971923	0.023720612369860707	0.6921341691556888	0.5616350119612467	0.10104408744836028	1.0	0.5050092193228517	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758032	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828004	0.21925004577701263	1.0	0.12179919605991062	0.9295224840884945	0.019158628257543858	0.6790175967166402	0.3266427106903737	0.7893184831942973	0.44734925232505574	0.3310006725325548	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.04445684738404372	0.044805816039438284	0.09192872483104074	0.6297674944802357	0.8213668572193179	0.5882801771886187	0.12782154095826115	0.5291700056707643	0.5170035951530386	0.48831380377899425	0.3218656137751267	0.8582391256491457	1.0	0.3791663792207052	0.7730805467348814	0.5177495834156708	0.20559244887610345	0.46219134973048676	0.999779866995134	0.6151563063129836	0.5037900372012535	0.44407236031262576	0.4611027652233167	1.0	0.0649393823916331	0.7323595345807753	0.17881982515395314	0.07031407408467931	0.5352600016105928	0.025067241111532575	0.7496717298139166	0.9999938362946148	1.0	0.3103305083406729	0.2880832991489177	0.7444994950573562	0.061087709784873656	1.0	0.4452630238064624	1.0	1.0	0.5112026327700604	0.03543054060848525	0.09659972723532165	0.10429621909755647	0.39789837299351327	0.3349116617828892	0.7405317196022377	0.532412358443801	1.0	0.29431196940926685	3.107160835268368E-5	0.013917578446285836
"G6(+/-)"	1.0	0.9636868195055138	0.6227193726288857	0.9842759497355908	0.5314649698112806	0.2823680684773428	0.508292197524255	0.45928355519865444	0.5111360771491812	0.03583664721275458	5.307805784734426E-4	0.11349317803105584	0.9999999991050285	0.023720621980744594	0.6921338156945485	0.5616350114956369	0.10104408703971118	1.0	0.5050092295978641	1.0	0.5606357940498475	0.49219173263228444	0.5279366123758035	0.47973082256044725	0.8998317212379177	0.5531335852733023	0.9998039746828021	0.2192500493035177	1.0	0.12179919606010664	0.9295224805761858	0.01915862932919123	0.6790175961728051	0.3266427131197682	0.7893184826661834	0.4473492573746407	0.33100066778387893	1.0	0.9577785417352518	1.0	0.7522834662558772	0.06498700938201053	0.1259531332190496	0.4931165281645441	1.0	1.0	0.5350187653408813	0.04445684746869429	0.044805816058149324	0.09192872505485654	0.6297674826371203	0.8213668513430212	0.5882801771874742	0.1278215426474484	0.5291700056415412	0.5170035951513045	0.4883138058944024	0.32186545327558974	0.8582393675710004	1.0	0.37916637815027987	0.7730805467349878	0.5177495834223675	0.20559224698182307	0.46218884709139346	0.999779865537502	0.6151563063138794	0.503790037498348	0.4440723603876867	0.46110118543802536	1.0	0.0649393823935264	0.7323595376005378	0.17881984766876352	0.07031407493774267	0.5352600016085735	0.02506724110893736	0.7496717298264955	0.99999383628005	1.0	0.31033050872073636	0.28808329896147944	0.7444994948189622	0.061087709775213106	1.0	0.44526302376440635	1.0	1.0	0.511202632441671	0.035430592791027476	0.09659972730508738	0.1042962333869941	0.3978983729134008	0.3349116618030413	0.740531719761929	0.532412358463042	1.0	0.29431196941939886	3.107209058366678E-5	0.013917578729232574
"G7(+/-)"	1.0	0.9636868222074962	0.6227193726205414	0.9842759497861677	0.5314638139154848	0.5647352999731813	0.2541460978273729	0.42293172438567017	0.5111360771396709	0.035835740625752545	5.307909534651844E-4	0.1134999931022362	0.9999999997240536	0.02820225168916391	0.6379210879909468	0.5615414834279394	0.181470670553231	1.0	0.5050092193227564	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758035	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828006	0.2192500457769996	1.0	0.12179919605991062	0.9295224840885026	0.01915862825754155	0.6790175967166419	0.32664271069037176	0.7893184831942983	0.44734925232504	0.33100067253255805	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.04445684738404192	0.04480581603943823	0.09192872483104012	0.629767494480276	0.8213668572193429	0.5882801771886187	0.12782154095825804	0.5291700056707643	0.5170035951530386	0.4883138037789834	0.32186561377774153	0.8582391256440155	1.0	0.379166379220707	0.7730805467348814	0.5177495834156708	0.2055924488803897	0.4621913497840425	0.9997798669951368	0.6151563063129836	0.5037900372012528	0.44407236031262576	0.46110276525702615	1.0	0.0649393823916331	0.7724579191244194	0.17881982515358763	0.07031407408467676	0.5352600016105928	0.025067241111532575	0.7496717298139166	0.9999938362946148	1.0	0.3103305083406728	0.2880832991489181	0.7444994950573567	0.061087709784873656	1.0	0.4452630238064624	1.0	1.0	0.5112026327700607	0.03543054060736928	0.09659972723532165	0.10429621909748706	0.39789837299351327	0.3349116617828892	0.7405317196022377	0.532412358443801	1.0	0.29431196940926685	3.107160835171334E-5	0.01391757844628566
"G8(+/-)"	1.0	0.9636868221833202	0.6227193726205698	0.9842759497860067	0.5314649698112957	0.5647361369592285	0.5082921956722859	0.2296417775583934	0.511136077139699	0.03580535708873488	5.313589960510055E-4	0.11357990520553704	0.9999999997232396	0.023720612487100293	0.6921341647610666	0.5616350119568744	0.10104408744252508	1.0	0.5050092194786447	1.0	0.5606357940365395	0.49219173266785315	0.5279366123758035	0.47973082260733246	0.8998317214571319	0.553133585284566	0.9998039746828006	0.21925004581333984	1.0	0.12179919605991121	0.9295224840582595	0.019158628266344097	0.6790175967119731	0.32664271070393186	0.7893184831896474	0.44734925237562034	0.33100067250683174	1.0	0.9577785417588458	1.0	0.7522834662545669	0.06498700938192856	0.1259531332190277	0.49311652818780727	1.0	1.0	0.5350187653483326	0.04445684738587155	0.04480581603963572	0.09192872483282566	0.6297674943547072	0.8213668571518185	0.5882801771886143	0.12782154096888543	0.5291700056706394	0.5170035951530357	0.4883138038040856	0.32186561067818725	0.8582391308485001	1.0	0.3791663792122247	0.7730805467348815	0.517749583415708	0.20559244453290787	0.46219129553914456	0.999779866983761	0.6151563063129848	0.503790037203637	0.44407236031301156	0.4611027311040617	1.0	0.06493938239163842	0.7323595346034976	0.17881982558714862	0.07031407409314969	0.5352600016105774	0.025067241111519395	0.7496717298139604	0.9999938362945818	1.0	0.31033050834232695	0.288083299147432	0.744499495055598	0.06108770978481469	1.0	0.4452630238062406	1.0	1.0	0.5112026327681344	0.035430541737766774	0.09659972723558716	0.10429621926325777	0.39789837299317443	0.33491166178296367	0.7405317196031523	0.5324123584438744	1.0	0.2943119694093009	3.107161219459338E-5	0.013917578447685063
"G9(+/-)"	1.0	0.9636868222067377	0.6227193726205414	0.9842759497861662	0.5306942171495891	0.5641777503450981	0.5082921956553138	0.4592588624030976	0.2555680385698355	0.04966675131197148	5.307762703426372E-4	0.11355163002876326	0.9999999997223661	0.023720612374414852	0.6921341689841167	0.5616350119610962	0.10104408744813674	1.0	0.506201747458953	1.0	0.5606357940364833	0.492191732668034	0.5279366123758035	0.4797308226075605	0.8998317214582363	0.5531335852845999	0.9998039746828006	0.21925004577826346	1.0	0.12179919605991062	0.9295224840875879	0.019158628257801485	0.6790175967164831	0.3266427106906651	0.7893184831941539	0.447349252326686	0.33100067253202425	1.0	0.9577785417589287	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.49311652818792173	1.0	1.0	0.5350187653483531	0.04445684738415022	0.04480581603944558	0.09192872483110019	0.6297674944760883	0.8213668572169166	0.5882801771886187	0.12782154095856849	0.5291700056707623	0.5170035951530386	0.4883138037799508	0.32186561360888366	0.8582391259517118	1.0	0.37916637922047547	0.7730805467348814	0.5177495834156716	0.20559244862331924	0.4621913465730334	0.999779866994813	0.6151563063129836	0.5037900372013222	0.4440723603126332	0.4611027632358407	1.0	0.06493938239163319	0.7323595345813051	0.17881982517719558	0.07031407408495055	0.5352600016105925	0.025067241111532326	0.749671729813917	0.9999938362946147	1.0	0.31033050834070286	0.28808329914887787	0.7444994950573081	0.061087709784872296	1.0	0.44526302380645805	1.0	1.0	0.5112026327700169	0.035430540674279115	0.09659972723532603	0.1042962191037402	0.39789837299350755	0.33491166178289017	0.740531719602258	0.5324123584438017	1.0	0.29431196940926724	3.1071608462919644E-5	0.013917578446314267
