"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
"wt"	0.5040022747403236	0.0019635122494680605	0.9821882878585138	0.009332902108890847	0.17454180278917192	0.9384887832609048	0.5192747045490578	0.49848039257707094	0.19157187074337217	0.9941867053121675	0.7178391530002631	0.05907458347649782	0.9820875922151376	0.96178717056219	0.700210036711959	0.9368770301157229	0.7536250792361664	0.552503733184356	1.0	0.14870544752049206	0.8113508587335934	1.0	1.0	0.0014535744347761773	0.09918397555337653	0.06908001777462879	0.9879913790273616	0.8021187238854016	0.42136357421492987	0.9693188788421696	0.3959908012239127	0.5407059347689647	0.2734495035858896	0.8986006122894802	0.5046235361013043	0.5183305193577599	0.18710410756365184	0.7994114545826808	0.3457202356986257	0.05763306005064954	0.1153094515632839	0.9791610937331778	0.10168543623306384	0.40737158767702075	0.07401479477669475	0.4964682869864519	0.3416958518133749	0.11879537565666239	0.4346193910097051	1.0	0.2660603446553816	0.04975070111384834	1.0	1.0	0.852682463469397	0.1725167131369624	0.7762342164831731	0.9962887083694694	0.743347354078296	0.47317579513505215	0.9726337709004865	0.9721047590136119	0.023574712806060293	0.6275539997134556	1.0	0.5219915463029082	0.7734121691489154	0.5066201490767083	0.9986800055171626	0.5580275942063644	0.7016938917160679	0.386809576935828	0.7396088480101618	0.5843642449901374	0.7683133236642141	0.03562790178523561	1.0	0.4333132994267603	0.3220673284618649	0.7941110989623804	0.4558137961554759	0.6929180162873455	0.6053562479468966	0.6069657719652641	0.7265062550115305	0.2723199555731983	0.35327894966313705	0.42192448130622123	0.5610838122431342	0.6124929029589293	0.11381506386744682	0.4490888726858802	0.6322933368010205	0.6427488960137602	0.4847322545593283	0.9897654874583134	0.08806807523669247	0.5838568152884034	0.17077160304340108	0.4502005469969931
"G1(+/-)"	0.2520011373701618	0.0019635122416343195	0.982188287863427	0.009332902154381782	0.17454180001680106	0.9384887830808369	0.5192747051754245	0.4984803918859833	0.1915718707005864	0.994186705338757	0.7178391531082843	0.05907458348548321	0.9820875922394882	0.9617871705662114	0.7002100367121032	0.9368770301157239	0.7536250791392043	0.5525037331844923	1.0	0.14870544754604567	0.8113508588453953	1.0	1.0	0.0014535744415394875	0.0991839754650279	0.06908003195545125	0.9879913790421395	0.802118723876868	0.42136357421493514	0.9693188784924749	0.39599080122006347	0.5407059347689188	0.2734495021036128	0.8986006131229679	0.5046235361014229	0.5183305193577604	0.1871041075670694	0.799411454781301	0.34572023556930276	0.05763306004578477	0.11530945155939702	0.9791610937706916	0.10168543604360698	0.4073715876620579	0.07401479477649836	0.49646828699136636	0.34169585181337364	0.11879537565283552	0.4346193916525271	1.0	0.2660603446570311	0.0497507004437586	1.0	1.0	0.8526824633691484	0.17251671547684516	0.7762342164934225	0.996288708295248	0.7433473542409567	0.47317579540277016	0.9726337819879959	0.9721047589962356	0.02357471268040045	0.6275539997134614	1.0	0.521991546379217	0.7734121691658753	0.5066201490783411	0.9986800078440858	0.5580275942049967	0.7016938918882248	0.3868095767156489	0.7396088480101618	0.584364244990306	0.7683133236642053	0.03562790143853843	1.0	0.4333132976031301	0.322067328312306	0.794111098937518	0.4558137960931254	0.6929180177287672	0.6053562479468979	0.6069657719771845	0.7265062749606813	0.2723199546628446	0.353278949663334	0.42192448130622123	0.5610838122469195	0.61249290459673	0.1138150638695959	0.4490888788978748	0.6322933368017964	0.6427488954636364	0.4847322540480256	0.9897654874584985	0.08806807545252063	0.58385681528777	0.1707715896458131	0.4502006146016629
"G2(+/-)"	0.5040022747403236	9.817561044959465E-4	0.982188287985436	0.009332902347755835	0.17516375844680773	0.9384887822130898	0.5192747079164578	0.4984803886045269	0.1915718705404033	0.9941867057526617	0.7178391534691171	0.05907458352263093	0.9820875994072158	0.9617871711680113	0.7002100367126523	0.9368770301157273	0.753625078611443	0.5525037331849979	1.0	0.14870544764682983	0.8113508593462668	1.0	1.0	0.001453574452144376	0.09949059113723949	0.06898527881172277	0.9879913791008291	0.8021187238423981	0.4213635742149509	0.9693188768462276	0.39599080120481406	0.5407059347686866	0.2734494951358489	0.8986006169525959	0.504623536102344	0.5183305193577616	0.18710410758057905	0.7994114557352768	0.34572023493132703	0.05763306002658227	0.1153094515596639	0.9791610939293256	0.10168543515033195	0.40737158760439857	0.07401479477562986	0.4964682870095361	0.3416958518133698	0.11879537563782339	0.4346193948102443	1.0	0.26606034466524375	0.04975069705364214	1.0	1.0	0.8526824629642549	0.1725174221161567	0.7762342165316518	0.9962887079333916	0.7433473550214654	0.4731757964890568	0.9726338473144274	0.9721047589212948	0.023574712127363773	0.6275539997134855	1.0	0.5219915467150974	0.7734121692346915	0.506620149084313	0.9986800202738243	0.5580275941836629	0.7016938925747079	0.3868095756867743	0.7396088480101618	0.5843642449935689	0.7683133236641808	0.035627899779222066	1.0	0.43331328873866914	0.32206732757477813	0.7941110988377204	0.4558137958602222	0.692918023813659	0.6053562479469011	0.6069657720263132	0.7265063957918492	0.27231995011664895	0.35327894966396933	0.42192448130622123	0.5610838122614077	0.6124929138445965	0.11381506387845995	0.4490889096909824	0.6322933368063165	0.6427488926793051	0.4847322515205316	0.9897654874590962	0.0880680764798874	0.5838533047137201	0.17077151127378756	0.4502010239822425
"G3(+/-)"	0.5040022747403236	0.0019635122416343195	0.4910941439317135	0.009332902154381782	0.17454180001680106	0.9384887830808369	0.5192747051754245	0.4984803918859833	0.1915718707005864	0.994186705338757	0.7178391531082843	0.05907458348548321	0.9820875922394882	0.9617871705662114	0.7002100367121032	0.9368770301157239	0.7536250791392043	0.5525037331844923	1.0	0.14870544754604567	0.8113508588453953	1.0	1.0	0.0014535744415394875	0.0991839754650279	0.06908003195545125	0.9879913790421395	0.802118723876868	0.42136357421493514	0.9693188784924749	0.39599080122006347	0.5407059347689188	0.2734495021036128	0.8986006131229679	0.5046235361014229	0.5183305193577604	0.1871041075670694	0.799411454781301	0.34572023556930276	0.05763306004578477	0.11530945155939702	0.9791610937706916	0.10168543604360698	0.4073715876620579	0.07401479477649836	0.49646828699136636	0.34169585181337364	0.11879537565283552	0.4346193916525271	1.0	0.2660603446570311	0.0497507004437586	1.0	1.0	0.8526824633691484	0.17251671547684516	0.7762342164934225	0.996288708295248	0.7433473542409567	0.47317579540277016	0.9726337819879959	0.9721047589962356	0.02357471268040045	0.6275539997134614	1.0	0.521991546379217	0.7734121691658753	0.5066201490783411	0.9986800078440858	0.5580275942049967	0.7016938918882248	0.3868095767156489	0.7396088480101618	0.584364244990306	0.7683133236642053	0.03562790143853843	1.0	0.4333132976031301	0.322067328312306	0.794111098937518	0.4558137960931254	0.6929180177287672	0.6053562479468979	0.6069657719771845	0.7265062749606813	0.2723199546628446	0.353278949663334	0.42192448130622123	0.5610838122469195	0.61249290459673	0.1138150638695959	0.4490888788978748	0.6322933368017964	0.6427488954636364	0.4847322540480256	0.9897654874584985	0.08806807545252063	0.58385681528777	0.1707715896458131	0.4502006146016629
"G4(+/-)"	0.5040022747403236	0.001963512208997136	0.9821882878820724	0.004666451185978573	0.17454178782914703	0.9384887822136382	0.5192747079154523	0.49848038860649496	0.19157187054035316	0.9941867054452066	0.7178391534694148	0.05907458352262201	0.9820875923329149	0.9617871705816521	0.7002100367126523	0.9368770301157273	0.7536250786119809	0.5525037331849587	1.0	0.1487054476468106	0.8113508593460549	1.0	1.0	0.0012195132145327234	0.09918397502801318	0.06908010640811399	0.9879913791008177	0.8021187238424058	0.4213635742149509	0.9693188768471874	0.3959908012048169	0.5407059347686868	0.2734494951398888	0.8986006169506519	0.5046235361018145	0.5183305193577616	0.18710410755067727	0.7994114557346366	0.34572023493177284	0.057633060026585914	0.11530945155961526	0.9791610939292782	0.10168543515085554	0.4073715876044088	0.07401479477562999	0.49646828700953416	0.3416958518133698	0.11879537563782643	0.4346193948078251	1.0	0.26606034466523554	0.04975069705658746	1.0	1.0	0.8526824629643418	0.17251672735580165	0.7762342165313736	0.9962887079336293	0.7433473550209794	0.47317579648882757	0.9727088521712738	0.972104758921318	0.0235747121275799	0.6275539997134855	1.0	0.5219915467149662	0.7734121692346787	0.5066201490843125	0.9986800202585838	0.5580275941837468	0.7016938925746127	0.3868095756873522	0.7396088480101618	0.5843642449909414	0.7683133236641808	0.03562789978024274	1.0	0.4333132887450601	0.32206732757474976	0.7941110988377399	0.4558137958602345	0.6929180238120978	0.6053562479469011	0.6069657720263005	0.7265063955123403	0.27231995012052046	0.35327894966396933	0.42192448130622123	0.5610838122614058	0.6124929138295198	0.11381506387845786	0.44908890966614007	0.6322933368063072	0.6427488926817714	0.48473225152349103	0.9897654874590962	0.08806807647926687	0.583856815284984	0.17077151143086358	0.4502010230356386
"G5(+/-)"	0.5040022747403236	0.001963512208991223	0.9821882878820749	0.009332902372137769	0.08727089391143127	0.9384887822128994	0.5192747079167638	0.49848038860384647	0.19157187054043348	0.9941867054452335	0.7178391534689692	0.059074583522633374	0.9820875923329317	0.9617871705816549	0.7002100367126523	0.9368770301157273	0.7536250786112385	0.5525037331849587	1.0	0.14870544764683477	0.811350859346333	1.0	1.0	0.0014535744742947148	0.09918397502753601	0.1021487211282688	0.9879913791008316	0.8021187238423966	0.4213635742149509	0.9693188768458969	0.3959908012048135	0.5407059347686866	0.2734494951344576	0.8986006169532439	0.5046235361018145	0.5183305193577616	0.1871041075805795	0.7994114557355071	0.3457202349311692	0.057633060026581355	0.11530945155968317	0.9791610939293389	0.10168543515015128	0.4073715876043961	0.07401479477562986	0.49646828700953627	0.3416958518133698	0.11879537563782255	0.434619394811147	1.0	0.26606034466524686	0.04975069705251611	1.0	1.0	0.8526824629642321	0.17172877122371694	0.7762342165313786	0.9962887079333088	0.7433473550216341	0.47317579648911706	0.9726338473793639	0.9721047589212883	0.023574712127296386	0.6275539997134855	1.0	0.5219915467151383	0.7734121692346941	0.506620149084313	0.9986800202803104	0.5580275941836276	0.7016938925747243	0.38680957568657726	0.7396088480101618	0.5843642449909414	0.7683133236641808	0.0356278997788682	1.0	0.4333132887363207	0.3220673275739498	0.7941110988377157	0.45581379586022297	0.6929180238140602	0.6053562479469011	0.6069657720263162	0.7265063959352368	0.27231995011515725	0.35327894966396933	0.42192448130622123	0.5610838122614079	0.612492913851677	0.11381506387846048	0.44908890970038046	0.6322933368063208	0.6427488926783522	0.4847322515191289	0.9897654874590962	0.0880680764801021	0.5838188014622724	0.1707715111955261	0.45020102446782906
"G6(+/-)"	0.5040022747403233	0.0019635122090057864	0.9821883721506679	0.009290399314945966	0.17454178608991533	0.4692443911064496	0.519274707916764	0.49848038860384575	0.19157187054063926	0.994186795769102	0.7178391534669998	0.05907458352263352	0.9820933590327129	0.9617876485668155	0.7002061047503887	0.9368769931797652	0.7536250785995088	0.5525037332167558	1.0	0.14870544764683477	0.7967076391023642	1.0	1.0	0.0014503445405093585	0.0991839750275312	0.06908010678397923	0.9879913879578901	0.8021192685019427	0.42136357572850064	0.9693188768458966	0.39599080114533164	0.5407059347686866	0.273449495134456	0.8986006169532446	0.5046235365336994	0.5183305193577616	0.18707292953590204	0.7994114494834814	0.34572023493116905	0.05763305723052557	0.1153094515596832	0.9791610939293389	0.10168543515015109	0.407371587564772	0.07401479477562983	0.49646828700953627	0.3416958518133698	0.11879537563782255	0.4346193948111482	1.0	0.2660603446652467	0.04975070569729071	1.0	1.0	0.8526824629642321	0.172516727368358	0.7762342161342434	0.9962887079333087	0.7433473550216343	0.4731757964891171	0.8877656874325336	0.9721047589212883	0.023574712127296324	0.6275539997134855	1.0	0.5219915467151383	0.7734121692346941	0.506620149084313	0.9986800202800261	0.5580275941836447	0.7016938925747243	0.38680957568657703	0.7396088480101618	0.5843642471329248	0.7683133236641808	0.03562789977888236	1.0	0.4333132887363175	0.32206732807149463	0.7941110991697706	0.45581379586022297	0.6929180238140603	0.6053562479469011	0.6069657720263162	0.728946507473354	0.27231995011515503	0.35327894966396933	0.42192448130622123	0.5610838122614079	0.6124929140769656	0.11381506387846048	0.4490898772901975	0.6322933863099176	0.641905120591935	0.48472687584168606	0.9897654874590962	0.08806807648010236	0.5838568153404016	0.17077133900363714	0.4502014517368328
"G7(+/-)"	0.5040022747403236	0.01406453365992401	0.9821881606169175	0.009332932333448368	0.16624251226866274	0.9384887822129029	0.2596373539583796	0.49848038860385946	0.1915718705404325	0.9941856095132324	0.7178391534689736	0.05907458352263333	0.9820788833069177	0.9617864487036325	0.7002100367126523	0.9368770301157273	0.7536250786112428	0.552503733136941	1.0	0.14870544764683477	0.8113508593461157	1.0	1.0	0.0014536017360654147	0.09534345606111375	0.07043762677939568	0.9879913791008316	0.8021187238423966	0.4213635742149509	0.969318876845903	0.3959908012048135	0.5407059347686866	0.2734494951344836	0.8986006169532322	0.5046235354495626	0.5183305193577616	0.18710410758057983	0.7994114557355025	0.3457202349311722	0.057633060026581355	0.11530945155968277	0.9791610939293389	0.10168543515015467	0.4073715876043961	0.07401479477562986	0.49646828700953627	0.3416958518133698	0.11879537563782255	0.4346193948111274	1.0	0.2660603446652467	0.04975069705254146	1.0	1.0	0.8526824629642322	0.17250610100655325	0.7762342161941148	0.9962887079333104	0.7433473550216311	0.4731757964891164	0.9726338465909232	0.9721047589212883	0.023574712127297445	0.6275539997134855	1.0	0.5219915467151376	0.7734121692346941	0.506620149084313	0.998680020280134	0.5580275941836285	0.7016938925747243	0.3868095756865808	0.7396088480101618	0.5843642417560363	0.7683133236641808	0.0356278997788749	1.0	0.4333132887363704	0.32206732682261074	0.7941110988377157	0.45581379586022275	0.6929180238140569	0.6053562479469011	0.6069657720263162	0.7265063959324232	0.27231995011519156	0.35327894966396933	0.42192448130622123	0.5610838122614079	0.6124929139391717	0.11381506387846048	0.4490889097001719	0.6322933368063208	0.6427488926783741	0.4847322515191714	0.9897654874590962	0.08806807648009804	0.5838595589032233	0.17077151119830153	0.4502010244499781
"G8(+/-)"	0.5040022747403233	0.0019711075412691607	0.9821882900320728	0.026370444139053522	0.175044499788342	0.9059220790954869	0.519274707916764	0.24924019430192287	0.19282373993308163	0.9941867077462693	0.7168152356519439	0.05919800929659923	0.9820877394617517	0.9617871827768419	0.7002099831244114	0.9368770293076131	0.753624138135041	0.5525037331857702	1.0	0.14870544764683474	0.8110132067790239	1.0	1.0	0.004913329636504456	0.09918196426054973	0.11940513893379727	0.9879913792757385	0.8021187312665222	0.4213633146237148	0.9693188768458966	0.3959908012036388	0.5407059347686866	0.273449495134456	0.8986006169532446	0.5046235361128333	0.5183305193577616	0.18710381954649688	0.799411455650581	0.3251263315437173	0.057633059985830924	0.12060413233683175	0.9791610939293389	0.10168543515015109	0.40737158760361364	0.07401479477562986	0.49646828700953627	0.3416958518133698	0.11879537563782264	0.4346193948111482	1.0	0.2670352530385084	0.04973045505721531	1.0	1.0	0.8526824629642322	0.17631289464705277	0.7762342165286271	0.9567849831606722	0.7974801592623142	0.47317579648911695	0.9689510233016081	0.9721047589212883	0.023574712127296324	0.6275525515235223	1.0	0.5219915467151383	0.7712379937115177	0.506620149084313	0.9986800202803165	0.5581257195466023	0.6834094344442607	0.35403497812651274	0.739608848010162	0.5843642450455917	0.7683133236641808	0.009294521643688422	1.0	0.47116301605027866	0.32206732758664347	0.7941110988422408	0.47382815724021515	0.6282406812318222	0.6053562479469011	0.6069657720263162	0.726568380172242	0.2778956457040232	0.35327894966396933	0.42192448130622123	0.5610838122614079	0.6124929138558063	0.11381506387846048	0.4503731000726076	0.6322933587389837	0.6424053988308916	0.4847321176962749	0.9897654874590962	0.19619868151756373	0.5838568622333872	0.1599919022559796	0.4502011058072618
"G9(+/-)"	0.5040022747403236	0.0019635122089912164	0.9821882878820749	0.009332902372123404	0.1762789085221857	0.9384887822129584	0.5192747079166766	0.4984803886040562	0.09578593527021083	0.9941867054452324	0.7178391534690235	0.05907458352263273	0.9820875923329313	0.9617871705816546	0.7002100367126523	0.9368770301157273	0.753625078611305	0.5525037331849587	1.0	0.14870544764683358	0.811350859346314	1.0	1.0	0.0014535744742924532	0.09918397502757821	0.06881734788106376	0.9879913791008312	0.8021187238423968	0.4213635742149509	0.9693188768459987	0.39599080120481356	0.5407059347686866	0.27344949513488576	0.8986006169530485	0.5046235361018145	0.5183305193577616	0.18710410758057944	0.7994114557354345	0.3457202349312185	0.057633060026581556	0.11530945155967685	0.9791610939293356	0.10168543515020695	0.40737158760439657	0.07401479477562986	0.49646828700953627	0.3416958518133698	0.11879537563782275	0.4346193948108549	1.0	0.2660603446652458	0.04975069705288543	1.0	1.0	0.8526824629642379	0.17251863730363634	0.7762342165313786	0.9962887079333345	0.7433473550215821	0.4731757964891015	0.9726338473544163	0.97210475892129	0.02357471212731589	0.6275539997134855	1.0	0.5219915467151266	0.7734121692346936	0.506620149084313	0.9986800202780417	0.5580275941836395	0.7016938925747219	0.3868095756866376	0.7396088480101618	0.5843642449909414	0.7683133236641808	0.035627899778977505	1.0	0.43331328873707364	0.32206732757402073	0.7941110988377166	0.4558137958602219	0.6929180238139614	0.6053562479469011	0.6069657720263155	0.7265063958795387	0.27231995011564947	0.35327894966396933	0.42192448130622123	0.5610838122614079	0.6124929138491052	0.11381506387846033	0.4490889096973148	0.6322933368063192	0.642748892678667	0.48473225151965615	0.9897654874590962	0.08806807648003591	0.5838569298074424	0.17077151122550407	0.45020102427920494
