"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
"wt"	0.01697759048343961	0.9989980391924703	1.0	0.1310011517597157	0.4133820853624239	0.18002092294358907	0.7777040572178876	0.5024601084280503	1.0	0.7621402253046607	0.5001227894987286	0.4850066741632421	0.9404582471089503	0.44365898523125713	0.5036590440705104	0.10638107368728211	0.9999699896540679	0.5292992342934896	0.9999999147910871	0.6748934635007117	0.8357478630361853	0.05180224572002293	0.07783090756888204	0.6220303376352851	0.07166316423391646	0.6418604697388742	0.8436757886643158	0.45528812872460084	0.6638331769190804	1.0	0.5988519440532697	0.5263545932776514	0.15057333638498827	0.029178352335843805	0.7298104157925085	0.048339877848200236	0.07137409746326712	0.7380743110397125	0.9581406988483646	1.0	0.2596474627789577	0.7717176772887258	0.99879938349378	0.29770040018294225	0.9321877481856453	0.8953187508910735	0.12888898201426868	0.6181264282537856	0.7764179578407959	0.9045765793118877	0.9467997242558969	0.26312878021598085	0.9980177756146987	1.0	1.0	0.46661692964319795	0.9930371156041606	0.19471184092175056	0.1284502224635015	0.5618181748302155	0.02496467826381799	0.8128692354333388	0.6228426349168797	0.5243771141420303	0.9139522371290936	0.5774912637701641	0.7780393752435838	0.012105950363230004	0.9999976711689157	0.4155291150325706	0.30816828044738825	1.0	0.5316158565679583	0.5805325669345152	1.0	0.8853507944332075	0.6229249592473153	0.6590700029527069	0.46581235726465814	0.5064546629546856	0.17083966437697495	0.6065311038994832	0.5052513096916643	0.5334282179771215	0.5010568297203941	0.6409872628786629	0.8930207585032873	0.12488679916600254	0.5858554026357862	0.043277951429513184	0.9999671735066289	0.6523610449279778	0.19630533847397402	0.7243635954570501	0.7918632271974441	0.8811860363472312	0.3724211988040232	0.5153811977878336	0.14218921314884347	0.983549414048983
"G1(-/-)"	0.0	0.99899803919247	1.0	0.08769809406788083	0.4133820853173028	0.531820949221989	0.8787117306331533	0.5024601076846478	1.0	0.8162867952459252	0.5001227894987283	0.4896813724115323	0.9412437667515906	0.44365898637738665	0.5036590465808727	0.10638107344192886	0.9999699896540679	0.5292992091941157	0.9999999148187775	0.6748934601785312	0.83574786393651	0.05180224572002293	0.07783090902847362	0.6220303373486057	0.07166316338279939	0.6418604543587407	0.8436756231953877	0.4552881277568503	0.663833173860131	1.0	0.5988519440591488	0.5263545932776464	0.15057333501086917	0.02917835065854786	0.7298103943615589	0.048339878459828796	0.07137409451367621	0.7380743112795625	0.9581406986539908	1.0	0.25964746281583806	0.771717678137901	0.9987993835605972	0.29770038654333547	0.9321876746406728	0.8953187551827315	0.1288889832072605	0.6181264798996535	0.7764179592132157	0.9045765796148373	0.9467997327540155	0.26312879422196267	0.9980177756154157	1.0	1.0	0.4666169296433472	0.9930371156101052	0.19471215064945505	0.12845022105511794	0.5618181747826773	0.024964688943357443	0.8128693101884642	0.6228426338313434	0.5243771141420109	0.9139522371293479	0.5774911826008561	0.7780393752972745	0.012105952069973492	0.9999976711693565	0.41552941224920903	0.3081682803828407	1.0	0.5316158563788767	0.5805325870165908	1.0	0.8853507889862534	0.6229249580062923	0.659069973967808	0.465812357328852	0.5064546667580562	0.17083966115749488	0.6065307171065523	0.5052513099043583	0.5334282180997925	0.5010568309150045	0.6409872566822091	0.8930207752976601	0.12488679757382631	0.5858554026553344	0.043277951396890876	0.9999671833238271	0.6523610379741446	0.19630533842748216	0.7243636267866483	0.7918632285825605	0.8811860019588149	0.37242119880394364	0.5153811985496536	0.14218922864029795	0.9835494216668065
"G2(-/-)"	0.5061819319181194	0.0	1.0	0.26938193963821133	0.4133820853173028	0.045552799576258	0.598922184736715	0.5024601076846476	1.0	0.6695602967055874	0.5001227894987283	0.47500847345759334	0.9387187902479907	0.44365898637738727	0.5036590465808741	0.10638107344192871	0.9999699896540679	0.5292992091940497	0.9999999148187775	0.6748934601785307	0.8357478639365102	0.05180224572002293	0.0778309090284739	0.6220303373486057	0.07166316338279922	0.6418604543586561	0.8436756231949187	0.4552881277568493	0.6638331738601299	1.0	0.5988519440591488	0.5263545932776464	0.15057333501086897	0.029178350658548322	0.729810394361553	0.04833987845982947	0.07137409451367584	0.7380743112795625	0.9581406986539905	1.0	0.25964746281583806	0.771717678137901	0.9987993835605972	0.2977003865433334	0.9321876746406497	0.8953187551827374	0.1288889832072607	0.6181264798997	0.7764179592132158	0.9045765796148374	0.9467997327540191	0.2631287942219717	0.9980177756154156	1.0	1.0	0.4666169296433472	0.9930371156101052	0.19471215065084227	0.12845022105511775	0.5618181747826773	0.02496468894340877	0.8128693101884844	0.6228426338313424	0.5243771141420109	0.9139522371293479	0.5774911826004264	0.7780393752972745	0.012105952069973887	0.9999976711693565	0.4155294122493611	0.3081682803828407	1.0	0.5316158563788767	0.5805325870165944	1.0	0.885350788986247	0.6229249580062918	0.6590699739677438	0.4658123573288521	0.5064546667580594	0.17083966115749197	0.606530717104957	0.5052513099043584	0.5334282180997925	0.501056830915005	0.6409872566822062	0.893020775297703	0.12488679757382562	0.5858554026553344	0.04327795139689083	0.9999671833238404	0.6523610379740985	0.19630533842748216	0.7243636267868174	0.7918632285825622	0.8811860019585878	0.37242119880394364	0.5153811985496538	0.14218922864030062	0.983549421666812
"G3(-/-)"	0.5049743680625999	0.0186361505693518	0.0	0.2693673696130698	0.4133820853173028	0.04555433638259798	0.5989316853352807	0.5024601076846476	1.0	0.6695664828264001	0.5001227894987283	0.47500928721968877	0.9387189724008045	0.4436589863773879	0.5036590465808755	0.10638107344192858	0.9999699896540679	0.5292992091939704	0.9999999148187775	0.67489346017853	0.8357478639365102	0.05180224572002293	0.07783090902847417	0.6220303373486057	0.07166316338279907	0.6418604543585517	0.8436756231943567	0.45528812775684824	0.6638331738601289	1.0	0.5988519440591488	0.5263545932776464	0.15057333501086875	0.029178350658548926	0.7298103943615466	0.04833987845983027	0.07137409451367543	0.7380743112795625	0.9581406986539902	1.0	0.25964746281583806	0.771717678137901	0.9987993835605972	0.2977003865433314	0.9321876746406232	0.8953187551827447	0.12888898320726092	0.6181264798997531	0.7764179592132158	0.9045765796148374	0.9467997327540231	0.2631287942219822	0.9980177756154156	1.0	1.0	0.4666169296433472	0.9930371156101052	0.1947121506525363	0.12845022105511755	0.5618181747826773	0.024964688943471678	0.812869310188506	0.6228426338313411	0.5243771141420109	0.9139522371293479	0.5774911825998954	0.7780393752972745	0.01210595206997431	0.9999976711693565	0.415529412249528	0.3081682803828407	1.0	0.5316158563788767	0.5805325870165984	1.0	0.8853507889862398	0.6229249580062911	0.659069973967668	0.4658123573288522	0.5064546667580634	0.1708396611574887	0.6065307171030114	0.5052513099043584	0.5334282180997925	0.5010568309150054	0.6409872566822031	0.8930207752977546	0.12488679757382484	0.5858554026553344	0.04327795139689077	0.999967183323856	0.652361037974042	0.19630533842748216	0.7243636267870264	0.7918632285825637	0.8811860019583073	0.37242119880394364	0.5153811985496538	0.14218922864030348	0.9835494216668184
"G4(-/-)"	0.016977589017310668	0.99899803919247	1.0	0.0	0.4133820853173028	0.9999999603498558	0.999999984318359	0.5024601076846492	1.0	0.9999998239598472	0.5001227894987283	0.5012714934059309	0.943119067620787	0.4436589863773821	0.5036590465808625	0.10638107344192982	0.9999699896540679	0.5292992091945331	0.9999999148187775	0.674893460178536	0.8357478639365089	0.05180224572002293	0.07783090902847146	0.6220303373486059	0.07166316338280061	0.6418604543592487	0.8436756231983468	0.4552881277568567	0.6638331738601387	1.0	0.5988519440591488	0.5263545932776464	0.15057333501087122	0.02917835065854527	0.7298103943616052	0.048339878459824036	0.07137409451367945	0.738074311279562	0.9581406986539922	1.0	0.25964746281583806	0.7717176781379005	0.9987993835605972	0.297700386543351	0.932187674640837	0.8953187551826929	0.12888898320725897	0.6181264798993346	0.7764179592132147	0.9045765796148368	0.9467997327539897	0.2631287942219	0.9980177756154157	1.0	1.0	0.4666169296433472	0.9930371156101052	0.1947121506409533	0.12845022105511947	0.5618181747826773	0.024964688943045026	0.8128693101883112	0.6228426338313512	0.5243771141420109	0.9139522371293479	0.5774911826034413	0.7780393752972745	0.01210595206997039	0.9999976711693565	0.4155294122481093	0.3081682803828407	1.0	0.5316158563788771	0.5805325870165625	1.0	0.885350788986298	0.6229249580062969	0.6590699739682208	0.465812357328852	0.5064546667580335	0.1708396611575146	0.6065307171163429	0.5052513099043575	0.5334282180997925	0.5010568309150017	0.6409872566822306	0.8930207752973889	0.12488679757383138	0.585855402655334	0.04327795139689127	0.9999671833237382	0.6523610379744248	0.19630533842748224	0.724363626785631	0.7918632285825508	0.8811860019601842	0.37242119880394364	0.5153811985496523	0.14218922864027692	0.9835494216667672
"G5(-/-)"	0.01697758901730241	0.99899803919247	1.0	0.24566297132894735	0.0	0.04877978106310844	0.6161198737736095	0.5024601076846478	1.0	0.6802578487975066	0.5001227894987283	0.47631915862601093	0.9389516782179534	0.44365898637738665	0.5036590465808727	0.10638107344192886	0.9999699896540679	0.5292992091941157	0.9999999148187775	0.6748934601785312	0.83574786393651	0.05180224572002293	0.07783090902847362	0.6220303373486057	0.07166316338279939	0.6418604543587407	0.8436756231953877	0.4552881277568503	0.663833173860131	1.0	0.5988519440591488	0.5263545932776464	0.15057333501086917	0.02917835065854786	0.7298103943615589	0.048339878459828796	0.07137409451367621	0.7380743112795625	0.9581406986539908	1.0	0.25964746281583806	0.771717678137901	0.9987993835605972	0.29770038654333547	0.9321876746406728	0.8953187551827315	0.1288889832072605	0.6181264798996535	0.7764179592132157	0.9045765796148373	0.9467997327540155	0.26312879422196267	0.9980177756154157	1.0	1.0	0.4666169296433472	0.9930371156101052	0.19471215064945505	0.12845022105511794	0.5618181747826773	0.024964688943357443	0.8128693101884642	0.6228426338313434	0.5243771141420109	0.9139522371293479	0.5774911826008561	0.7780393752972745	0.012105952069973492	0.9999976711693565	0.41552941224920903	0.3081682803828407	1.0	0.5316158563788767	0.5805325870165908	1.0	0.8853507889862534	0.6229249580062923	0.659069973967808	0.465812357328852	0.5064546667580562	0.17083966115749488	0.6065307171065523	0.5052513099043583	0.5334282180997925	0.5010568309150045	0.6409872566822091	0.8930207752976601	0.12488679757382631	0.5858554026553344	0.043277951396890876	0.9999671833238271	0.6523610379741446	0.19630533842748216	0.7243636267866483	0.7918632285825605	0.8811860019588149	0.37242119880394364	0.5153811985496536	0.14218922864029795	0.9835494216668065
"G6(-/-)"	0.016977590221214103	0.9989980391924702	1.0	0.13100114333035046	0.4133820853524249	0.0	0.7777041194983362	0.5024601082848855	1.0	0.7621402729892055	0.5001227894987286	0.48500670246860406	0.9404582718344515	0.44365898544003485	0.5036590445277649	0.10638107364237813	0.9999699896540679	0.529299230236772	0.9999999147973329	0.6748934628479513	0.8357478632132491	0.05180224572002293	0.07783090785467349	0.6220303375786784	0.07166316406647119	0.6418604674321726	0.843675762300144	0.4552881285570139	0.6638331763562036	1.0	0.5988519440546421	0.5263545932776499	0.15057333612122803	0.029178351995518468	0.7298104118144519	0.048339877950154285	0.07137409688411646	0.7380743110859433	0.9581406988150436	1.0	0.2596474627861055	0.7717176774624734	0.9987993835083454	0.29770039752474264	0.9321877341303418	0.8953187516442423	0.1288889822451239	0.6181264373311516	0.7764179581199472	0.9045765793713515	0.9467997258324315	0.26312878279096247	0.9980177756148311	1.0	1.0	0.466616929643237	0.9930371156055804	0.19471188786838098	0.12845022218376706	0.5618181748208335	0.024964679879078997	0.8128692494566209	0.6228426347276579	0.5243771141420261	0.9139522371291555	0.5774912514593354	0.7780393752548636	0.01210595068534754	0.9999976711690027	0.41552916819757885	0.30816828043408595	1.0	0.5316158565325184	0.5805325708211728	1.0	0.8853507935121714	0.6229249590215938	0.6590699982494297	0.46581235727748127	0.5064546636307654	0.17083966381009863	0.6065310441066274	0.5052513097304717	0.5334282180030333	0.5010568299456545	0.6409872617737188	0.8930207612730249	0.12488679887287328	0.5858554026389362	0.04327795142456492	0.9999671751807564	0.6523610439891656	0.19630533846495438	0.7243636001807883	0.7918632274433646	0.881186031492979	0.37242119880400304	0.5153811979344931	0.14218921615526695	0.9835494154043601
"G7(-/-)"	0.016977590221214103	0.9989980391924702	1.0	0.13100114333035046	0.4133820853524249	0.1800210370630072	0.0	0.5024601082848855	1.0	0.7621402729892055	0.5001227894987286	0.48500670246860406	0.9404582718344515	0.44365898544003485	0.5036590445277649	0.10638107364237813	0.9999699896540679	0.529299230236772	0.9999999147973329	0.6748934628479513	0.8357478632132491	0.05180224572002293	0.07783090785467349	0.6220303375786784	0.07166316406647119	0.6418604674321726	0.843675762300144	0.4552881285570139	0.6638331763562036	1.0	0.5988519440546421	0.5263545932776499	0.15057333612122803	0.029178351995518468	0.7298104118144519	0.048339877950154285	0.07137409688411646	0.7380743110859433	0.9581406988150436	1.0	0.2596474627861055	0.7717176774624734	0.9987993835083454	0.29770039752474264	0.9321877341303418	0.8953187516442423	0.1288889822451239	0.6181264373311516	0.7764179581199472	0.9045765793713515	0.9467997258324315	0.26312878279096247	0.9980177756148311	1.0	1.0	0.466616929643237	0.9930371156055804	0.19471188786838098	0.12845022218376706	0.5618181748208335	0.024964679879078997	0.8128692494566209	0.6228426347276579	0.5243771141420261	0.9139522371291555	0.5774912514593354	0.7780393752548636	0.01210595068534754	0.9999976711690027	0.41552916819757885	0.30816828043408595	1.0	0.5316158565325184	0.5805325708211728	1.0	0.8853507935121714	0.6229249590215938	0.6590699982494297	0.46581235727748127	0.5064546636307654	0.17083966381009863	0.6065310441066274	0.5052513097304717	0.5334282180030333	0.5010568299456545	0.6409872617737188	0.8930207612730249	0.12488679887287328	0.5858554026389362	0.04327795142456492	0.9999671751807564	0.6523610439891656	0.19630533846495438	0.7243636001807883	0.7918632274433646	0.881186031492979	0.37242119880400304	0.5153811979344931	0.14218921615526695	0.9835494154043601
"G8(-/-)"	0.01697758901730241	0.99899803919247	1.0	0.08769809406788083	0.4133820853173028	0.531820949221989	0.8787117306331533	0.0	1.0	0.8162867952459252	0.5001227894987283	0.4896813724115323	0.9412437667515906	0.44365898637738665	0.5036590465808727	0.10638107344192886	0.9999699896540679	0.5292992091941157	0.9999999148187775	0.6748934601785312	0.83574786393651	0.05180224572002293	0.07783090902847362	0.6220303373486057	0.07166316338279939	0.6418604543587407	0.8436756231953877	0.4552881277568503	0.663833173860131	1.0	0.5988519440591488	0.5263545932776464	0.15057333501086917	0.02917835065854786	0.7298103943615589	0.048339878459828796	0.07137409451367621	0.7380743112795625	0.9581406986539908	1.0	0.25964746281583806	0.771717678137901	0.9987993835605972	0.29770038654333547	0.9321876746406728	0.8953187551827315	0.1288889832072605	0.6181264798996535	0.7764179592132157	0.9045765796148373	0.9467997327540155	0.26312879422196267	0.9980177756154157	1.0	1.0	0.4666169296433472	0.9930371156101052	0.19471215064945505	0.12845022105511794	0.5618181747826773	0.024964688943357443	0.8128693101884642	0.6228426338313434	0.5243771141420109	0.9139522371293479	0.5774911826008561	0.7780393752972745	0.012105952069973492	0.9999976711693565	0.41552941224920903	0.3081682803828407	1.0	0.5316158563788767	0.5805325870165908	1.0	0.8853507889862534	0.6229249580062923	0.659069973967808	0.465812357328852	0.5064546667580562	0.17083966115749488	0.6065307171065523	0.5052513099043583	0.5334282180997925	0.5010568309150045	0.6409872566822091	0.8930207752976601	0.12488679757382631	0.5858554026553344	0.043277951396890876	0.9999671833238271	0.6523610379741446	0.19630533842748216	0.7243636267866483	0.7918632285825605	0.8811860019588149	0.37242119880394364	0.5153811985496536	0.14218922864029795	0.9835494216668065
"G9(-/-)"	0.0169775890172996	0.99899803919247	1.0	0.4322400120409381	0.4133820853173028	0.03999157782340677	0.5411231476702614	0.9999999177599285	0.0	0.6224274315551669	1.0	0.46864386751898235	0.9375667650594982	0.443658986377388	0.5036590465808757	0.10638107344192857	0.9999699896540679	0.529299209193958	0.9999999148187775	0.6748934601785299	0.8357478639365102	0.05180224572002293	0.07783090902847421	0.6220303373486057	0.07166316338279904	0.6418604543585346	0.8436756231942679	0.45528812775684807	0.6638331738601287	1.0	0.5988519440591488	0.5263545932776464	0.15057333501086873	0.029178350658549016	0.7298103943615456	0.048339878459830385	0.07137409451367539	0.7380743112795625	0.9581406986539903	1.0	0.25964746281583806	0.771717678137901	0.9987993835605972	0.29770038654333125	0.9321876746406194	0.8953187551827458	0.12888898320726094	0.6181264798997611	0.7764179592132158	0.9045765796148374	0.9467997327540235	0.2631287942219838	0.9980177756154156	1.0	1.0	0.4666169296433472	0.9930371156101052	0.1947121506528088	0.12845022105511752	0.5618181747826773	0.024964688943481833	0.8128693101885089	0.6228426338313409	0.5243771141420109	0.9139522371293479	0.577491182599809	0.7780393752972745	0.01210595206997437	0.9999976711693565	0.4155294122495523	0.3081682803828407	1.0	0.5316158563788767	0.5805325870165988	1.0	0.8853507889862386	0.622924958006291	0.6590699739676562	0.4658123573288522	0.5064546667580637	0.17083966115748822	0.6065307171026987	0.5052513099043584	0.5334282180997925	0.5010568309150054	0.6409872566822028	0.8930207752977628	0.12488679757382472	0.5858554026553344	0.043277951396890765	0.9999671833238585	0.6523610379740329	0.19630533842748216	0.7243636267870603	0.791863228582564	0.8811860019582618	0.37242119880394364	0.5153811985496538	0.14218922864030387	0.9835494216668195
