"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.04284209972560061	0.5472111109735835	0.9999999450866848	0.23806172837032277	0.5549955989318152	0.4809174022095549	0.9381274807415678	0.6067707756825529	0.5232677715221538	0.9910149759372383	1.0	0.1801457206650781	1.0	0.7235629087033296	0.04267558642964642	0.2728748127047	0.010929808882560977	0.9336938287741013	0.5023251172380643	0.9999888369195007	0.5244594890747031	0.8875590179787048	0.6459392466918991	0.6883774930343045	0.330285944273879	1.0	0.4445561764930617	0.5163380001621316	0.636641239069113	0.01518717145597492	0.7519361345541623	0.1387688619804911	1.0	0.6164340395095425	0.2359575202614734	0.5184974526884695	0.012357749242489882	0.9999999439914902	0.5283590861291331	0.514017448529125	0.017884042857948635	1.0	0.5454819556960975	0.1945979163777719	0.447980120524336	0.9958956027781001	0.08939032657892931	0.5027778563686827	0.5265438250995497	0.24923529375376582
"G1(+/-)"	0.021421049718025015	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.5549955989318007	0.48091740220945045	0.9381274807415391	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G2(+/-)"	0.057442837233622666	0.2736055554867967	0.9999955054477722	0.23806172837034126	0.5549955989317575	0.6750936247812162	0.9381274807414532	0.6067707756824363	0.5232677715221536	0.991014975937252	1.0	0.18014572066515272	1.0	0.7235629087024298	0.0426755864296464	0.27287481270470076	0.01092980888258435	0.933693829396217	0.5023251172135269	0.9999888369195002	0.5244594889912442	0.887559017961698	0.6459392462991191	0.6883774930462216	0.3302859462399824	1.0	0.444556176829165	0.5163380001623215	0.6366412398085495	0.01518717139199728	0.7519361275206797	0.13876886114242296	1.0	0.6164340395517411	0.23595752558690478	0.5184973813177151	0.012357749238426056	0.9999999439914903	0.5283590912029899	0.514017448516986	0.017884011487575967	1.0	0.5454820381673351	0.19459791634293136	0.44798012210758237	0.9958956027781393	0.08939032566055005	0.5027778563699957	0.5265438246104727	0.24923529375343562
"G3(+/-)"	0.04284209943605003	0.5472111109735861	0.4999999725433424	0.2380617283703275	0.5549955989318007	0.48091740220945045	0.9381274807415391	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G4(+/-)"	0.04335460527890332	0.5219497071493913	0.9999999661477843	0.11903086418517068	0.701849385950452	0.4943474427051374	0.9978483640388776	0.6067707758651181	0.5232677715221534	0.991014975937252	1.0	0.08832990412952829	1.0	0.9754078524592038	0.0426755864296464	0.2728748127047008	0.005512822458493759	0.9336938293962125	0.5023251172135269	0.9999888369195002	0.5244594889912442	0.8875590179616983	0.6459392462991217	0.6883774930462216	0.33028594623996904	1.0	0.4445561768291627	0.5163380001623215	0.6366412398085448	0.015187171391997345	0.7519361275207276	0.1387688611424288	1.0	0.616434039551741	0.23595752558686864	0.518497381323067	0.012357749238426056	0.9999999439914903	0.5283590912029079	0.514017448516986	0.017884011488597144	1.0	0.5454820381646504	0.19459791634293247	0.4479801221075666	0.9958956027781393	0.08939032566055448	0.5027778563699957	0.5265438246104807	0.24923529375343562
"G5(+/-)"	0.04284209943605003	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.27749779946590036	0.48091740220945045	0.9381274807415391	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G6(+/-)"	0.04284209943605003	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.5549955989318007	0.24045870110472523	0.9381274807415391	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G7(+/-)"	0.04284209943605003	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.5549955989318007	0.48091740220945045	0.46906374037076953	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G8(+/-)"	0.04284209943605003	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.5549955989318007	0.48091740220945045	0.9381274807415391	0.3033853878412623	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G9(+/-)"	0.04280602707173277	0.5491234414710305	0.9999999345741833	0.39498536517872535	0.5252657705278504	0.4799293735882053	0.6786642400188247	0.6067707756654099	0.2616338857610767	0.9685120418733543	1.0	0.26856859406234096	1.0	0.5685220485000171	0.0426755864296464	0.47661127538240355	0.08881820842479407	0.9339788178583681	0.5023249129929718	0.9999888367828453	0.5243704210006319	0.8900550058993328	0.6517663079060212	0.8134152829758529	0.33822836903212283	1.0	0.42868134924727147	0.5163380226680574	0.6369224231663323	0.015187171391997269	0.7399524540657594	0.1380611706763457	1.0	0.6164512934787996	0.24736658179141535	0.5184973315572305	0.012357749238426056	0.9999999439914903	0.5284425153676914	0.512161201241052	0.017884011487313674	1.0	0.5454820381680247	0.19459791634293108	0.4479801221075858	0.9958956027781393	0.08939032566054911	0.5027778563699957	0.5265401724628068	0.24923529375343562
