"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.042842106779227035	0.5472111109596839	0.9999999450865293	0.23806174893413742	0.5549955989323537	0.48091741876492106	0.9381274807282264	0.6067708100833897	0.5232677741936936	0.9910149759318103	1.0	0.18014572067071513	1.0	0.723562907517194	0.04267558919129026	0.2728748128540694	0.010929809015629972	0.9336938241287724	0.502325117716532	0.9999888369195007	0.5244594899871203	0.887559017985312	0.6459392479152166	0.6883774928692209	0.3302859409681586	1.0	0.4445561760726751	0.5163379999734001	0.6366412381782753	0.015187179355861245	0.7519361463277442	0.1387688626282202	1.0	0.616434039470645	0.23595751182101599	0.51849750291622	0.012357749257281093	0.9999999439914894	0.5283590828434948	0.5140174493078166	0.01788411019905324	1.0	0.5454815579547295	0.19459792043556756	0.4479801162211214	0.9958956027772576	0.08939032864731093	0.5027778550458869	0.5265438278142389	0.24923529375471262
"G1(-/-)"	0.0	0.5472111109627307	0.999999945086559	0.238061745649733	0.5549955989322158	0.48091741602679555	0.9381274807312608	0.6067708048521779	0.5232677737297537	0.9910149759330904	1.0	0.18014572066944362	1.0	0.7235629077479673	0.04267558869873628	0.27287481282507964	0.010929808990047462	0.9336938250353355	0.5023251176171055	0.9999888369195006	0.5244594897963764	0.8875590179835587	0.6459392476467299	0.6883774929062685	0.33028594189474186	1.0	0.4445561762047952	0.5163380000110267	0.6366412384668877	0.015187177927368765	0.7519361430235162	0.13876886236928787	1.0	0.6164340394843619	0.2359575142401214	0.5184974858526508	0.012357749253080415	0.9999999439914895	0.5283590842067287	0.5140174491546247	0.017884095105806505	1.0	0.5454816308848889	0.19459791967785733	0.44798011722356357	0.99589560277748	0.08939032810792218	0.5027778552914546	0.526543827284967	0.24923529375440695
"G2(-/-)"	0.999995862392074	0.0	0.2634292479043439	0.2380617283704157	0.5549955989317579	0.999996834323817	0.9381274807414528	0.6067707756826756	0.5232677715221565	0.9910149759372515	1.0	0.18014572066515283	1.0	0.7235629087024292	0.042675586429648395	0.2728748127047009	0.01092980888258438	0.9336938293962124	0.5023251172135274	0.9999888369195002	0.5244594889912446	0.8875590179616984	0.6459392462991201	0.6883774930462212	0.3302859462399824	1.0	0.444556176829165	0.516338000162321	0.6366412398085496	0.015187171392002189	0.75193612752068	0.1387688611424223	1.0	0.6164340395517409	0.23595752558690494	0.5184973813171458	0.012357749238426061	0.99999994399149	0.5283590912030005	0.5140174485169863	0.017884011487749325	1.0	0.5454820381653448	0.19459791634293336	0.4479801221075796	0.9958956027781389	0.08939032566055036	0.5027778563699951	0.5265438246104778	0.24923529375343564
"G3(-/-)"	0.04284210524615025	0.5472111109627307	0.0	0.238061745649733	0.5549955989322158	0.48091741602679555	0.9381274807312608	0.6067708048521779	0.5232677737297537	0.9910149759330904	1.0	0.18014572066944362	1.0	0.7235629077479673	0.04267558869873628	0.27287481282507964	0.010929808990047462	0.9336938250353355	0.5023251176171055	0.9999888369195006	0.5244594897963764	0.8875590179835587	0.6459392476467299	0.6883774929062685	0.33028594189474186	1.0	0.4445561762047952	0.5163380000110267	0.6366412384668877	0.015187177927368765	0.7519361430235162	0.13876886236928787	1.0	0.6164340394843619	0.2359575142401214	0.5184974858526508	0.012357749253080415	0.9999999439914895	0.5283590842067287	0.5140174491546247	0.017884095105806505	1.0	0.5454816308848889	0.19459791967785733	0.44798011722356357	0.99589560277748	0.08939032810792218	0.5027778552914546	0.526543827284967	0.24923529375440695
"G4(-/-)"	0.1595072177874346	0.0989496596820764	0.9999999999999903	0.0	0.9999999997993617	0.8764466551889534	0.9999999998156227	0.9999984716571848	0.5232677715221541	0.9910149759372515	1.0	0.006195655577169071	1.0	0.9999998158284773	0.04267558642964673	0.27287481270470115	0.005476339562813615	0.9336938293962173	0.5023251172135274	0.9999888369195002	0.5244594889912446	0.8875590179616982	0.6459392462991186	0.6883774930462214	0.3302859462399859	1.0	0.4445561768291655	0.516338000162321	0.6366412398085506	0.01518717139199809	0.7519361275206664	0.1387688611424212	1.0	0.6164340395517409	0.235957525586915	0.5184973813154539	0.012357749238426061	0.9999999439914902	0.5283590912030184	0.5140174485169863	0.017884011487254183	1.0	0.5454820381678358	0.19459791634293142	0.4479801221075864	0.9958956027781389	0.08939032566054889	0.5027778563699952	0.5265438246104717	0.24923529375343564
"G5(-/-)"	0.04284210524615025	0.5472111109627307	0.999999945086559	0.238061745649733	0.0	0.48091741602679555	0.9381274807312608	0.6067708048521779	0.5232677737297537	0.9910149759330904	1.0	0.18014572066944362	1.0	0.7235629077479673	0.04267558869873628	0.27287481282507964	0.010929808990047462	0.9336938250353355	0.5023251176171055	0.9999888369195006	0.5244594897963764	0.8875590179835587	0.6459392476467299	0.6883774929062685	0.33028594189474186	1.0	0.4445561762047952	0.5163380000110267	0.6366412384668877	0.015187177927368765	0.7519361430235162	0.13876886236928787	1.0	0.6164340394843619	0.2359575142401214	0.5184974858526508	0.012357749253080415	0.9999999439914895	0.5283590842067287	0.5140174491546247	0.017884095105806505	1.0	0.5454816308848889	0.19459791967785733	0.44798011722356357	0.99589560277748	0.08939032810792218	0.5027778552914546	0.526543827284967	0.24923529375440695
"G6(-/-)"	0.04284210524615025	0.5472111109627307	0.999999945086559	0.238061745649733	0.5549955989322158	0.0	0.9381274807312608	0.6067708048521779	0.5232677737297537	0.9910149759330904	1.0	0.18014572066944362	1.0	0.7235629077479673	0.04267558869873628	0.27287481282507964	0.010929808990047462	0.9336938250353355	0.5023251176171055	0.9999888369195006	0.5244594897963764	0.8875590179835587	0.6459392476467299	0.6883774929062685	0.33028594189474186	1.0	0.4445561762047952	0.5163380000110267	0.6366412384668877	0.015187177927368765	0.7519361430235162	0.13876886236928787	1.0	0.6164340394843619	0.2359575142401214	0.5184974858526508	0.012357749253080415	0.9999999439914895	0.5283590842067287	0.5140174491546247	0.017884095105806505	1.0	0.5454816308848889	0.19459791967785733	0.44798011722356357	0.99589560277748	0.08939032810792218	0.5027778552914546	0.526543827284967	0.24923529375440695
"G7(-/-)"	0.04284210524615025	0.5472111109627307	0.999999945086559	0.238061745649733	0.5549955989322158	0.48091741602679555	0.0	0.6067708048521779	0.5232677737297537	0.9910149759330904	1.0	0.18014572066944362	1.0	0.7235629077479673	0.04267558869873628	0.27287481282507964	0.010929808990047462	0.9336938250353355	0.5023251176171055	0.9999888369195006	0.5244594897963764	0.8875590179835587	0.6459392476467299	0.6883774929062685	0.33028594189474186	1.0	0.4445561762047952	0.5163380000110267	0.6366412384668877	0.015187177927368765	0.7519361430235162	0.13876886236928787	1.0	0.6164340394843619	0.2359575142401214	0.5184974858526508	0.012357749253080415	0.9999999439914895	0.5283590842067287	0.5140174491546247	0.017884095105806505	1.0	0.5454816308848889	0.19459791967785733	0.44798011722356357	0.99589560277748	0.08939032810792218	0.5027778552914546	0.526543827284967	0.24923529375440695
"G8(-/-)"	0.04284210524615025	0.5472111109627307	0.999999945086559	0.238061745649733	0.5549955989322158	0.48091741602679555	0.9381274807312608	0.0	0.5232677737297537	0.9910149759330904	1.0	0.18014572066944362	1.0	0.7235629077479673	0.04267558869873628	0.27287481282507964	0.010929808990047462	0.9336938250353355	0.5023251176171055	0.9999888369195006	0.5244594897963764	0.8875590179835587	0.6459392476467299	0.6883774929062685	0.33028594189474186	1.0	0.4445561762047952	0.5163380000110267	0.6366412384668877	0.015187177927368765	0.7519361430235162	0.13876886236928787	1.0	0.6164340394843619	0.2359575142401214	0.5184974858526508	0.012357749253080415	0.9999999439914895	0.5283590842067287	0.5140174491546247	0.017884095105806505	1.0	0.5454816308848889	0.19459791967785733	0.44798011722356357	0.99589560277748	0.08939032810792218	0.5027778552914546	0.526543827284967	0.24923529375440695
"G9(-/-)"	0.042799652711359396	0.5494633872348108	0.9999999295073562	0.9999952320372464	0.5156809584502584	0.4797541610506387	0.5033523585836259	0.9999951509877457	0.0	0.021537540472850048	1.0	0.4089268534479612	1.0	0.5234962521760308	0.042675586429647736	0.9999998147389748	0.6396527849908686	0.9340684044076074	0.5023248488402362	0.9999888367401538	0.52435779607674	0.8911793179947004	0.6544784460770603	0.9158730373123938	0.3426695323845492	1.0	0.4188605738407646	0.5163380317593098	0.6370712202104095	0.015187171392000572	0.7332172389468611	0.13769329301066685	1.0	0.6164617235548328	0.25367857493345675	0.5184973063392342	0.012357749238426061	0.99999994399149	0.5284855131752466	0.5110659988569553	0.01788401148756897	1.0	0.545482038166252	0.1945979163429326	0.44798012210758226	0.9958956027781389	0.08939032566054976	0.5027778563699952	0.5265382919816678	0.24923529375343564
