"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.9992530581387772	0.5473731560706209	0.509513828150504	0.07069685184060102	1.0	0.06803136439098244	0.07679234848234838	0.786577357737074	0.6007713768087801	0.9037584885087923	0.2671344913219952	0.4095101947412554	0.29266518815676473	0.018673542256897484	0.7498132989574938	0.05310908133221719	1.0	1.0	1.0	0.24848816838121532	0.08066209336801208	0.5116793708990324	0.8752312940760966	0.5237557351771	0.8705795773696923	0.1519932199013323	0.99998596044361	0.48765995794500133	0.044701821866849636	0.9660444587296372	0.9806867970105547	0.913121295608904	0.4821494814915236	0.4092288141225041	0.7776104995436489	0.0017083546484670117	0.18018699879050432	0.9328464442451869	0.46448475603775247	0.4604025460947581	0.4655134094592274	0.9996430246003589	0.9993766491197654	0.4679232170041884	0.6758967112912123	0.9602663765195197	0.44494637012854527	1.0	0.6377252443486531	0.5134981107821031
"G1(-/-)"	0.0	0.5473731560858283	0.5095137923975122	0.1241892721958993	1.0	0.06535889964075359	0.07679234848232735	0.7867472230612267	0.600771376868369	0.9037584885218417	0.531379455764467	0.4095101968017136	0.2926713118623907	0.018673547256207824	0.7498623008225799	0.05310908124763248	1.0	1.0	1.0	0.24848787204734613	0.08066209242564633	0.5116793709009555	0.8752313195236231	0.5237557352912701	0.8705804445321674	0.1519932201066914	0.9999859604436163	0.48765995842503596	0.044701821708450926	0.9660444584675966	0.980686800337992	0.9131212961165067	0.4821494905152295	0.3556354682261164	0.7776104995473343	0.0017083546356122764	0.18018686486460256	0.9328461235650702	0.46448422796076333	0.46040254609475845	0.4655143741569938	0.9996430253441178	0.9993766491197649	0.46792321770236794	0.6758966402661001	0.9602663821396065	0.44494637071758236	1.0	0.6377252444563974	0.5134981107808987
"G2(-/-)"	0.7686768357314303	0.0	0.9999979394631773	0.07406535687826177	1.0	0.06541994986326033	0.07679234848232735	0.7867127038952927	0.600771376868369	0.9037584885218417	0.2671345013056405	0.40951019680171347	0.2926660575821863	0.015858353681889845	0.7498132986556342	0.053109081247632486	1.0	1.0	1.0	0.24848787204765346	0.08066209242564636	0.9999999997269495	0.8752313195236221	0.5237557352912701	0.8705797005722875	0.1519932201066914	0.9999859604436163	0.48765995842503596	0.044701821708450926	0.9660444584675967	0.9806868003379919	0.9131212961165067	0.4821494905149063	0.4092288105296721	0.7776104995473343	0.0017083546356122766	0.1801868648647412	0.9328461235654033	0.4617696608871469	0.46040254609475845	0.4655143741559929	0.9996430253441178	0.9993766491197649	0.46792321770236833	0.675896640266129	0.9602663821396061	0.44494637071758236	1.0	0.637725244456396	0.5134981107808987
"G3(-/-)"	0.9999990076135462	0.5473731560858283	0.0	0.12396108842432671	1.0	0.6039052290561221	0.07679234848232735	0.2941658102869183	0.600771376868369	0.9037584885218417	0.26467976065256776	0.4095101968017136	0.29267520512481393	0.9999909746818685	0.7498118994064573	0.05310908124763248	1.0	1.0	1.0	0.248487872047346	0.08066209242564633	0.5116793709009555	0.8752313195236231	0.5237557352912701	0.8705809957635473	0.1519932201066914	0.9999859604436163	0.48765995842503596	0.044701821708450926	0.9660444584675966	0.980686800337992	0.9131212961165067	0.4821494905154688	0.41012161635866573	0.7776104995473343	0.0017083546356122764	0.18018686486460256	0.9328461235650702	0.9035078125675727	0.46040254609475845	0.465514374156994	0.9996430253441178	0.9993766491197649	0.46792321770236794	0.6758966402661001	0.9602663821396065	0.44494637071758236	1.0	0.6377252444563988	0.5134981107808987
"G4(-/-)"	0.9992530581561276	0.5473731560858283	0.5095137923984452	0.0	1.0	0.06803136488979127	0.07679234848232735	0.7865773612783605	0.600771376868369	0.9037584885218417	0.26713449132215644	0.4095101968017097	0.27631049816577496	0.018673547256072082	0.7498235180660664	0.05310908124763267	1.0	1.0	1.0	0.2484878720595579	0.08066209242564806	0.5116793709009555	0.8752313195235698	0.5237557352912701	0.8681034569556912	0.15199322010669106	0.9999859604436163	0.48765995842503523	0.04470182170845119	0.9660444584676003	0.9806868003379847	0.9131212961165057	0.48214948937483376	0.4092285481313508	0.7776104995473343	0.0017083546356122974	0.18018686487001762	0.9328461235780772	0.4644847854906721	0.46040254609475845	0.4655143741174106	0.9996430253441169	0.9993766491197649	0.46792321770238055	0.6758966402673551	0.9602663821395798	0.4449463707175813	1.0	0.6377252444506374	0.5134981107808987
"G5(-/-)"	0.7560179448518809	0.5473731560858283	0.5095137923973856	1.3051955492071985E-5	0.0	0.06803136488988419	0.07679234848232735	0.7865773620255143	0.600771376868369	0.9037584885218417	0.2671345019592578	0.409510196801714	0.2763105400251348	0.01867354725622632	0.7498235180451023	0.053109081247632466	1.0	1.0	1.0	0.2484878720457468	0.0806620924256462	0.5116793709009555	0.8752313195236269	0.5237557352912701	0.8681034636391392	0.1519932201066914	0.9999859604436163	0.48765995842503596	0.044701821708450926	0.9660444584675958	0.9806868003379923	0.9131212961165067	0.48214948937485647	0.40922854429096156	0.7776104995473343	0.0017083546356122757	0.18018686486378638	0.9328461235631096	0.46448478549905414	0.46040254609475845	0.46551437416238384	0.9996430253441178	0.9993766491197649	0.46792321770236595	0.6758966402659451	0.9602663821396084	0.44494637071758253	1.0	0.6377252444506378	0.5134981107808987
"G6(-/-)"	0.9992530581416385	0.5473731560738511	0.5095138227760491	0.07069685183878277	1.0	0.0	0.07679234848234275	0.7865773583697163	0.6007713768218953	0.9037584885119365	0.2671344913220324	0.4095101951242517	0.29266518815676124	0.018673543001902992	0.7498132989899684	0.053109081316540505	1.0	1.0	1.0	0.24848812563703634	0.08066209319339125	0.5116793708993778	0.8752312987527304	0.5237557351996788	0.8705795773885359	0.15199321993933756	0.9999859604436118	0.48765995803376144	0.044701821837539686	0.9660444586844832	0.980686797617563	0.9131212957027616	0.4821494831449363	0.40922881412244483	0.7776104995443304	0.001708354646090088	0.18018697947550158	0.9328463980415049	0.4644847814612566	0.46040254609475817	0.46551354861232197	0.9996430247400762	0.9993766491197653	0.4679232171499299	0.6758967002666133	0.9602663774928152	0.44494637024073336	1.0	0.6377252443683696	0.5134981107818801
"G7(-/-)"	0.9992530581561279	0.5473731560858283	0.5095137923979374	0.07068678858687823	1.0	0.06711591137339572	0.0	0.786747222868575	0.9999999820592862	0.999999999362065	0.8366023017447215	0.4095101968017119	0.2926651853499329	0.018673547256145933	0.7498695640063728	0.0531090812476326	1.0	1.0	1.0	0.24848787205293438	0.08066209242564702	0.5116793709009555	0.8752313195236017	0.5237557352912701	0.8705795770692261	0.1519932201066913	0.9999859604436163	0.48765995842503573	0.044701821708451016	0.9660444584675983	0.9806868003379893	0.9131212961165063	0.4821494905148455	0.33297949046941505	0.7776104995473343	0.0017083546356122835	0.18018686486712382	0.9328461235711264	0.46448412355396834	0.46040254609475845	0.46551437413879665	0.9996430253441175	0.9993766491197649	0.46792321770237394	0.6758966402666606	0.9602663821395954	0.4449463707175819	1.0	0.6377252444563957	0.5134981107808987
"G8(-/-)"	0.9992530581416385	0.5473731560738511	0.5095138227760491	0.07069685183878277	1.0	0.06803136435040484	0.07679234848234275	0.0	0.6007713768218953	0.9037584885119365	0.2671344913220324	0.4095101951242517	0.29266518815676124	0.018673543001902992	0.7498132989899684	0.053109081316540505	1.0	1.0	1.0	0.24848812563703634	0.08066209319339125	0.5116793708993778	0.8752312987527304	0.5237557351996788	0.8705795773885359	0.15199321993933756	0.9999859604436118	0.48765995803376144	0.044701821837539686	0.9660444586844832	0.980686797617563	0.9131212957027616	0.4821494831449363	0.40922881412244483	0.7776104995443304	0.001708354646090088	0.18018697947550158	0.9328463980415049	0.4644847814612566	0.46040254609475817	0.46551354861232197	0.9996430247400762	0.9993766491197653	0.4679232171499299	0.6758967002666133	0.9602663774928152	0.44494637024073336	1.0	0.6377252443683696	0.5134981107818801
"G9(-/-)"	0.9992530581561281	0.5473731560858283	0.5095137923975122	0.11935428243432739	1.0	0.06803136488987312	0.07679234848232735	0.7865773612783685	0.0	0.9037584885218417	0.26713449132215644	0.4095101968017136	0.2926710967415346	0.018673547256207824	0.7498132955939383	0.05310908124763248	1.0	1.0	1.0	0.24848787204734613	0.08066209242564633	0.5116793709009555	0.8752313195236231	0.5237557352912701	0.8705804140735635	0.1519932201066914	0.9999859604436163	0.48765995842503596	0.044701821708450926	0.9660444584675966	0.980686800337992	0.9131212961165067	0.48214949051521633	0.409228814207548	0.7776104995473343	0.0017083546356122764	0.18018686486460256	0.9328461235650702	0.4644849324715691	0.46040254609475845	0.4655143741569938	0.9996430253441178	0.9993766491197649	0.46792321770236794	0.6758966402661001	0.9602663821396065	0.44494637071758236	1.0	0.6377252444563973	0.5134981107808987
