"","MeanAUC","DyAcc"
"1",0.913876488095238,0.935
"2",0.978517722878625,0.986
"3",0.950475678993402,0.927
"4",0.889597505668934,0.91
"5",0.963184321347587,0.983
"6",0.925677316713501,0.946
"7",0.973242630385488,0.99
"8",0.974792423234958,0.993
"9",0.98469387755102,0.984
"10",0.98177775562644,0.98
"11",0.945373638177075,0.983
"12",0.989739229024943,0.991
"13",0.950036075036075,0.987
"14",0.978484247234247,0.98
"15",0.954365079365079,0.989
"16",0.949946294307197,0.987
"17",0.89075006626027,0.894
"18",0.956705539358601,0.986
"19",0.945833333333333,0.983
"20",0.956965488215488,0.983
"21",0.877551020408163,0.88
"22",0.974164133738602,0.98
"23",0.913563829787234,0.919
