"","Acc","Recall","Pre","FPR","Fmeasure","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",0.6432,0.134615384615385,0.00819672131147541,0.345996732026144,0.0154525386313466,0.6408,0.0217391304347826,0.00117096018735363,0.34759576202119,0.00222222222222222
"2",0.6268,0.1,0.00559910414333707,0.362448979591837,0.0106044538706257,0.6252,0.0217391304347826,0.00111982082866741,0.363488182559087,0.00212992545260916
"3",0.6212,0.132075471698113,0.00770925110132159,0.368205966489579,0.0145681581685744,0.6188,0.0212765957446809,0.00110132158590308,0.369751324908276,0.00209424083769634
"4",0.6384,0.12,0.0069284064665127,0.351020408163265,0.0131004366812227,0.6376,0.0833333333333333,0.0046189376443418,0.351549755301794,0.0087527352297593
"5",0.6144,0.0851063829787234,0.00432432432432432,0.375458622095393,0.00823045267489712,0.6128,0,0,0.376475376475376,0
"6",0.6704,0.156862745098039,0.0101394169835234,0.318905675786035,0.019047619047619,0.6684,0.0652173913043478,0.00380228136882129,0.320293398533007,0.00718562874251497
"7",0.6592,0.0588235294117647,0.00371747211895911,0.328297264189465,0.00699300699300699,0.6592,0.0588235294117647,0.00371747211895911,0.328297264189465,0.00699300699300699
"8",0.6224,0.122448979591837,0.00661521499448732,0.367605059159527,0.0125523012552301,0.6208,0.0444444444444444,0.00220507166482911,0.368635437881874,0.00420168067226891
"9",0.6184,0.127659574468085,0.00652883569096844,0.37219730941704,0.0124223602484472,0.6176,0.0888888888888889,0.0043525571273123,0.372708757637475,0.00829875518672199
"10",0.6696,0.0740740740740741,0.00512820512820513,0.317252657399836,0.00959232613908873,0.668,0,0,0.318367346938775,0
"11",0.646,0.142857142857143,0.00823529411764706,0.343941248470012,0.0155728587319244,0.6436,0.0232558139534884,0.00117647058823529,0.345543345543346,0.00223964165733483
"12",0.6116,0.183673469387755,0.00957446808510638,0.37984496124031,0.0182002022244692,0.608,0,0,0.382113821138211,0
"13",0.632,0.14,0.00791855203619909,0.357959183673469,0.0149892933618844,0.63,0.0444444444444444,0.00226244343891403,0.359266802443992,0.00430570505920344
"14",0.6684,0.150943396226415,0.0101010101010101,0.320392317123008,0.0189349112426036,0.6656,0.0217391304347826,0.00126262626262626,0.322330888345558,0.00238663484486874
"15",0.6284,0.173076923076923,0.0100558659217877,0.361928104575163,0.0190073917634636,0.6264,0.0851063829787234,0.00446927374301676,0.36322869955157,0.00849256900212314
"16",0.5776,0.125,0.00588235294117647,0.413539967373573,0.0112359550561798,0.5752,0,0,0.414971521562246,0
"17",0.6296,0.142857142857143,0.00785634118967452,0.360669114647083,0.0148936170212766,0.6296,0.142857142857143,0.00785634118967452,0.360669114647083,0.0148936170212766
"18",0.6424,0.14,0.00815850815850816,0.34734693877551,0.0154185022026432,0.6408,0.0652173913043478,0.0034965034965035,0.34841075794621,0.00663716814159292
"19",0.6556,0.134615384615385,0.00850546780072904,0.333333333333333,0.016,0.6536,0.0425531914893617,0.00243013365735115,0.33469221361598,0.00459770114942529
"20",0.6584,0.0769230769230769,0.00493827160493827,0.329248366013072,0.00928074245939675,0.6576,0.04,0.00246913580246914,0.329795918367347,0.00465116279069767
"21",0.6392,0.104166666666667,0.00578703703703704,0.350326264274062,0.0109649122807018,0.638,0.0444444444444444,0.00231481481481481,0.35112016293279,0.0044004400440044
"22",0.652,0.0869565217391304,0.00480769230769231,0.337408312958435,0.00911161731207289,0.6508,0.0232558139534884,0.00120192307692308,0.338217338217338,0.00228571428571429
"23",0.6212,0,0,0.367413441955193,0,0.6224,0.0625,0.00332594235033259,0.366639477977162,0.00631578947368421
