"","min","max","links","MeanAUC","DyAcc","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",4,35,700,0.958466089466089,0.954,0.429983647446787,0.0439827563597479,0.6796,0.136690647482014,0.0271428571428571,0.28843710292249,0.0452920143027414,0.517047924465498,0.0948652701186647,0.6932,0.30635838150289,0.0757142857142857,0.278040395358831,0.121420389461627
"2",4,20,455,0.957143274853801,0.983,0.449179461872658,0.0402515477941398,0.7636,0.0903614457831325,0.032967032967033,0.188517566409597,0.0483091787439614,0.468444075703416,0.0651060945897,0.7664,0.127167630057803,0.0483516483516484,0.186076493339063,0.0700636942675159
"3",2,28,410,0.9391163003663,0.971,0.4798461712568,0.0476470051723488,0.7884,0.130434782608696,0.0512195121951219,0.166310389055152,0.0735551663747811,0.508962394211208,0.0778640864130633,0.7932,0.190751445086705,0.0804878048780488,0.162011173184358,0.113207547169811
"4",4,19,436,0.948352405441557,0.956,0.469399526996852,0.0459163512120377,0.7756,0.111801242236025,0.0412844036697248,0.17870884993587,0.0603015075376884,0.503318669253373,0.0855998864113916,0.7804,0.173410404624277,0.0688073394495413,0.174473571121616,0.0985221674876847
"5",4,16,456,0.939160561660562,0.97,0.466029488024323,0.0377557457067876,0.7648,0.102409638554217,0.037280701754386,0.18808911739503,0.0546623794212219,0.486044697705498,0.0649674101178914,0.7676,0.138728323699422,0.0526315789473684,0.185646755479158,0.0763116057233704
"6",3,15,410,0.988266670464039,0.985,0.472774592206131,0.0548718308770177,0.7848,0.114457831325301,0.0463414634146341,0.167523564695801,0.0659722222222222,0.488833025727138,0.0829113405261661,0.7876,0.15028901734104,0.0634146341463415,0.165019338203696,0.0891938250428816
"7",4,15,412,0.946156964380649,0.936,0.467136872951382,0.0444331513608847,0.7832,0.0987654320987654,0.0388349514563107,0.169375534644996,0.0557491289198606,0.499288324295589,0.084730399607003,0.7876,0.15606936416185,0.0655339805825243,0.165449076063601,0.0923076923076923
"8",5,27,418,0.959735919886296,0.976,0.45856982383085,0.0354247018951296,0.7788,0.0858895705521472,0.0334928229665072,0.172871202396234,0.0481927710843374,0.484399025265109,0.0674651673720534,0.7828,0.138728323699422,0.0574162679425837,0.16931671680275,0.0812182741116751
"9",2,17,452,0.97770202020202,0.988,0.453928180584754,0.0348711457799817,0.7672,0.09375,0.0331858407079646,0.186752136752137,0.0490196078431373,0.488598284526208,0.0678268458524842,0.7724,0.161849710982659,0.0619469026548673,0.182208852599914,0.0896
"10",4,34,465,0.951939102564103,0.978,0.482412727889028,0.0524712735059243,0.7696,0.150943396226415,0.0516129032258065,0.188381033746262,0.0769230769230769,0.520228729838959,0.0900005209592374,0.7752,0.219653179190751,0.0817204301075269,0.18349806617963,0.119122257053292
"11",3,11,422,0.964175039872408,0.96,0.448490584695121,0.0322063173178898,0.7752,0.0731707317073171,0.028436018957346,0.175513698630137,0.0409556313993174,0.474651676350258,0.0667041193752755,0.7788,0.121387283236994,0.0497630331753555,0.172324881822089,0.0705882352941176
"12",3,17,484,0.894027777777778,0.956,0.450932287386906,0.0366114152330533,0.7552,0.104938271604938,0.0351239669421488,0.199743370402053,0.0526315789473684,0.480993414826204,0.0698278126482237,0.7596,0.161849710982659,0.0578512396694215,0.195960464116889,0.0852359208523592
"13",2,16,445,0.949313131313131,0.977,0.472143817244233,0.0388825063486264,0.7772,0.145569620253165,0.051685393258427,0.180187873612297,0.0762852404643449,0.509436844680814,0.0740223936637863,0.7832,0.219653179190751,0.0853932584269663,0.174903308981521,0.122977346278317
"14",3,24,521,0.935546726665148,0.938,0.468328703243239,0.0410315978806903,0.7464,0.144654088050314,0.0441458733205374,0.212729602733874,0.0676470588235294,0.504581800477431,0.0822489247707123,0.752,0.213872832369942,0.0710172744721689,0.207993124194242,0.106628242074928
"15",3,29,515,0.927246642246642,0.925,0.459864817805369,0.0378406587757889,0.7492,0.141025641025641,0.0427184466019417,0.210324232081911,0.0655737704918033,0.507481910023325,0.0774625719474393,0.756,0.225433526011561,0.0757281553398058,0.204555221314998,0.113372093023256
"16",3,18,417,0.994626623376623,0.995,0.500987901522182,0.0634049372384862,0.79,0.1625,0.0623501199040767,0.167094017094017,0.0901213171577123,0.52975375772224,0.0969944224433927,0.7952,0.225433526011561,0.0935251798561151,0.162440911044263,0.132203389830508
"17",3,14,461,0.957079254079254,0.98,0.470353862563901,0.0514516523923563,0.7672,0.124223602484472,0.0433839479392625,0.188542112013681,0.0643086816720257,0.502762245665982,0.0885877338791525,0.772,0.184971098265896,0.06941431670282,0.184357541899441,0.100946372239748
"18",2,12,373,0.972189839400366,0.967,0.460452910573618,0.0328792742377629,0.7952,0.0683229813664596,0.0294906166219839,0.154766994442069,0.0411985018726592,0.492875790854284,0.0803900244605518,0.8,0.132947976878613,0.0616621983914209,0.15040825096691,0.0842490842490843
"19",NA,NA,NA,0.982802197802198,0.978,0.47158618845111,0.0551949275336825,0.7272,0.16875,0.046875,0.234615384615385,0.0733695652173913,0.508364984064922,0.0876394788498764,0.7324,0.23121387283237,0.0694444444444444,0.230339492909325,0.106809078771696
"20",5,33,560,0.909312298812299,0.86,0.473208086903848,0.0495837001350785,0.732,0.15625,0.0446428571428571,0.228632478632479,0.0694444444444444,0.5076185318863,0.0829964402133299,0.7372,0.219653179190751,0.0678571428571429,0.224323162870649,0.103683492496589
"21",4,22,422,0.956866959064328,0.983,0.459989633970479,0.0349146852672342,0.7792,0.0886075949367089,0.033175355450237,0.174210076857387,0.0482758620689655,0.501720193456558,0.0771782535849592,0.7852,0.167630057803468,0.0687203791469194,0.168886978942845,0.0974789915966387
"22",2,19,400,0.943005751558383,0.919,0.458535104311297,0.0297972263699636,0.7876,0.0880503144654088,0.035,0.164886800512601,0.0500894454382826,0.496590663510288,0.068996207746153,0.7932,0.161849710982659,0.07,0.15986248388483,0.0977312390924956
"23",2,21,411,0.934681875142401,0.968,0.450628561959983,0.0272009489221181,0.7816,0.0700636942675159,0.0267639902676399,0.170721297481861,0.0387323943661972,0.496348470207739,0.0737850748509041,0.788,0.15606936416185,0.0656934306569343,0.165019338203696,0.0924657534246575
