"","min","max","links","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",3,51,3393,0.426734459959143,0.0049175412450091,0.6538,0.144329896907216,0.00412614205717654,0.341209734423912,0.00802292263610315,0.369331283128007,0.00451364477640922,0.6526,0.0235294117647059,0.000589448865310934,0.342007060010086,0.00115008625646924
"2",4,51,3203,0.461609539754606,0.00465116433413158,0.674,0.206185567010309,0.00624414611301904,0.321417752196304,0.0121212121212121,0.44856175420947,0.00431931117814973,0.6721,0.0128205128205128,0.000312207305650952,0.32271719411409,0.000609570252971655
"3",3,48,3204,0.467797242561192,0.00544704380760635,0.6731,0.157894736842105,0.00468164794007491,0.32195860676426,0.009093664746893,0.430367602504545,0.004,0.6716,0,0,0.322983870967742,0
"4",4,46,3142,0.438340182757901,0.0058148255088961,0.6794,0.18,0.00572883513685551,0.315555555555556,0.0111042566317088,0.378459372292481,0.00459619759259838,0.678,0.0465116279069767,0.00127307447485678,0.316522089973774,0.00247831474597274
"5",3,47,3009,0.487933027188694,0.00398203231919149,0.6924,0.154639175257732,0.00498504486540379,0.302332626476825,0.00965872504829363,0.483709399979763,0.00435,0.6914,0.0574712643678161,0.00166168162180126,0.30303641682639,0.00322997416020672
"6",3,47,3113,0.4453531484536,0.00571635740301324,0.6832,0.204301075268817,0.00610343719884356,0.312304431210255,0.0118527760449158,0.35726790172396,0.00387204760894282,0.6814,0.0133333333333333,0.00032123353678124,0.313551637279597,0.000627352572145546
"7",3,45,2948,0.437929340128141,0.0050822548658637,0.6989,0.161290322580645,0.00508819538670285,0.296053295649541,0.00986517592897073,0.370137456164658,0.00408858754000568,0.6975,0.0126582278481013,0.00033921302578019,0.297046668682592,0.000660720185001652
"8",3,47,3251,0.454881932323256,0.00642059593599432,0.6697,0.211111111111111,0.00584435558289757,0.326135216952573,0.0113738401676145,0.364630581594597,0.0036,0.6679,0.0138888888888889,0.000307597662257767,0.327356970185334,0.000601865783930184
"9",3,45,3102,0.435882073462946,0.00496160874902617,0.6834,0.159574468085106,0.00483558994197292,0.311629315566323,0.00938673341677096,0.383819521550419,0.00395,0.6819,0,0,0.31267009374055,0
"10",4,48,3143,0.480239568429603,0.00559748599848952,0.6788,0.158415841584158,0.00509067769646834,0.315890493989292,0.00986436498150432,0.467726196899358,0.00495512947127544,0.6773,0.0116279069767442,0.000318167356029271,0.316925559814404,0.00061938680706101
"11",4,50,3335,0.430519063697272,0.00508995201619867,0.6611,0.2,0.00539730134932534,0.334712411705348,0.0105109489051095,0.351149489160118,0.00377157262331366,0.6594,0.0136986301369863,0.000299850074962519,0.335851717538028,0.000586854460093897
"12",4,50,3258,0.446753720316022,0.00593576699387931,0.6686,0.202127659574468,0.00583179864947821,0.326973551383,0.0113365155131265,0.390667453513593,0.00462131409219996,0.6672,0.0625,0.00153468385512584,0.327923387096774,0.00299580587177951
"13",5,50,3304,0.457092644079612,0.00479391739190906,0.6641,0.204301075268817,0.00575060532687651,0.331583728676693,0.0111863408890197,0.430123282134196,0.0038,0.6624,0.0263157894736842,0.000605326876513317,0.332728738411931,0.00118343195266272
"14",5,48,3107,0.441558766024192,0.00594451629891917,0.6832,0.191919191919192,0.00611522368844545,0.311887688112312,0.0118527760449158,0.374674651042217,0.00438308123090089,0.6815,0.024390243902439,0.000643707756678468,0.313067150635209,0.00125431169645657
