"","min","max","links","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",3,23,737,0.450536888760862,0.0322723695618591,0.6672,0.153284671532847,0.028493894165536,0.30300465509945,0.0480549199084668,0.436285522161966,0.0377656785666628,0.6656,0.12781954887218,0.0230664857530529,0.304182509505703,0.0390804597701149
"2",3,22,716,0.439497401827038,0.0312516776402534,0.6768,0.151515151515152,0.0279329608938547,0.293918918918919,0.0471698113207547,0.408701162716091,0.03205391690586,0.6732,0.0894308943089431,0.0153631284916201,0.296592343289861,0.0262216924910608
"3",5,26,756,0.440500290029769,0.0335140764477814,0.662,0.17037037037037,0.0304232804232804,0.309936575052854,0.0516273849607183,0.419979493112797,0.0368422420688662,0.6592,0.125,0.0211640211640212,0.311973018549747,0.0361990950226244
"4",4,19,693,0.435960836858603,0.0288143846376703,0.6824,0.131386861313869,0.025974025974026,0.285653829877275,0.0433734939759036,0.403997426079015,0.0304891446850314,0.6788,0.0703125,0.012987012987013,0.288364249578415,0.0219244823386114
"5",2,24,810,0.416955809274609,0.0312814261928461,0.6424,0.15,0.0222222222222222,0.332773109243697,0.0387096774193548,0.386043914054041,0.0341790408404061,0.6392,0.0892857142857143,0.0123456790123457,0.33500837520938,0.0216919739696312
"6",4,18,668,0.440613152130215,0.0410053213557091,0.6964,0.167883211678832,0.0344311377245509,0.272958104104951,0.0571428571428571,0.415098329070539,0.0335260239403822,0.6924,0.102362204724409,0.0194610778443114,0.276021913190055,0.0327044025157233
"7",5,22,727,0.452398604145614,0.0367827005896728,0.6756,0.181818181818182,0.0330123796423659,0.296875,0.0558789289871944,0.404914145555623,0.0305877807246957,0.6696,0.0769230769230769,0.0123796423658872,0.301300881242132,0.0213270142180095
"8",3,21,694,0.462583844705777,0.0392193706154841,0.6888,0.195652173913043,0.0389048991354467,0.282387806943268,0.0649038461538462,0.409903775172331,0.0327535914719498,0.682,0.0826446280991736,0.0144092219020173,0.287515762925599,0.0245398773006135
"9",3,24,686,0.436269784655743,0.0303709815155088,0.6852,0.136690647482014,0.0276967930029155,0.282507412113511,0.0460606060606061,0.406355624447674,0.0313895572357742,0.6808,0.0625,0.0116618075801749,0.285834738617201,0.0196560196560197
"10",3,21,705,0.422886461761938,0.0264181004984604,0.6756,0.110294117647059,0.0212765957446809,0.291878172588832,0.0356718192627824,0.386072645140532,0.0260344740026923,0.6704,0.016260162601626,0.00283687943262411,0.295750946571308,0.00483091787439614
