"Dataset","scAUC","bulkAUC"
"Ecoli1_Node10","0.579976985040276","0.680092059838895"
"Ecoli1_Node50","0.540727667662232","0.523967244427285"
"Ecoli1_Node100","0.546834425886477","0.554975890821105"
"Ecoli2_Node10","0.528","0.736425339366516"
"Ecoli2_Node50","0.525404787409361","0.600823355172327"
"Ecoli2_Node100","0.509834162698967","0.574631816372562"
"Yeast1_Node10","0.484567901234568","0.632850241545894"
"Yeast1_Node50","0.533174692049272","0.497175872030354"
"Yeast1_Node100","0.530254086856011","0.595570684380254"
"Yeast2_Node10","0.648051948051948","0.497560975609756"
"Yeast2_Node50","0.524933465371047","0.57418489704546"
"Yeast2_Node100","0.474770198058633","0.513082011771114"
"Yeast3_Node10","0.534926470588235","0.495384615384615"
"Yeast3_Node50","0.534152972006564","0.577950512975256"
"Yeast3_Node100","0.508529188299621","0.541527856423609"
