"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
"1"	0	0	0	0	0.681000201371857	0	0	0.587162329935171	0.709591311599929	0.699549693049412	0.13148901480967	0.496146233251418	0	0.0404933457888694	0.888394010690002	0	0.340977211500084	0	0	0	0	0	0.879637052557614	0.525091041497314	0	0	0	0.303214711498635	0	0.397251063214567	0	0.061619520728878	0	0.572633553206793	0	0	0.715101834475292	0	0	0	0	0.591451881786074	0.191650146109012	0	0	0	0	0	0.423213039762726	0	0.984472159476956	0.837943427840601	0	0	0	0.86540312128022	0.724567417703492	0.60961064673345	0	0	0.667534535852845	0	0.880560193988404	0.684394339021864	0.395222397897049	0	0	0	0	0.476602698607204	0	0.475410398751309	0	0.532243582106129	0.783726133831844	0	0.37758783215871	0	0	0	0.440281792872946	0.566068008616434	0	0.585762129945072	0	0.993559384923884	0	0	0.985964719153492	0.33458611649231	0.453427568295506	0	0.771208545330191	0.290277667423605	0.814568557776979	0	0	0.452457819759242	0	0.426180329404465
"2"	0	0	0	0	0.643986162076594	0	0	0.565803221616738	0.662281911744191	0.448487162956203	0.1051183543706	0.406145309676505	0	0.0384077207726565	0.829177044789801	0	0.310385317779044	0	0	0	0	0	0.784260975159088	0.514133739170237	0	0	0	0.294754555365447	0	0.340931299889308	0	0.0645690420635767	0	0.593580238303344	0	0	0.670007276661974	0	0	0	0	0.455059400504049	0.177291591082879	0	0	0	0	0.0351815978530932	0.297882771717989	0.159865275233637	0.942392989668293	0.837882516099182	0	0	0	0.790392588602881	0.690330144689232	0.538439640260215	0	0	0.674845104396299	0	0.80016892561669	0.608171641251289	0.269291095344638	0	0	0	0	0.4538039636943	0	0.387730634446279	0	0.484471167902582	0.649362231786828	0	0.325063901793967	0	0	0	0.452167214028077	0.631732760615161	0	0.489951072983387	0	0.90730757228187	0	0	0.893688991686881	0.294073043990315	0.367330098598273	0	0.692233744696322	0	0.600703567130147	0	0	0.491835142629197	0.0776571856726467	0.340336083591548
"3"	0	0	0.603340810500026	0	0.616135443788564	0.502738357894371	0	0.548759407266049	0.626250600461559	0	0.084057873124895	0.337290605931268	0	0.0364592389263559	0.782434511909402	0.497530605438301	0.281742373169432	0	0	0	0	0	0.714820408566434	0.505762591555969	0	0	0	0.281873249072817	0	0.299770050639343	0	0.058172742500626	0	0.591807329680802	0	0.405743789880559	0.618609540361119	0	0	0	0	0.354002324988896	0.165651647698534	0.44704907211681	0	0	0	0.0453482387460811	0.214053583236377	0.199222427758181	0.908455050987985	0.83785426936815	0.571773436231503	0.327369266952957	0	0.731935884042664	0.64900571291836	0.481164900545649	0	0	0.672295517135649	0	0.737556213484838	0.532772124345549	0.185583597201622	0	0	0	0	0.403265984255667	0	0.318137332196527	0	0.442853170188671	0.54016096534259	0	0.245476062693022	0	0	0	0.457260086207977	0.681653402024414	0	0.410749433594624	0	0.836925164070843	0	0	0.819363290411185	0.258948637303483	0.30081483884164	0.106750101623426	0.630876381871204	0	0.449123477390175	0	0	0.494119105132379	0.107257738334252	0.27236685426145
"4"	0	0	0.620192084323299	0	0.595179297677832	0.538673815037691	0	0.534572040169907	0.598808877817604	0	0.067238276582566	0.2845388924107	0	0.0347088694760969	0.745927307699721	0.524067905490355	0.255956843691998	0.888852949495674	0	0	0	0.387181046325752	0	0.499362395299291	0	0	0	0.270244842034561	0	0.266840749610974	0	0.0510543624304949	0	0.570865842543233	0	0.442452202653963	0.569149954436933	0	0	0	0	0.279126336623447	0.156512077864823	0.468664587874402	0	0	0	0.0487134777561517	0	0.218443205245668	0.880708915372308	0.837761412649327	0.578142898679455	0.398623781097645	0	0.686137195587158	0.612211000461291	0.435107690106202	0	0	0.659664251692187	0	0.688791885884156	0.465495189769193	0	0	0	0	0	0.334860277154299	0	0.26320999682137	0	0.406698424003141	0.451416591914648	0	0.180097536541687	0.809042487783598	0	0.824015284093618	0.456908345976113	0.715695336784772	0	0.34573228392599	0	0.77946163854833	0	0	0.759484836814871	0.228541729816536	0.249872705503703	0.121902706134766	0.582987850878741	0	0	0	0.836465257267372	0.469252147524402	0.127928488636251	0.218550598113352
"5"	0	0	0.630585974253414	0	0	0.559276869526629	0	0.522541382378316	0	0	0.0538055908092823	0	0	0.0331656908281424	0	0.539728139116639	0.233227634206555	0.919984218446022	0	0	0	0.422005410530985	0	0	0.725749224348675	0.495821149212263	0	0.260483751381344	0.811440824418221	0.239898445753505	0	0.0447051661577499	0	0.541441561109405	0	0.460255260062956	0.524957659416658	0.81365501506015	0	0.813755358512407	0	0	0	0.479460298857373	0.890214677209734	0.9478324737508	0	0.0491213549847232	0	0.222527922223554	0.857644035797842	0.837579406697037	0.581977811947672	0.427719116795721	0.485694548620307	0	0	0	0	0	0.639509953453473	0	0	0.405319341321644	0	0	0.447278279025129	0	0	0.267364500152769	0.954649781055917	0	0	0.375354108984399	0.379302754274182	0.516503817815536	0	0.825150653227543	0	0.873387872452483	0.452363314339293	0.733872310628293	0	0.292570925270621	0.798996119405994	0.732500985284858	0	0.782991957002149	0.711242851480145	0.202240539411016	0	0.131161236425942	0	0	0	0	0.890225230475083	0.436195682758487	0.136334180618744	0
"6"	0.69318406206804	0	0.636316210461777	0	0	0.570331666563823	0.420542168718929	0	0	0	0	0	0.942033988802169	0.0318194164310301	0	0.54895572852585	0.213447065068538	0.942395904626864	0	0.927926836200227	0.457084080568834	0.44509957884801	0	0	0.771543581372695	0.507733069433782	0.991836423719536	0	0.850296719559631	0	0	0	0	0.510489444603766	0.481010278271604	0.468069164599376	0	0.861552696909889	0	0.855435283987693	0.522528623507717	0	0	0.485034143126843	0.916906124070254	0.961053047166761	0.386558206425603	0.0485327237064032	0	0.216632153067782	0.838099274649092	0.837311705026399	0.584303437694192	0.425962961915981	0.496863625433002	0	0	0	0	0.802002040983381	0.615076501576961	0.699902194356153	0	0.351282991290697	0	0.873574394343354	0.48387272869726	0.433153763954965	0.305219351593453	0	0.96622707031685	0	0.527354930628805	0.348222512338219	0	0.521506948597101	0	0.83067594288954	0	0.908908959738091	0.444770808895793	0.736528749810114	0	0	0.843608672710882	0	0.843976936666755	0.828332800093069	0	0.179502254584853	0	0.135951347004026	0	0	0	0	0.926312294116299	0.405402024490236	0.131107066115826	0
"7"	0.751114502417232	0	0.638943811067079	0.871198020240186	0	0.575586258010647	0.437095286191197	0	0	0	0	0	0.95262902414189	0	0	0.554378972761482	0	0.958530283160218	0.360993417651398	0.941007991044545	0.477119323492947	0.460448599055977	0	0	0.80531206276082	0.517177142421696	0.993488146186598	0	0.881145682221717	0	0	0	0	0.481393056066822	0.531972540033827	0.470629042671464	0	0.897138869934642	0.913733079018449	0.887787605867248	0.566354333534787	0	0	0.488044714535858	0.937108239593934	0.970923192183801	0.416446373247334	0.0477528592245937	0	0.205154200040851	0.821182630929004	0.836970709714318	0.585728768752263	0.405008289530434	0.505163100476614	0	0	0	0	0.841761892951958	0.589077269749185	0.713382521618339	0	0	0	0.899236869057476	0.512449701108148	0.445205253046611	0.329237258028909	0	0.974848836324487	0	0.566473734164084	0	0	0.525200655057358	0	0.829294216332651	0	0.9344645905829	0.435144642715603	0.724903609604136	0	0	0.878319527070955	0	0.871222982211977	0.864200298215775	0	0	0	0.137502746686552	0	0	0	0	0.950536193135251	0	0.117072268611429	0
"8"	0.79810699755513	0.769470122938385	0.63961449899508	0.889704227240435	0	0.577435916413882	0.450488383911919	0	0	0	0	0	0.961287497487371	0	0	0.557553110912386	0	0.970145570316973	0.382416450636388	0.951714938860344	0.493278392106768	0.470677578480312	0	0	0.830195976891502	0.524660994750671	0.994801579755928	0	0.905637679996144	0	0.852246617549526	0	0.673777598444296	0	0.574518247399126	0.470468420667447	0	0.923578055749948	0.921084375065759	0.912899760437172	0.602004952754102	0	0	0.489761013537882	0.952398735975222	0.978291992279852	0.440317255920666	0.0470423036373784	0	0.191285457227257	0	0.836570097248619	0.586614067421467	0.374395386249523	0.511319107065522	0	0	0	0	0.873537592778691	0.563391146832319	0.724513311006732	0	0	0	0.919682978808643	0.534777200595122	0.455197575110637	0.349094070054381	0	0.981269583652731	0	0.598824821053101	0	0	0.527918412487543	0	0.823971181231127	0.777966148504731	0.952850578112643	0.424342968322447	0.701424507849993	0.713039885246035	0	0.905326351857963	0	0.893711096577071	0.892573776384293	0	0	0	0.136835503179957	0	0	0	0	0.966796792487817	0	0.100489083614005	0
"9"	0.836226759565816	0.802243400223804	0.639114511263223	0.90568389071354	0	0.577385905590236	0.461326288267363	0	0	0	0	0	0.968363373901226	0	0	0.559399113182476	0	0.978507522124101	0.400652844378522	0.960478594125846	0.50631199184356	0.477516818127701	0	0	0.848521840558132	0.530589683332761	0.995844155689523	0	0.925082675977153	0	0.866225769603352	0	0.674591645218651	0	0.610037380694887	0.468957042831275	0	0.943221374689865	0.927347366804172	0.932392033959039	0.630949697175412	0	0	0.49079773413829	0.963971745708392	0.983793351658242	0.459382206653305	0.0464592044858752	0	0.17705848951324	0	0.836121943639827	0.587172551913014	0.340657292816039	0.515881837074468	0	0	0	0	0.898932433289583	0.539163729729591	0.733650792057599	0	0	0	0.935972306328893	0.552230543490205	0.463483307682139	0.365518497966296	0	0.986051202200095	0	0.625439047256584	0	0	0.529912136021536	0	0.816833895923657	0.830475774906803	0.966078368868297	0.413056944335466	0.669430621073634	0.717804984616759	0	0.926339046547355	0	0.912272149294178	0.915019006899818	0	0	0	0.134758963239462	0	0	0	0	0.977711925972225	0	0.0847227643933083	0
"10"	0.867149064352568	0.829936965088644	0.637964378006204	0.919260189466231	0	0.576362296363048	0.470098158511552	0	0	0	0	0	0.974145920669864	0	0	0.560462550079402	0	0.984527368016194	0.416176589341156	0.96765166109152	0.51682499833814	0.482107713733602	0	0	0.862011097272246	0.535285403395779	0.996670786325779	0	0.940520692624315	0	0.877980033336246	0	0.675311559727149	0	0.639689891727395	0.466843846043749	0	0.957815620666769	0.932632610133884	0.947522106810109	0.654412127936196	0	0	0.491459856147592	0.972731079056282	0.987900527152011	0.47460877793954	0.0459990186824837	0	0.163623638384869	0	0.835635942871471	0.587530930776147	0.307685600878539	0.519263534635225	0	0	0	0	0.919227751066167	0	0.741120908673979	0	0	0	0.948949531704915	0.565880056278574	0.470354465914851	0.379107916507639	0	0.989612139096009	0	0.647222559193052	0	0	0.531371584631484	0	0.809242271383679	0.872297847869151	0.975595097281011	0.401813882189267	0.632497294119939	0.721895790359598	0	0.942688000663449	0	0.927591916555364	0.932774615530306	0	0	0	0.131885917364278	0	0	0	0	0.985038847883249	0	0.070871551706257	0
