	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0
2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1
3	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1
4	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0
5	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1
6	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1
7	1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1
8	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0
9	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	0	1
10	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0
12	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1
13	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0
14	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1
15	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1
16	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
17	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1
18	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0
19	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1
20	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1
21	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1
22	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1
23	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1
24	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1
25	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1
26	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1
27	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1
28	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	0	1
29	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0
30	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0
31	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0
32	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	1
33	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1
34	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0
35	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0
36	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0
