"","min","max","links","MeanAUC","DyAcc","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",2,30,727,0.982478632478632,0.978,0.442765152752747,0.0153355082148166,0.6912,0.183098591549296,0.0178817056396149,0.293948126801153,0.0325814536340852,0.50200982468882,0.0452921182745927,0.6956,0.292682926829268,0.0330123796423659,0.290736145574855,0.0593325092707046
"2",4,16,433,0.957738095238095,0.994,0.477590533845827,0.0248923456643353,0.804,0.12987012987013,0.023094688221709,0.174576970697482,0.0392156862745098,0.504982953055338,0.0455059623990284,0.806,0.182926829268293,0.0346420323325635,0.172870140612076,0.058252427184466
"3",3,21,535,0.94671201814059,0.983,0.490765522818739,0.0335496922438745,0.7676,0.189189189189189,0.0261682242990654,0.214756801319044,0.0459770114942529,0.533813976477234,0.0513823011116141,0.7708,0.268292682926829,0.0411214953271028,0.212158808933002,0.0713128038897893
"4",4,23,555,0.908571428571429,0.977,0.508081494987369,0.0225374970101946,0.764,0.230769230769231,0.027027027027027,0.2217659137577,0.0483870967741935,0.602276624503215,0.0882100420460414,0.7708,0.390243902439024,0.0576576576576577,0.216294458229942,0.100470957613815
"5",4,19,523,0.978458049886621,0.977,0.465084243537102,0.028792235744328,0.7676,0.118421052631579,0.017208413001912,0.212046204620462,0.0300500834724541,0.492109483749925,0.042995819798431,0.77,0.182926829268293,0.0286806883365201,0.210090984284533,0.0495867768595041
"6",4,20,585,0.97,0.997,0.532761619970444,0.0301244925152018,0.7544,0.283582089552239,0.0324786324786325,0.232634607480477,0.0582822085889571,0.603030623978697,0.0654050050580111,0.7604,0.414634146341463,0.0581196581196581,0.227874276261373,0.101949025487256
"7",1,26,576,0.966666666666667,0.984,0.44728444754834,0.0275969976474983,0.7472,0.131578947368421,0.0173611111111111,0.233498349834983,0.0306748466257669,0.481619056265004,0.0486062794989821,0.7496,0.195121951219512,0.0277777777777778,0.231596360628619,0.0486322188449848
"8",5,16,543,0.979444444444444,0.997,0.459695941919575,0.028985974949038,0.7612,0.144736842105263,0.0202578268876611,0.219471947194719,0.0355411954765751,0.494638786338236,0.0444537784034056,0.7636,0.207317073170732,0.0313075506445672,0.217535153019024,0.0544
"9",4,21,575,0.977,0.995,0.479821141505473,0.0196423615200905,0.7516,0.189189189189189,0.0243478260869565,0.231244847485573,0.0431432973805855,0.525189634650687,0.0558608081636978,0.7548,0.268292682926829,0.0382608695652174,0.228701406120761,0.0669710806697108
"10",4,37,530,0.994978070175439,0.993,0.510731409102084,0.0454510723480945,0.7716,0.233766233766234,0.0339622641509434,0.211308295501445,0.0593080724876442,0.538567451431341,0.0779096553246932,0.7736,0.280487804878049,0.0433962264150943,0.209677419354839,0.0751633986928105
"11",4,16,511,0.996629967776584,0.996,0.480309754892826,0.0394491478754868,0.774,0.153846153846154,0.0234833659491194,0.206028075970273,0.0407470288624788,0.504128084084812,0.0657938646578007,0.7756,0.195121951219512,0.0313111545988258,0.204714640198511,0.0539629005059022
"12",5,17,562,0.996842105263158,0.994,0.491171125141699,0.0278024436301045,0.7576,0.202702702702703,0.0266903914590747,0.225474031327288,0.0471698113207547,0.531314934737438,0.044061774667524,0.7608,0.280487804878049,0.0409252669039146,0.222911497105045,0.0714285714285714
"13",3,23,596,0.9775,0.996,0.443893453980015,0.0212448043294261,0.7384,0.128205128205128,0.0167785234899329,0.241948802642444,0.029673590504451,0.46649367548266,0.0333350319867289,0.74,0.170731707317073,0.023489932885906,0.240694789081886,0.0412979351032448
"14",5,17,540,0.925666666666667,0.985,0.470104585340923,0.0233098913669365,0.7648,0.157142857142857,0.0203703703703704,0.217695473251029,0.0360655737704918,0.536555105005142,0.0581241657950464,0.7696,0.280487804878049,0.0425925925925926,0.213813068651778,0.0739549839228296
"15",5,18,608,0.97,0.987,0.488178656731726,0.0270813960095415,0.74,0.216216216216216,0.0263157894736842,0.244023083264633,0.0469208211143695,0.529249631826342,0.0432841534072494,0.7432,0.292682926829268,0.0394736842105263,0.241521918941274,0.0695652173913043
"16",4,22,586,0.97,0.987,0.471168897164105,0.0454192247247307,0.748,0.176470588235294,0.0204778156996587,0.236019736842105,0.036697247706422,0.553299441182993,0.126892687597115,0.7536,0.317073170731707,0.0443686006825939,0.231596360628619,0.0778443113772455
"17",3,27,606,0.991919191919192,0.989,0.466930058925023,0.0371865744999005,0.738,0.173333333333333,0.0214521452145215,0.244536082474227,0.0381791483113069,0.499356956969073,0.0506995417166027,0.7408,0.24390243902439,0.033003300330033,0.242349048800662,0.0581395348837209
"18",5,22,573,0.97,0.997,0.447344351590106,0.0149269584951356,0.7476,0.118421052631579,0.0157068062827225,0.232673267326733,0.0277349768875193,0.482564707781073,0.0364273976775467,0.75,0.182926829268293,0.0261780104712042,0.230769230769231,0.0458015267175573
"19",4,21,521,0.963624338624339,0.97,0.507606860650434,0.0317796796454055,0.7768,0.23943661971831,0.0326295585412668,0.207492795389049,0.0574324324324324,0.564094998890436,0.0595936894088211,0.7812,0.341463414634146,0.053742802303263,0.203887510339123,0.0928689883913764
"20",NA,NA,NA,0.968571428571429,0.989,0.498492629021452,0.0372250186403504,0.754,0.217948717948718,0.0297723292469352,0.228736581337737,0.0523882896764253,0.519081986725574,0.054518887708614,0.7556,0.25609756097561,0.0367775831873905,0.227460711331679,0.0643185298621746
"21",6,16,476,0.963313896987366,0.993,0.520855685287499,0.0345699557914809,0.7924,0.213333333333333,0.0336134453781513,0.189690721649485,0.058076225045372,0.555871613306707,0.0516820661594277,0.7952,0.280487804878049,0.0483193277310924,0.187344913151365,0.0824372759856631
"22",2,21,527,0.967930029154519,0.996,0.488831405110645,0.0339301806673262,0.7696,0.173333333333333,0.0246679316888046,0.211958762886598,0.0431893687707641,0.527537372147911,0.0637834127437014,0.7724,0.24390243902439,0.0379506641366224,0.209677419354839,0.0656814449917898
"23",NA,NA,NA,0.914965986394558,0.925,0.492903973830042,0.022472376426792,0.796,0.166666666666667,0.0283842794759825,0.18373245251858,0.0485074626865672,0.508636950513427,0.0399516597562874,0.7976,0.207317073170732,0.037117903930131,0.182382133995037,0.062962962962963
