"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.519734051508465	0.542164004344045	0.23015077082789168	0.552872274526974	0.4725689170783688	0.9998013773196851	0.17324589412949512	0.3374410536709657	1.0	0.9972523128545988
"G1(-/-)"	0.0	0.09142407290762312	6.932590195929329E-4	0.7646928731773922	0.6996325731007935	0.00425906503956873	0.9999999999999974	0.665470852259089	1.0	0.9998044326845591
"G2(-/-)"	0.519734475118401	0.0	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.3374409299008402	1.0	0.9972523104800194
"G3(-/-)"	0.519734475118401	0.5421640117580178	0.0	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.3374409299008402	1.0	0.9972523104800194
"G4(-/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.0	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.3374409299008402	1.0	0.9972523104800194
"G5(-/-)"	0.5197368815533726	0.5421640528313925	0.975855722077959	0.314305857478294	0.0	0.999999999576243	0.9999999999903936	0.5870758218993744	1.0	0.03745776844985793
"G6(-/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.0	0.17324584157651787	0.3374409299008402	1.0	0.9972523104800194
"G7(-/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.0	0.3374409299008402	1.0	0.9972523104800194
"G8(-/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.0	1.0	0.9972523104800194
"G9(-/-)"	0.03947490201456544	0.19724665362715793	0.009326113155268378	0.5723178454702853	0.34265025468672533	0.6365388546129112	0.9181088460422974	0.6792628171582891	0.0	0.9765185267438313
"G10(-/-)"	0.519734475118401	0.5421640117580178	0.23015084432459476	0.5528722570509248	0.47256886887841026	0.9998013848869223	0.17324584157651787	0.3374409299008402	1.0	0.0
