"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
"wt"	0.09317864724003422	0.022902130991727162	0.408895832517491	0.37670792709494955	1.0	0.01274435536771914	0.5446109507521323	0.9999816622963323	0.024798239733760444	0.9996991714949057	0.5149760525232984	0.4840001837253421	0.5349657349481028	0.9846797189675919	0.00888051220484377	1.0	1.0	0.998772671256725	0.5180247323236166	1.0	0.8861952588001162	0.5287397356568516	1.0	0.9350544137689604	0.5273818326121834	0.5076694694690723	0.7073340025695632	0.6002060577002677	0.5261274599996929	0.0818107237742059	1.0	1.0	0.5252477855450759	0.5365204402978281	0.4969018956232373	0.10289238138155282	0.023147699375938705	1.0	1.0	0.9950878673171171	1.0	0.999061408136708	1.0	0.33024744200252765	0.9958022458555802	0.9875938259580243	1.0	0.5176287135608906	0.9913307950473378	0.9999218030276681	0.08393365343208853	0.5131735349698471	0.5284191526052376	0.5297423759355405	0.5522911066522868	0.38693689248894625	0.746357121553714	0.5743345007380974	0.4259638508911207	0.06131266213803082	0.31675216373169157	0.3022347665440861	0.9545377592369311	0.6173537053043114	0.175322313317674	0.06686173840700727	0.5738954194560304	0.6365060410648922	0.5163805055389906	0.35696841572664456	0.5540084260192327	0.5246539757646518	0.5264256394532143	0.5011291257798993	0.5074084139333013	0.5179057350642959	0.13441904724670153	0.5443265949042316	1.0	0.9998826941948955	0.012011932704002018	0.07673845330552814	0.8885124032113825	0.04197435685773337	1.0	1.0	0.9292369148524036	0.9642008007021416	0.8853884172490766	0.08028535793838713	0.13024941005500615	0.8355035744473709	1.0	0.6459145022261976	0.5103501117532857	0.999941842137441	0.06811311257083177	0.4877861201835448	1.0	0.576971090776089
"G1(-/-)"	0.0	0.022902130951768993	0.4088958309800117	0.37670792659594426	1.0	0.01274435536771914	0.5446109507521759	0.9999816622963388	0.024798239733760444	0.9996991719047426	0.514976052523298	0.48400018372561215	0.5349657349481072	0.9846797189675919	0.00888051108916986	1.0	1.0	0.998772671256725	0.5180247322684537	1.0	0.8861952588001162	0.5287397356568139	1.0	0.9350544137689806	0.5273818326120154	0.5076694694690723	0.7073340025695634	0.6002060577002355	0.5261274599996929	0.0818107237742024	1.0	1.0	0.5252477855450759	0.5365204402985548	0.4969018956233569	0.10289238138155282	0.023147699375925264	1.0	1.0	0.9950878673171171	1.0	0.9990614081395378	1.0	0.3302474420025236	0.9958022458555862	0.9875938259580352	1.0	0.5176287135891359	0.9913307950477878	0.9999218030276744	0.08393365343200504	0.5131735349698471	0.5284191526052489	0.5297423759355504	0.5522911075729046	0.38693689204857185	0.7463571225503062	0.5743345003431802	0.4259638567231574	0.06131266206176373	0.31675216505899073	0.30223476600640525	0.9545377595489841	0.6173537040095529	0.17532231189401148	0.0668617381379786	0.5738954198490626	0.6365060411384322	0.5163805055391545	0.3569684157276714	0.5540084260056396	0.524653975764639	0.526425639453157	0.5011291257881448	0.5074084139333394	0.5179057350643559	0.13441904724670148	0.5443265949041992	1.0	0.9998826941948955	0.012011932703995537	0.076738453303878	0.8885124032135155	0.041974356856891784	1.0	1.0	0.9292369148531204	0.9642008007021416	0.88538841725416	0.08028535793839273	0.13024941005322502	0.8355035745131245	1.0	0.6459145022261976	0.5103501117532859	0.9999418421379388	0.06811311257083177	0.4877861201835448	1.0	0.5769710906608714
"G2(-/-)"	0.0036046384804302375	0.0	0.03903948310764821	0.19901162188729374	1.0	0.01274435536771914	0.5446109507523373	0.9999816622963595	0.024798239733760444	0.9996991741839262	0.5149760525232973	0.4840001837266934	0.5349657349481214	0.9846797189675919	4.8131875474517624E-4	1.0	1.0	0.998772671256725	0.5180247319837079	1.0	0.8861952588001162	0.5287397356566752	1.0	0.9350544137690511	0.5273818326113581	0.5076694694690721	0.7073340025695636	0.6002060577001106	0.5261274599996927	0.08181072377419098	1.0	1.0	0.5252477855450757	0.5365204403015906	0.4969018956238181	0.10289238138155281	0.023147699375877465	1.0	1.0	0.9950878673171171	1.0	0.9990614081520164	1.0	0.33024744200250994	0.9958022458556062	0.9875938259580722	1.0	0.5176287137300033	0.9913307950495688	0.999921803027695	0.08393365343167493	0.513173534969847	0.5284191526052928	0.5297423759355887	0.9999999979630906	0.3841319206149816	0.7937446854363029	0.5542508316839009	0.4578655126189772	0.05943798563946938	0.32705273285885217	0.29878515564202995	0.9578210748382873	0.6037594850018615	0.1707546398755812	0.06467563662228851	0.5746821980142444	0.6368943378269274	0.5163805055397943	0.35722017819843416	0.5540084259448512	0.5246539757645894	0.5264256394529337	0.5011291258259752	0.507408413933484	0.5179057350645792	0.13441904724670128	0.5443265949040724	1.0	0.9998826941948955	0.012011932703973919	0.07673845329694319	0.8885124032226054	0.041974356853465546	1.0	1.0	0.9292369148560281	0.9642008007021416	0.8853884172756563	0.08028535793841646	0.1302494100456931	0.8355035747994247	1.0	0.6459145022261975	0.5103501117532863	0.9999418421399164	0.06811311257083175	0.4877861201835448	1.0	0.5769710900369258
"G3(-/-)"	0.09317864625022142	0.022902130951768993	0.0	0.37670792659594426	1.0	0.01274435536771914	0.5446109507521759	0.9999816622963388	0.024798239733760444	0.9996991719047426	0.514976052523298	0.48400018372561215	0.5349657349481072	0.9846797189675919	0.00888051108916986	1.0	1.0	0.998772671256725	0.5180247322684537	1.0	0.8861952588001162	0.5287397356568139	1.0	0.9350544137689806	0.5273818326120154	0.5076694694690723	0.7073340025695634	0.6002060577002355	0.5261274599996929	0.0818107237742024	1.0	1.0	0.5252477855450759	0.5365204402985548	0.4969018956233569	0.10289238138155282	0.023147699375925264	1.0	1.0	0.9950878673171171	1.0	0.9990614081395378	1.0	0.3302474420025236	0.9958022458555862	0.9875938259580352	1.0	0.5176287135891359	0.9913307950477878	0.9999218030276744	0.08393365343200504	0.5131735349698471	0.5284191526052489	0.5297423759355504	0.5522911075729046	0.38693689204857185	0.7463571225503062	0.5743345003431802	0.4259638567231574	0.06131266206176373	0.31675216505899073	0.30223476600640525	0.9545377595489841	0.6173537040095529	0.17532231189401148	0.0668617381379786	0.5738954198490626	0.6365060411384322	0.5163805055391545	0.3569684157276714	0.5540084260056396	0.524653975764639	0.526425639453157	0.5011291257881448	0.5074084139333394	0.5179057350643559	0.13441904724670148	0.5443265949041992	1.0	0.9998826941948955	0.012011932703995537	0.076738453303878	0.8885124032135155	0.041974356856891784	1.0	1.0	0.9292369148531204	0.9642008007021416	0.88538841725416	0.08028535793839273	0.13024941005322502	0.8355035745131245	1.0	0.6459145022261976	0.5103501117532859	0.9999418421379388	0.06811311257083177	0.4877861201835448	1.0	0.5769710906608714
"G4(-/-)"	0.09317864625022142	0.022902130951768993	0.4088958309800117	0.0	1.0	0.01274435536771914	0.5446109507521759	0.9999816622963388	0.024798239733760444	0.9996991719047426	0.514976052523298	0.48400018372561215	0.5349657349481072	0.9846797189675919	0.00888051108916986	1.0	1.0	0.998772671256725	0.5180247322684537	1.0	0.8861952588001162	0.5287397356568139	1.0	0.9350544137689806	0.5273818326120154	0.5076694694690723	0.7073340025695634	0.6002060577002355	0.5261274599996929	0.0818107237742024	1.0	1.0	0.5252477855450759	0.5365204402985548	0.4969018956233569	0.10289238138155282	0.023147699375925264	1.0	1.0	0.9950878673171171	1.0	0.9990614081395378	1.0	0.3302474420025236	0.9958022458555862	0.9875938259580352	1.0	0.5176287135891359	0.9913307950477878	0.9999218030276744	0.08393365343200504	0.5131735349698471	0.5284191526052489	0.5297423759355504	0.5522911075729046	0.38693689204857185	0.7463571225503062	0.5743345003431802	0.4259638567231574	0.06131266206176373	0.31675216505899073	0.30223476600640525	0.9545377595489841	0.6173537040095529	0.17532231189401148	0.0668617381379786	0.5738954198490626	0.6365060411384322	0.5163805055391545	0.3569684157276714	0.5540084260056396	0.524653975764639	0.526425639453157	0.5011291257881448	0.5074084139333394	0.5179057350643559	0.13441904724670148	0.5443265949041992	1.0	0.9998826941948955	0.012011932703995537	0.076738453303878	0.8885124032135155	0.041974356856891784	1.0	1.0	0.9292369148531204	0.9642008007021416	0.88538841725416	0.08028535793839273	0.13024941005322502	0.8355035745131245	1.0	0.6459145022261976	0.5103501117532859	0.9999418421379388	0.06811311257083177	0.4877861201835448	1.0	0.5769710906608714
"G5(-/-)"	0.9999999996627909	0.022902130756425845	0.40889582346370246	0.6531419946974408	0.0	1.0	0.08922290752476914	0.034831372077945476	1.0	0.054449134478781004	0.9999999999994912	0.035407441501911815	0.0750696290019376	0.04505642109516171	0.008880505632028215	1.0	1.0	0.998772671256725	0.5180247319837079	1.0	0.8861952588001162	0.5287397356566752	1.0	0.9350544137690511	0.5273818326113581	0.5076694694690721	0.7073340025695638	0.6002060577001106	0.5261274599996927	0.08181072377419098	1.0	1.0	0.5252477855450757	0.5365204403015906	0.4969018956238181	0.10289238138155281	0.023147692221504982	1.0	1.0	0.8403125274680125	1.0	0.8644335183764145	1.0	0.33024744200250994	0.9958022458556062	0.9875938259580722	1.0	0.5176287137300033	0.9913307950495688	0.999921803027695	0.08393365343167493	0.513173534969847	0.5284191526052928	0.5297423759355887	0.5522911120990829	0.3869368898490078	0.7463571274764351	0.5743344983802368	0.42596388588643025	0.06131266168503331	0.3167521716654652	0.30223476332630644	0.9545377610958652	0.6173536975890108	0.1753223045951693	0.06686173680129966	0.5738954219768152	0.6365060415070566	0.5163805055397943	0.356968415732672	0.5540084259448512	0.5246539757645894	0.5264256394529337	0.5011291258259752	0.507408413933484	0.5179057350645792	0.13441904724670128	0.5443265949040724	1.0	0.9998826941948955	0.012011932703973919	0.07673845329694319	0.8885124032226054	0.041974356853465546	1.0	1.0	0.9292369148560281	0.9642008007021416	0.8853884172756563	0.08028535793841646	0.1302494100456931	0.8355035747994247	1.0	0.6459145022261975	0.5103501117532863	0.9999418421399164	0.06811311257083175	0.4877861201835448	1.0	0.5769710900369258
"G6(-/-)"	0.09317864625022142	0.022902130951768993	0.4088958309800117	0.37670792659594426	1.0	0.0	0.5446109507521759	0.9999816622963388	0.024798239733760444	0.9996991719047426	0.514976052523298	0.48400018372561215	0.5349657349481072	0.9846797189675919	0.00888051108916986	1.0	1.0	0.998772671256725	0.5180247322684537	1.0	0.8861952588001162	0.5287397356568139	1.0	0.9350544137689806	0.5273818326120154	0.5076694694690723	0.7073340025695634	0.6002060577002355	0.5261274599996929	0.0818107237742024	1.0	1.0	0.5252477855450759	0.5365204402985548	0.4969018956233569	0.10289238138155282	0.023147699375925264	1.0	1.0	0.9950878673171171	1.0	0.9990614081395378	1.0	0.3302474420025236	0.9958022458555862	0.9875938259580352	1.0	0.5176287135891359	0.9913307950477878	0.9999218030276744	0.08393365343200504	0.5131735349698471	0.5284191526052489	0.5297423759355504	0.5522911075729046	0.38693689204857185	0.7463571225503062	0.5743345003431802	0.4259638567231574	0.06131266206176373	0.31675216505899073	0.30223476600640525	0.9545377595489841	0.6173537040095529	0.17532231189401148	0.0668617381379786	0.5738954198490626	0.6365060411384322	0.5163805055391545	0.3569684157276714	0.5540084260056396	0.524653975764639	0.526425639453157	0.5011291257881448	0.5074084139333394	0.5179057350643559	0.13441904724670148	0.5443265949041992	1.0	0.9998826941948955	0.012011932703995537	0.076738453303878	0.8885124032135155	0.041974356856891784	1.0	1.0	0.9292369148531204	0.9642008007021416	0.88538841725416	0.08028535793839273	0.13024941005322502	0.8355035745131245	1.0	0.6459145022261976	0.5103501117532859	0.9999418421379388	0.06811311257083177	0.4877861201835448	1.0	0.5769710906608714
"G7(-/-)"	0.09317864625022142	0.022902130951768993	0.4088958309800117	0.37670792659594426	1.0	0.01274435536771914	0.0	0.9999816622963388	0.024798239733760444	0.9996991719047426	0.514976052523298	0.48400018372561215	0.5349657349481072	0.9846797189675919	0.00888051108916986	1.0	1.0	0.998772671256725	0.5180247322684537	1.0	0.8861952588001162	0.5287397356568139	1.0	0.9350544137689806	0.5273818326120154	0.5076694694690723	0.7073340025695634	0.6002060577002355	0.5261274599996929	0.0818107237742024	1.0	1.0	0.5252477855450759	0.5365204402985548	0.4969018956233569	0.10289238138155282	0.023147699375925264	1.0	1.0	0.9950878673171171	1.0	0.9990614081395378	1.0	0.3302474420025236	0.9958022458555862	0.9875938259580352	1.0	0.5176287135891359	0.9913307950477878	0.9999218030276744	0.08393365343200504	0.5131735349698471	0.5284191526052489	0.5297423759355504	0.5522911075729046	0.38693689204857185	0.7463571225503062	0.5743345003431802	0.4259638567231574	0.06131266206176373	0.31675216505899073	0.30223476600640525	0.9545377595489841	0.6173537040095529	0.17532231189401148	0.0668617381379786	0.5738954198490626	0.6365060411384322	0.5163805055391545	0.3569684157276714	0.5540084260056396	0.524653975764639	0.526425639453157	0.5011291257881448	0.5074084139333394	0.5179057350643559	0.13441904724670148	0.5443265949041992	1.0	0.9998826941948955	0.012011932703995537	0.076738453303878	0.8885124032135155	0.041974356856891784	1.0	1.0	0.9292369148531204	0.9642008007021416	0.88538841725416	0.08028535793839273	0.13024941005322502	0.8355035745131245	1.0	0.6459145022261976	0.5103501117532859	0.9999418421379388	0.06811311257083177	0.4877861201835448	1.0	0.5769710906608714
"G8(-/-)"	0.09317864625022142	0.022902130951768993	0.4088958309800117	0.37670792659594426	1.0	0.01274435536771914	0.5446109507521759	0.0	0.024798239733760444	0.9996991719047426	0.514976052523298	0.48400018372561215	0.5349657349481072	0.9846797189675919	0.00888051108916986	1.0	1.0	0.998772671256725	0.5180247322684537	1.0	0.8861952588001162	0.5287397356568139	1.0	0.9350544137689806	0.5273818326120154	0.5076694694690723	0.7073340025695634	0.6002060577002355	0.5261274599996929	0.0818107237742024	1.0	1.0	0.5252477855450759	0.5365204402985548	0.4969018956233569	0.10289238138155282	0.023147699375925264	1.0	1.0	0.9950878673171171	1.0	0.9990614081395378	1.0	0.3302474420025236	0.9958022458555862	0.9875938259580352	1.0	0.5176287135891359	0.9913307950477878	0.9999218030276744	0.08393365343200504	0.5131735349698471	0.5284191526052489	0.5297423759355504	0.5522911075729046	0.38693689204857185	0.7463571225503062	0.5743345003431802	0.4259638567231574	0.06131266206176373	0.31675216505899073	0.30223476600640525	0.9545377595489841	0.6173537040095529	0.17532231189401148	0.0668617381379786	0.5738954198490626	0.6365060411384322	0.5163805055391545	0.3569684157276714	0.5540084260056396	0.524653975764639	0.526425639453157	0.5011291257881448	0.5074084139333394	0.5179057350643559	0.13441904724670148	0.5443265949041992	1.0	0.9998826941948955	0.012011932703995537	0.076738453303878	0.8885124032135155	0.041974356856891784	1.0	1.0	0.9292369148531204	0.9642008007021416	0.88538841725416	0.08028535793839273	0.13024941005322502	0.8355035745131245	1.0	0.6459145022261976	0.5103501117532859	0.9999418421379388	0.06811311257083177	0.4877861201835448	1.0	0.5769710906608714
"G9(-/-)"	0.09317864625022142	0.022902130951768993	0.4088958309800117	0.37670792659594426	1.0	0.01274435536771914	0.5446109507521759	0.9999816622963388	0.0	0.9996991719047426	0.514976052523298	0.48400018372561215	0.5349657349481072	0.9846797189675919	0.00888051108916986	1.0	1.0	0.998772671256725	0.5180247322684537	1.0	0.8861952588001162	0.5287397356568139	1.0	0.9350544137689806	0.5273818326120154	0.5076694694690723	0.7073340025695634	0.6002060577002355	0.5261274599996929	0.0818107237742024	1.0	1.0	0.5252477855450759	0.5365204402985548	0.4969018956233569	0.10289238138155282	0.023147699375925264	1.0	1.0	0.9950878673171171	1.0	0.9990614081395378	1.0	0.3302474420025236	0.9958022458555862	0.9875938259580352	1.0	0.5176287135891359	0.9913307950477878	0.9999218030276744	0.08393365343200504	0.5131735349698471	0.5284191526052489	0.5297423759355504	0.5522911075729046	0.38693689204857185	0.7463571225503062	0.5743345003431802	0.4259638567231574	0.06131266206176373	0.31675216505899073	0.30223476600640525	0.9545377595489841	0.6173537040095529	0.17532231189401148	0.0668617381379786	0.5738954198490626	0.6365060411384322	0.5163805055391545	0.3569684157276714	0.5540084260056396	0.524653975764639	0.526425639453157	0.5011291257881448	0.5074084139333394	0.5179057350643559	0.13441904724670148	0.5443265949041992	1.0	0.9998826941948955	0.012011932703995537	0.076738453303878	0.8885124032135155	0.041974356856891784	1.0	1.0	0.9292369148531204	0.9642008007021416	0.88538841725416	0.08028535793839273	0.13024941005322502	0.8355035745131245	1.0	0.6459145022261976	0.5103501117532859	0.9999418421379388	0.06811311257083177	0.4877861201835448	1.0	0.5769710906608714
