"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
"wt"	1.0	0.963686822200725	0.6227193726221296	0.9842759497790906	0.5314649698112947	0.564736136959234	0.5082921958068496	0.4592835551541645	0.511136077139677	0.03583664721275525	5.307805784734624E-4	0.11349317803106049	0.9999999996686765	0.023720614705449273	0.6921339964921419	0.5616350119082976	0.10104408727900561	1.0	0.5050092225571964	1.0	0.5606357940466533	0.49219173266803784	0.5279366123758034	0.479730822589174	0.8998317214142717	0.5531335852836378	0.9998039746828001	0.21925004578230892	1.0	0.12179919605996486	0.9295224840390454	0.019158628260040916	0.6790175967029505	0.3266427115604367	0.7893184830335831	0.44734925260895464	0.33100067196689303	1.0	0.9577785417503629	1.0	0.75228346625524	0.064987009381929	0.12595313321903637	0.4931165281879242	1.0	1.0	0.5350187653466912	0.04445684743400769	0.044805816049558224	0.09192872491125278	0.6297674926695823	0.8213668547555284	0.5882801771885255	0.12782154114584973	0.5291700056714045	0.5170035951525055	0.4883138037789428	0.32186552648945777	0.8582392878489847	1.0	0.3791663791396828	0.7730805467349329	0.5177495834182504	0.2055923364455667	0.46219027230933984	0.9997798669924156	0.6151563063133356	0.5037900373867179	0.44407236033397357	0.4611020699677013	1.0	0.06493938239187945	0.7323595361423285	0.17881984092265743	0.07031407449351212	0.5352600016087381	0.02506724111041188	0.7496717298133883	0.9999938362945976	1.0	0.31033050840048926	0.2880832989705166	0.7444994950779366	0.06108770978474636	1.0	0.44526302377517313	1.0	1.0	0.5112026327649075	0.035430574369632664	0.09659972723787853	0.10429621917605138	0.39789837298932507	0.33491166178912296	0.74053171960485	0.5324123584474911	1.0	0.29431196941049953	3.107174734628133E-5	0.013917578448017586
"G1(-/-)"	0.0	0.010766436266968514	0.5222327185576405	0.08014657556331285	0.38076688788613006	0.43967639153374305	0.5082921956547385	0.38190121408052863	0.5111360771396705	0.03583414860822974	5.3081108414896E-4	0.11350947929272466	0.9999999987226339	0.02372061236972746	0.6921341691607179	0.5616350119612509	0.10104408744836615	1.0	0.5050092193226036	1.0	0.560635794036482	0.49219173266803784	0.5279366123758031	0.47973082260756494	0.8998317214582592	0.5531335852846003	0.9998039746827999	0.21925004577698087	1.0	0.12179919605991057	0.9295224840885138	0.01915862825753845	0.6790175967166446	0.3266427106903698	0.7893184831943	0.44734925232501843	0.33100067253256155	1.0	0.9577785417589298	1.0	0.7522834662545638	0.06498700938192846	0.12595313321902768	0.4931165281879242	1.0	1.0	0.5350187653483534	0.044456847384038704	0.04480581603943817	0.09192872483103935	0.6297674944803308	0.821366857219378	0.5882801771886191	0.12782154095825404	0.5291700056707649	0.517003595153039	0.488313803778967	0.3218656137822534	0.8582391256348413	1.0	0.3791663792207092	0.7730805467348808	0.5177495834156705	0.20559244888806275	0.4621913498800319	0.9997798669951404	0.6151563063129832	0.5037900372012523	0.4440723603126256	0.4611027653174384	1.0	0.06493938239163305	0.7323595345807697	0.17881982515295758	0.07031407408467329	0.5352600016105928	0.025067241111532586	0.6420582702913591	0.9999938362946155	1.0	0.31033050834067255	0.2880832991489183	0.7444994950573576	0.061087684469670125	1.0	0.42904839480340135	1.0	1.0	0.5112026327700612	0.035430540605373026	0.09659972723532159	0.10429621909738414	0.39789837299351355	0.33491166178288906	0.7406332790962071	0.5321728594131124	1.0	0.2943119694092666	4.541503816500163E-5	0.013917578446285444
"G2(-/-)"	1.0	0.0	0.5264746781992281	0.08014537514577115	0.33550816667396877	0.3962371848401464	0.5082921956547385	0.35742896384270334	0.5111360771396705	0.035832735104642514	5.308305944350883E-4	0.11351632571516851	0.9999999975852025	0.023720612369733312	0.6921341691602771	0.5616350119612505	0.10104408744836592	1.0	0.5050092193226191	1.0	0.560635794036482	0.49219173266803784	0.5279366123758031	0.47973082260756494	0.8998317214582592	0.5531335852846003	0.9998039746827999	0.21925004577698087	1.0	0.12179919605991057	0.9295224840885138	0.01915862825753845	0.6790175967166446	0.3266427106903698	0.7893184831943	0.4473492523250185	0.33100067253256155	1.0	0.9577785417589298	1.0	0.7522834662545638	0.06498700938192849	0.12595313321902768	0.4931165281879242	1.0	1.0	0.5350187653483534	0.04445684738403936	0.04480581603943817	0.09192872483103938	0.6297674944803296	0.8213668572193745	0.5882801771886191	0.1278215409582541	0.5291700056707649	0.517003595153039	0.48831380377896694	0.3218656137814227	0.8582391256369968	1.0	0.3791663792207092	0.7730805467348811	0.5177495834156705	0.20559244888656547	0.4621913498656208	0.9997798669951404	0.6151563063129832	0.5037900372012523	0.4440723603126256	0.46110276530814015	1.0	0.06493938239163305	0.7323595345807697	0.1788198251531075	0.07031407408467369	0.5352600016105928	0.025067241111532586	0.6420573799419781	0.9999938362946152	1.0	0.31033050834067255	0.2880832991489183	0.7444994950573576	0.061087684468777756	1.0	0.4290484884400466	1.0	1.0	0.5112026327700612	0.03543054060582458	0.09659972723532159	0.10429621909738414	0.39789837299351355	0.33491166178288906	0.7406332801495052	0.5321728577648912	1.0	0.2943119694092666	4.541469197905362E-5	0.013917578446285444
"G3(-/-)"	1.0	0.9636868222020609	0.0	0.9842759497804949	0.531464969811295	0.5647361369592351	0.5082921957820153	0.4592835551479357	0.5111360771396753	0.03583664721275512	5.307805784734666E-4	0.11349317803106329	0.999999999678799	0.02372061434118253	0.6921340232883502	0.5616350119165711	0.10104408730481866	1.0	0.5050092220759833	1.0	0.5606357940447323	0.49219173266803784	0.5279366123758034	0.4797308225925715	0.8998317214223647	0.5531335852838284	0.9998039746828001	0.21925004578128623	1.0	0.12179919605995405	0.9295224840481328	0.01915862825958084	0.6790175967049596	0.3266427114027673	0.7893184830603249	0.44734925255757224	0.3310006720729668	1.0	0.9577785417520328	1.0	0.7522834662551022	0.06498700938192886	0.12595313321903426	0.4931165281879242	1.0	1.0	0.5350187653470265	0.044456847427160016	0.04480581604792908	0.09192872489772892	0.6297674929693095	0.8213668551437241	0.5882801771885405	0.12782154111484895	0.5291700056712872	0.5170035951526174	0.48831380377894795	0.32186553877954766	0.8582392655739509	1.0	0.37916637915439516	0.7730805467349224	0.5177495834177852	0.2055923518741946	0.46219041992235776	0.99977986699297	0.615156306313261	0.5037900373553064	0.44407236033004843	0.46110216522953495	1.0	0.06493938239183154	0.7323595358772169	0.17881983870077822	0.07031407442729516	0.5352600016090495	0.025067241110617682	0.7496717298134897	0.9999938362946014	1.0	0.31033050838911336	0.28808329900044977	0.7444994950744035	0.061087709784771134	1.0	0.44526302378087873	1.0	1.0	0.5112026327659088	0.03543056974436669	0.09659972723738096	0.10429621916110979	0.3978983729901389	0.33491166178791393	0.7405317196043416	0.5324123584467758	1.0	0.29431196941025883	3.107172377068596E-5	0.01391757844766375
"G4(-/-)"	1.0	0.963686822207506	0.052455906039582244	0.0	0.531464969811296	0.5647361369592382	0.508292195654739	0.45928355511512126	0.5111360771396705	0.035836647212754306	5.30780578473491E-4	0.11349317803107832	0.9999999997240565	0.02372061236975463	0.6921341691586694	0.5616350119612501	0.10104408744836461	1.0	0.5050092193226697	1.0	0.560635794036482	0.49219173266803784	0.5279366123758031	0.47973082260756494	0.8998317214582592	0.5531335852846003	0.9998039746827999	0.21925004577698087	1.0	0.12179919605991057	0.9295224840885138	0.01915862825753845	0.6790175967166442	0.32664271069037076	0.7893184831942996	0.44734925232501876	0.33100067253256144	1.0	0.9577785417589298	1.0	0.7522834662545638	0.06498700938192849	0.12595313321902768	0.4931165281879242	1.0	1.0	0.5350187653483534	0.044456847384041244	0.04480581603943819	0.09192872483103975	0.6297674944803235	0.8213668572193588	0.5882801771886191	0.12782154095825513	0.5291700056707649	0.517003595153039	0.48831380377896694	0.3218656137789389	0.8582391256431132	1.0	0.3791663792207092	0.7730805467348811	0.5177495834156705	0.2055924488823174	0.4621913498247358	0.9997798669951404	0.6151563063129832	0.5037900372012527	0.4440723603126256	0.46110276528176014	1.0	0.06493938239163305	0.7323595345807712	0.1788198251535552	0.07031407408467555	0.5352600016105928	0.025067241111532586	0.5344392930852275	0.9999938362946152	1.0	0.31033050834067255	0.2880832991489179	0.7444994950573576	0.048559307206909354	1.0	0.3522091870474201	1.0	1.0	0.5112026327700612	0.03543054060710565	0.09659972723532159	0.10429621909738414	0.39789837299351355	0.33491166178288906	0.825528301783562	0.5820085440537194	1.0	0.2943119694092666	6.899727719590289E-5	0.013917578446285444
"G5(-/-)"	1.0	0.963686822207506	0.622719372620541	0.9842759497861683	0.0	0.12265850240347669	0.5082921956547386	0.24596216052569245	0.5111360771396705	0.035813010479368815	5.311933755713154E-4	0.11356771434318494	0.9999968349909429	0.023720612369741215	0.6921341691596812	0.5616350119612504	0.10104408744836545	1.0	0.5050092193226383	1.0	0.560635794036482	0.49219173266803784	0.5279366123758031	0.47973082260756494	0.8998317214582592	0.5531335852846003	0.9998039746827999	0.21925004577698087	1.0	0.12179919605991057	0.9295224840885138	0.01915862825753845	0.6790175967166445	0.32664271069037015	0.7893184831943	0.44734925232501854	0.33100067253256155	1.0	0.9577785417589298	1.0	0.7522834662545638	0.06498700938192849	0.12595313321902768	0.4931165281879242	1.0	1.0	0.5350187653483534	0.0444568473840401	0.04480581603943817	0.09192872483103949	0.6297674944803276	0.8213668572193688	0.5882801771886191	0.12782154095825443	0.5291700056707649	0.517003595153039	0.48831380377896694	0.3218656137804566	0.858239125639405	1.0	0.3791663792207092	0.7730805467348811	0.5177495834156705	0.20559244888489303	0.46219134984952415	0.9997798669951404	0.6151563063129832	0.5037900372012523	0.4440723603126256	0.46110276529775407	1.0	0.06493938239163305	0.7323595345807702	0.17881982515328165	0.07031407408467436	0.5352600016105928	0.025067241111532586	0.749671729813916	0.9999938362946152	1.0	0.31033050834067255	0.2880832991489182	0.7444994950573576	0.06108770978487369	1.0	0.4452630238064624	1.0	1.0	0.5112026327700612	0.035430540606328935	0.09659972723532159	0.10429621909738414	0.39789837299351355	0.33491166178288906	0.7405317196022372	0.5324123584438005	1.0	0.2943119694092666	3.1071608350671584E-5	0.013917578446285444
"G6(-/-)"	1.0	0.963686822207506	0.622719372620541	0.9842759497861683	0.531464969811296	0.0	0.5082921956547385	0.45928355511512114	0.5111360771396705	0.035836647212754306	5.30780578473491E-4	0.11349317803107832	6.778265351133293E-4	0.023720612369727483	0.6921341691607154	0.5616350119612509	0.10104408744836615	1.0	0.5050092193226037	1.0	0.560635794036482	0.49219173266803784	0.5279366123758031	0.47973082260756494	0.8998317214582592	0.5531335852846003	0.9998039746827999	0.21925004577698087	1.0	0.12179919605991057	0.9295224840885138	0.01915862825753845	0.6790175967166446	0.3266427106903698	0.7893184831943	0.44734925232501843	0.33100067253256155	1.0	0.9577785417589298	1.0	0.7522834662545638	0.06498700938192849	0.12595313321902768	0.4931165281879242	1.0	1.0	0.5350187653483534	0.044456847384038704	0.04480581603943817	0.09192872483103935	0.6297674944803308	0.821366857219378	0.5882801771886191	0.12782154095825404	0.5291700056707649	0.517003595153039	0.48831380377896694	0.32186561378224665	0.8582391256348604	1.0	0.3791663792207092	0.7730805467348811	0.5177495834156705	0.20559244888804953	0.4621913498799048	0.9997798669951404	0.6151563063129832	0.5037900372012523	0.4440723603126256	0.4611027653173563	1.0	0.06493938239163305	0.7323595345807697	0.17881982515295883	0.07031407408467329	0.5352600016105928	0.025067241111532586	0.749671729813916	0.9999938362946152	1.0	0.31033050834067255	0.2880832991489183	0.7444994950573576	0.06108770978487369	1.0	0.4452630238064624	1.0	1.0	0.5112026327700612	0.035430540605377016	0.09659972723532159	0.10429621909738414	0.39789837299351355	0.33491166178288906	0.7405317196022372	0.5324123584438005	1.0	0.2943119694092666	3.1071608350414824E-5	0.013917578446285444
"G7(-/-)"	1.0	0.963686822207506	0.622719372620541	0.9842759497861683	0.3355081666133625	0.3962371846197122	0.0	0.2459621288585933	0.5111360771396705	0.03581301045578937	5.311933789171751E-4	0.11356771445595434	0.9999999975851978	0.9999989345366578	0.5473040420236728	0.2976883206668981	0.999999837293641	1.0	0.5050092193226102	1.0	0.560635794036482	0.49219173266803784	0.5279366123758031	0.47973082260756494	0.8998317214582592	0.5531335852846003	0.9998039746827999	0.21925004577698087	1.0	0.12179919605991057	0.9295224840885138	0.01915862825753845	0.6790175967166446	0.3266427106903698	0.7893184831943	0.44734925232501843	0.33100067253256155	1.0	0.9577785417589298	1.0	0.7522834662545638	0.06498700938192849	0.12595313321902768	0.4931165281879242	1.0	1.0	0.5350187653483534	0.044456847384038996	0.04480581603943817	0.09192872483103935	0.6297674944803305	0.8213668572193767	0.5882801771886191	0.12782154095825404	0.5291700056707649	0.517003595153039	0.48831380377896694	0.3218656137818747	0.8582391256358444	1.0	0.3791663792207092	0.7730805467348811	0.5177495834156705	0.20559244888736616	0.46219134987332655	0.9997798669951404	0.6151563063129832	0.5037900372012523	0.4440723603126256	0.461102765313112	1.0	0.06493938239163305	0.8138242053733628	0.178819825153026	0.07031407408467347	0.5352600016105928	0.025067241111532586	0.749671729813916	0.9999938362946152	1.0	0.31033050834067255	0.2880832991489183	0.7444994950573576	0.06108770978487369	1.0	0.4452630238064624	1.0	1.0	0.5112026327700612	0.03543054060558313	0.09659972723532159	0.10429621909738414	0.39789837299351355	0.33491166178288906	0.7405317196022372	0.5324123584438005	1.0	0.2943119694092666	3.1071608350453645E-5	0.013917578446285444
"G8(-/-)"	1.0	0.963686822207506	0.622719372620541	0.9842759497861683	0.531464969811296	0.5647361369592382	0.5082921956547403	0.0	0.5111360771396705	0.030872503554671717	0.8338926438365971	0.11906240972376878	0.9999999997240565	0.023720612369790985	0.6921341691559288	0.5616350119612493	0.1010440874483623	1.0	0.505009219322752	1.0	0.560635794036482	0.49219173266803784	0.5279366123758031	0.47973082260756494	0.8998317214582592	0.5531335852846003	0.9998039746827999	0.21925004577698087	1.0	0.12179919605991057	0.9295224840885138	0.01915862825753845	0.6790175967166435	0.3266427106903727	0.7893184831942984	0.4473492523250195	0.3310006725325607	1.0	0.9577785417589298	1.0	0.7522834662545638	0.06498700938192849	0.12595313321902768	0.4931165281879242	1.0	1.0	0.5350187653483534	0.044456847384044054	0.04480581603943832	0.09192872483104059	0.6297674944803118	0.8213668572193303	0.5882801771886191	0.12782154095825735	0.5291700056707649	0.517003595153039	0.48831380377896694	0.3218656137751492	0.8582391256521812	1.0	0.37916637922070917	0.7730805467348811	0.5177495834156705	0.205592448876019	0.46219134976411974	0.9997798669951404	0.6151563063129832	0.5037900372012538	0.4440723603126256	0.4611027652426496	1.0	0.06493938239163305	0.7323595345807749	0.1788198251542385	0.07031407408467898	0.5352600016105928	0.025067241111532586	0.749671729813916	0.9999938362946152	1.0	0.31033050834067255	0.28808329914891706	0.7444994950573576	0.06108770978487369	1.0	0.4452630238064624	1.0	1.0	0.5112026327700612	0.03543054060900497	0.09659972723532159	0.10429621909738424	0.39789837299351355	0.33491166178288906	0.7405317196022372	0.5324123584438005	1.0	0.2943119694092666	3.1071608351788644E-5	0.013917578446285444
"G9(-/-)"	1.0	0.963686822207506	0.622719372620541	0.9842759497861683	0.23417196965633835	0.29309282980390816	0.5082921956547385	0.5506486193167262	0.0	0.9915630067983285	5.307594061801893E-4	0.11844483231410362	0.999999984706355	0.023720612369730942	0.6921341691604553	0.5616350119612505	0.10104408744836603	1.0	0.9999985267647812	1.0	0.560635794036482	0.49219173266803784	0.5279366123758031	0.47973082260756494	0.8998317214582592	0.5531335852846003	0.9998039746827999	0.21925004577698087	1.0	0.12179919605991057	0.9295224840885138	0.01915862825753845	0.6790175967166446	0.3266427106903698	0.7893184831943	0.44734925232501843	0.33100067253256155	1.0	0.9577785417589298	1.0	0.7522834662545638	0.06498700938192849	0.12595313321902768	0.4931165281879242	1.0	1.0	0.5350187653483534	0.044456847384039114	0.04480581603943817	0.09192872483103935	0.6297674944803303	0.821366857219376	0.5882801771886191	0.12782154095825404	0.5291700056707649	0.517003595153039	0.48831380377896694	0.3218656137817337	0.858239125636207	1.0	0.3791663792207092	0.7730805467348811	0.5177495834156705	0.2055924488871142	0.46219134987090166	0.9997798669951404	0.6151563063129832	0.5037900372012523	0.4440723603126256	0.4611027653115475	1.0	0.06493938239163305	0.7323595345807697	0.17881982515305142	0.07031407408467356	0.5352600016105928	0.025067241111532586	0.749671729813916	0.9999938362946152	1.0	0.31033050834067255	0.2880832991489183	0.7444994950573576	0.06108770978487369	1.0	0.4452630238064624	1.0	1.0	0.5112026327700612	0.03543054060565911	0.09659972723532159	0.10429621909738414	0.39789837299351355	0.33491166178288906	0.7405317196022372	0.5324123584438005	1.0	0.2943119694092666	3.107160835047177E-5	0.013917578446285444
"G10(-/-)"	1.0	0.9636868222074523	0.6227193726205537	0.9842759497861139	0.531464969811296	0.5647361369592382	0.5082921956576827	0.4592835551159403	0.5111360771396705	0.0	5.307805784734904E-4	0.11343242126909123	0.9999999997234043	0.023720612425771052	0.6921341649632318	0.5616350119600008	0.10104408744418987	1.0	0.5050092194161098	1.0	0.5606357940365836	0.49219173266803784	0.5279366123758034	0.4797308226073596	0.89983172145776	0.5531335852845929	0.9998039746828001	0.2192500457770312	1.0	0.12179919605991091	0.9295224840879477	0.019158628257566927	0.6790175967161742	0.3266427107008283	0.7893184831913681	0.44734925232844647	0.3310006725268028	1.0	0.9577785417588577	1.0	0.7522834662545679	0.06498700938192849	0.12595313321902768	0.4931165281879242	1.0	1.0	0.535018765348342	0.04445684738599247	0.044805816039653154	0.09192872483253108	0.6297674944475831	0.8213668571642918	0.5882801771886171	0.12782154096196263	0.529170005670772	0.5170035951530365	0.48831380377896677	0.32186561068743397	0.8582391319501869	1.0	0.3791663792197464	0.7730805467348814	0.5177495834157023	0.205592444503792	0.46219130772746303	0.9997798669951227	0.6151563063129848	0.5037900372043795	0.44407236031286634	0.46110273811962815	1.0	0.06493938239163588	0.7323595346050819	0.1788198257112136	0.07031407409281351	0.5352600016105625	0.025067241111519877	0.7496717298139121	0.9999938362946152	1.0	0.3103305083412499	0.28808329914592434	0.744499495057672	0.06108770978487264	1.0	0.44526302380609256	1.0	1.0	0.5112026327700169	0.035430541926166174	0.09659972723534349	0.10429621909814282	0.3978983729934778	0.3349116617829429	0.7405317196022593	0.5324123584438323	1.0	0.29431196940927695	3.1071610679395765E-5	0.013917578446297664
