"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
"wt"	1.0	0.9636868189686125	0.622719372630907	0.9842759497230863	0.5314649698112752	0.5647361369534714	0.5082921978921359	0.45928355520957004	0.5111360771515622	0.03583664721275437	5.307805784734353E-4	0.11349317803105166	0.9999999995338167	0.02372062375440095	0.6921337509888438	0.5616350114024701	0.10104408697060177	1.0	0.5050092313931756	1.0	0.5606357940529596	0.49219173262425714	0.5279366123758035	0.4797308225497703	0.8998317211884655	0.5531335852704703	0.9998039746828028	0.2192500499816007	1.0	0.12179919606015296	0.9295224798735431	0.019158629546453594	0.6790175960622038	0.32664271365017944	0.7893184825607702	0.4473492583388795	0.3310006667416057	1.0	0.9577785417295192	1.0	0.752283466256213	0.06498700938203646	0.12595313321905655	0.4931165281592597	1.0	1.0	0.535018765338995	0.04445684748216195	0.044805816061728565	0.09192872510257707	0.6297674804108792	0.8213668502537068	0.5882801771871914	0.12782154302319457	0.529170005634737	0.5170035951508443	0.4883138062876979	0.3218654269953483	0.8582394061281621	1.0	0.37916637793435565	0.7730805467350147	0.517749583423842	0.2055922148219216	0.46218844999330355	0.9997798652385959	0.6151563063141204	0.5037900375589258	0.4440723604044454	0.46110093429174703	1.0	0.0649393823940337	0.732359538211901	0.17881985136141618	0.07031407510168096	0.5352600016081673	0.02506724110835618	0.7496717298295505	0.999993836276219	1.0	0.3103305088087382	0.28808329892377066	0.74449949476938	0.06108770977312637	1.0	0.4452630237550335	1.0	1.0	0.5112026323701355	0.03543060107451264	0.09659972732174253	0.1042962360532921	0.39789837289473723	0.3349116618078631	0.7405317197968875	0.5324123584676009	1.0	0.29431196942188564	3.10721890570813E-5	0.013917578793244715
"G1(-/-)"	0.0	0.010766494754654203	0.522232736059976	0.08014657753914535	0.3807669150210133	0.43967658345148963	0.508292195654739	0.3819021587684563	0.5111360771396709	0.03583414862381292	5.308110833065657E-4	0.11350947923267142	0.9999999987226541	0.02372061236972779	0.6921341691607087	0.5616350119612507	0.10104408744836611	1.0	0.5050092193226046	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758032	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828001	0.21925004577698104	1.0	0.12179919605991062	0.9295224840885132	0.019158628257538463	0.6790175967166441	0.32664271069037	0.7893184831942996	0.4473492523250187	0.3310006725325613	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192849	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.044456847384038725	0.044805816039438194	0.09192872483103941	0.6297674944803302	0.8213668572193775	0.5882801771886187	0.12782154095825415	0.5291700056707643	0.5170035951530386	0.4883138037789673	0.32186561378223166	0.8582391256348816	1.0	0.37916637922070895	0.7730805467348811	0.5177495834156708	0.20559244888802128	0.4621913498794028	0.9997798669951399	0.6151563063129836	0.5037900372012526	0.44407236031262576	0.4611027653170482	1.0	0.0649393823916331	0.7323595345807701	0.17881982515295985	0.07031407408467333	0.5352600016105928	0.025067241111532575	0.6420582921361508	0.9999938362946149	1.0	0.3103305083406728	0.2880832991489183	0.7444994950573572	0.0610876844698042	1.0	0.42904839819329926	1.0	1.0	0.5112026327700607	0.03543054060538224	0.09659972723532165	0.10429621909738461	0.39789837299351327	0.3349116617828892	0.7406332789772233	0.5321728595119462	1.0	0.29431196940926685	4.541499542965367E-5	0.013917578446285451
"G2(-/-)"	1.0	0.0	0.5264763590986256	0.08014554792719412	0.3355081674624632	0.39623722666828215	0.5082921956547406	0.35742952044608334	0.5111360771396709	0.03583273511258341	5.30830593743688E-4	0.11351632568706187	0.9999999975852206	0.02372061236975637	0.6921341691596288	0.5616350119612497	0.10104408744836502	1.0	0.5050092193226616	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758032	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828004	0.21925004577698745	1.0	0.12179919605991062	0.9295224840885101	0.019158628257539473	0.6790175967166436	0.3266427106903704	0.7893184831942994	0.4473492523250257	0.3310006725325606	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.044456847384040016	0.044805816039438194	0.09192872483103955	0.6297674944803128	0.8213668572193663	0.5882801771886187	0.12782154095825524	0.5291700056707643	0.5170035951530386	0.4883138037789727	0.3218656137804507	0.8582391256385985	1.0	0.3791663792207084	0.7730805467348814	0.5177495834156708	0.20559244888491546	0.46219134984059257	0.9997798669951391	0.6151563063129836	0.5037900372012526	0.44407236031262576	0.4611027652926201	1.0	0.0649393823916331	0.7323595345807704	0.17881982515320893	0.07031407408467442	0.5352600016105928	0.025067241111532575	0.6420585535811099	0.9999938362946148	1.0	0.3103305083406728	0.2880832991489183	0.7444994950573572	0.061087684473546226	1.0	0.42904865171855894	1.0	1.0	0.5112026327700607	0.03543054060619093	0.09659972723532165	0.10429621909742083	0.39789837299351327	0.3349116617828892	0.7406332748662434	0.5321728640825656	1.0	0.29431196940926685	4.5413271121268374E-5	0.013917578446285508
"G3(-/-)"	1.0	0.9636868195055138	0.0	0.9842759497355908	0.5314649698112806	0.5647361369546856	0.508292197524255	0.45928355519865444	0.5111360771491812	0.03583664721275458	5.307805784734426E-4	0.11349317803105584	0.9999999995685884	0.023720621980744594	0.6921338156945485	0.5616350114956369	0.10104408703971118	1.0	0.5050092295978641	1.0	0.5606357940498475	0.49219173263228444	0.5279366123758035	0.47973082256044725	0.8998317212379177	0.5531335852733023	0.9998039746828021	0.2192500493035177	1.0	0.12179919606010664	0.9295224805761858	0.01915862932919123	0.6790175961728051	0.3266427131197682	0.7893184826661834	0.4473492573746407	0.33100066778387893	1.0	0.9577785417352518	1.0	0.7522834662558772	0.06498700938201053	0.1259531332190496	0.4931165281645441	1.0	1.0	0.5350187653408813	0.04445684746869429	0.044805816058149324	0.09192872505485654	0.6297674826371203	0.8213668513430212	0.5882801771874742	0.1278215426474484	0.5291700056415412	0.5170035951513045	0.4883138058944024	0.32186545327558974	0.8582393675710004	1.0	0.37916637815027987	0.7730805467349878	0.5177495834223675	0.20559224698182307	0.46218884709139346	0.999779865537502	0.6151563063138794	0.503790037498348	0.4440723603876867	0.46110118543802536	1.0	0.0649393823935264	0.7323595376005378	0.17881984766876352	0.07031407493774267	0.5352600016085735	0.02506724110893736	0.7496717298264955	0.99999383628005	1.0	0.31033050872073636	0.28808329896147944	0.7444994948189622	0.061087709775213106	1.0	0.44526302376440635	1.0	1.0	0.511202632441671	0.035430592791027476	0.09659972730508738	0.1042962333869941	0.3978983729134008	0.3349116618030413	0.740531719761929	0.532412358463042	1.0	0.29431196941939886	3.107209058366678E-5	0.013917578729232574
"G4(-/-)"	1.0	0.9636868222074889	0.05245603606817583	0.0	0.5314649698112957	0.5647361369592377	0.5082921956547514	0.45928355511512264	0.5111360771396709	0.03583664721275433	5.307805784734906E-4	0.11349317803107832	0.9999999997240562	0.023720612369860707	0.6921341691556888	0.5616350119612467	0.10104408744836028	1.0	0.5050092193228517	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758032	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828004	0.21925004577701263	1.0	0.12179919605991062	0.9295224840884945	0.019158628257543858	0.6790175967166402	0.3266427106903737	0.7893184831942973	0.44734925232505574	0.3310006725325548	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.04445684738404372	0.044805816039438284	0.09192872483104074	0.6297674944802357	0.8213668572193179	0.5882801771886187	0.12782154095826115	0.5291700056707643	0.5170035951530386	0.48831380377899425	0.3218656137751267	0.8582391256491457	1.0	0.3791663792207052	0.7730805467348814	0.5177495834156708	0.20559244887610345	0.46219134973048676	0.999779866995134	0.6151563063129836	0.5037900372012535	0.44407236031262576	0.4611027652233167	1.0	0.0649393823916331	0.7323595345807753	0.17881982515395314	0.07031407408467931	0.5352600016105928	0.025067241111532575	0.5344397429937117	0.9999938362946148	1.0	0.3103305083406729	0.2880832991489177	0.7444994950573562	0.04855949056762755	1.0	0.35220975844277574	1.0	1.0	0.5112026327700604	0.03543054060848525	0.09659972723532165	0.10429621909755647	0.39789837299351327	0.3349116617828892	0.8255257195362485	0.5820077526609763	1.0	0.29431196940926685	6.899594984054088E-5	0.013917578446285836
"G5(-/-)"	1.0	0.9636868222074978	0.6227193726205414	0.9842759497861677	0.0	0.12265855922094532	0.5082921956547445	0.24596311696226178	0.5111360771396709	0.03581301054646983	5.311933664192565E-4	0.11356771424860942	0.9999968350315922	0.02372061236979505	0.6921341691581681	0.5616350119612484	0.10104408744836328	1.0	0.5050092193227336	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758032	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828004	0.2192500457769966	1.0	0.12179919605991062	0.9295224840885045	0.019158628257541027	0.6790175967166423	0.3266427106903714	0.7893184831942986	0.4473492523250365	0.3310006725325587	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.04445684738404148	0.044805816039438215	0.09192872483103998	0.6297674944802852	0.8213668572193487	0.5882801771886187	0.12782154095825735	0.5291700056707643	0.5170035951530386	0.4883138037789808	0.32186561377837986	0.8582391256427511	1.0	0.3791663792207074	0.7730805467348814	0.5177495834156708	0.20559244888144612	0.4621913497972428	0.9997798669951374	0.6151563063129836	0.5037900372012527	0.44407236031262576	0.46110276526533467	1.0	0.0649393823916331	0.7323595345807719	0.17881982515349837	0.07031407408467617	0.5352600016105928	0.025067241111532575	0.7496717298139166	0.9999938362946148	1.0	0.3103305083406728	0.2880832991489182	0.7444994950573568	0.061087709784873656	1.0	0.4452630238064624	1.0	1.0	0.5112026327700607	0.03543054060709421	0.09659972723532165	0.1042962190974708	0.39789837299351327	0.3349116617828892	0.7405317196022377	0.532412358443801	1.0	0.29431196940926685	3.107160835149285E-5	0.01391757844628562
"G6(-/-)"	1.0	0.9636868222075053	0.6227193726205414	0.9842759497861677	0.5314649698112957	0.0	0.508292195654739	0.45928355511512137	0.5111360771396709	0.03583664721275433	5.307805784734906E-4	0.11349317803107832	6.778316365148389E-4	0.02372061236972796	0.6921341691607023	0.5616350119612507	0.10104408744836611	1.0	0.505009219322605	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758032	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828004	0.21925004577698104	1.0	0.12179919605991062	0.9295224840885132	0.01915862825753847	0.6790175967166441	0.32664271069037	0.7893184831942996	0.4473492523250187	0.3310006725325613	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.04445684738403873	0.044805816039438194	0.09192872483103941	0.6297674944803302	0.8213668572193775	0.5882801771886187	0.12782154095825415	0.5291700056707643	0.5170035951530386	0.48831380377896727	0.32186561378221723	0.8582391256349144	1.0	0.37916637922070895	0.7730805467348814	0.5177495834156708	0.20559244888799383	0.4621913498790598	0.9997798669951399	0.6151563063129836	0.5037900372012526	0.44407236031262576	0.4611027653168323	1.0	0.0649393823916331	0.7323595345807701	0.1788198251529619	0.07031407408467333	0.5352600016105928	0.025067241111532575	0.7496717298139166	0.9999938362946148	1.0	0.3103305083406728	0.2880832991489183	0.7444994950573572	0.061087709784873656	1.0	0.4452630238064624	1.0	1.0	0.5112026327700607	0.03543054060538939	0.09659972723532165	0.10429621909738483	0.39789837299351327	0.3349116617828892	0.7405317196022377	0.532412358443801	1.0	0.29431196940926685	3.107160835041934E-5	0.013917578446285451
"G7(-/-)"	1.0	0.9636868222075046	0.6227193726205414	0.9842759497861677	0.33550816680757506	0.3962371975452095	0.0	0.24596226049090072	0.5111360771396709	0.03581301046327601	5.311933777139235E-4	0.11356771444526065	0.9999999975852044	0.999994912776097	0.5473040565590931	0.29768837144403676	0.9999992219248045	1.0	0.5050092193226293	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758032	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828004	0.2192500457769836	1.0	0.12179919605991062	0.9295224840885122	0.01915862825753886	0.6790175967166441	0.32664271069037	0.7893184831942996	0.44734925232502143	0.33100067253256116	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.044456847384039315	0.044805816039438194	0.09192872483103942	0.6297674944803238	0.8213668572193733	0.5882801771886187	0.12782154095825446	0.5291700056707643	0.5170035951530386	0.48831380377896944	0.32186561378142	0.858239125636611	1.0	0.37916637922070884	0.7730805467348814	0.5177495834156708	0.20559244888657624	0.4621913498613451	0.9997798669951398	0.6151563063129836	0.5037900372012526	0.44407236031262576	0.4611027653056823	1.0	0.0649393823916331	0.8138241015412285	0.17881982515307346	0.07031407408467374	0.5352600016105928	0.025067241111532575	0.7496717298139166	0.9999938362946148	1.0	0.3103305083406728	0.2880832991489183	0.7444994950573572	0.061087709784873656	1.0	0.4452630238064624	1.0	1.0	0.5112026327700607	0.03543054060575853	0.09659972723532165	0.1042962190973997	0.39789837299351327	0.3349116617828892	0.7405317196022377	0.532412358443801	1.0	0.29431196940926685	3.107160835058168E-5	0.013917578446285469
"G8(-/-)"	1.0	0.9636868222074639	0.6227193726205414	0.9842759497861677	0.5314649698112957	0.5647361369592377	0.5082921956547702	0.0	0.5111360771396709	0.030872503635819566	0.8338900594528343	0.11906240955504173	0.999999999724056	0.023720612370038578	0.692134169148976	0.5616350119612412	0.10104408744835196	1.0	0.5050092193231591	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758032	0.4797308226075648	0.8998317214582584	0.5531335852845999	0.9998039746828004	0.21925004577705753	1.0	0.12179919605991062	0.9295224840884649	0.019158628257552095	0.6790175967166342	0.32664271069038114	0.7893184831942924	0.44734925232511075	0.3310006725325418	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.04445684738404923	0.044805816039438603	0.09192872483104299	0.6297674944800946	0.8213668572192314	0.5882801771886187	0.12782154095827172	0.5291700056707643	0.5170035951530386	0.48831380377903116	0.3218656137670033	0.8582391256647834	1.0	0.3791663792206984	0.7730805467348814	0.5177495834156708	0.2055924488630379	0.4621913495672453	0.9997798669951239	0.6151563063129836	0.5037900372012554	0.44407236031262587	0.46110276512056764	1.0	0.0649393823916331	0.7323595345807873	0.17881982515508874	0.07031407408468834	0.5352600016105928	0.025067241111532575	0.7496717298139166	0.9999938362946148	1.0	0.31033050834067344	0.2880832991489166	0.7444994950573547	0.061087709784873614	1.0	0.4452630238064624	1.0	1.0	0.5112026327700593	0.03543054061188678	0.09659972723532173	0.10429621909779109	0.39789837299351327	0.3349116617828892	0.7405317196022383	0.532412358443801	1.0	0.29431196940926685	3.10716083561635E-5	0.013917578446286532
"G9(-/-)"	1.0	0.963686822207504	0.6227193726205414	0.9842759497861677	0.23417197017259653	0.2930928629371118	0.5082921956547398	0.5506488316394501	0.0	0.9915630067985584	5.307594061816452E-4	0.1184448318298847	0.9999999847064678	0.023720612369744813	0.6921341691600653	0.56163501196125	0.10104408744836552	1.0	0.9999945366076208	1.0	0.5606357940364821	0.49219173266803756	0.5279366123758032	0.4797308226075648	0.8998317214582586	0.5531335852845999	0.9998039746828004	0.21925004577698473	1.0	0.12179919605991062	0.9295224840885116	0.019158628257539036	0.679017596716644	0.3266427106903701	0.7893184831942996	0.44734925232502265	0.33100067253256094	1.0	0.9577785417589295	1.0	0.752283466254564	0.06498700938192853	0.1259531332190277	0.4931165281879239	1.0	1.0	0.5350187653483532	0.04445684738403954	0.044805816039438194	0.09192872483103945	0.6297674944803204	0.8213668572193713	0.5882801771886187	0.12782154095825465	0.5291700056707643	0.5170035951530386	0.48831380377897043	0.32186561378111744	0.8582391256372364	1.0	0.3791663792207087	0.7730805467348814	0.5177495834156708	0.2055924488860536	0.4621913498548146	0.9997798669951395	0.6151563063129836	0.5037900372012526	0.44407236031262576	0.4611027653015719	1.0	0.0649393823916331	0.7323595345807701	0.17881982515311576	0.07031407408467394	0.5352600016105928	0.025067241111532575	0.7496717298139166	0.9999938362946148	1.0	0.3103305083406728	0.2880832991489183	0.7444994950573572	0.061087709784873656	1.0	0.4452630238064624	1.0	1.0	0.5112026327700607	0.0354305406058946	0.09659972723532165	0.10429621909740605	0.39789837299351327	0.3349116617828892	0.7405317196022377	0.532412358443801	1.0	0.29431196940926685	3.107160835065745E-5	0.01391757844628548
