"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
"wt"	0.5040022747424941	0.001963512290161726	0.9821882791443464	0.009332906467020318	0.17454185244115775	0.9384887843929632	0.5192746976774723	0.49848039718086146	0.19157212809351498	0.9941867049043299	0.7178391475871615	0.059074583415847884	0.9820875395648333	0.9617871660930017	0.700210036709141	0.9368770295383914	0.7536250800363667	0.5525037290294916	1.0	0.14870544611904607	0.8113508490214879	1.0	1.0	0.0014535743896280859	0.099183976444551	0.06907974144638454	0.9879913779046902	0.8021187239689833	0.4213635742138131	0.9693188805339658	0.3959908013133255	0.5407059336263678	0.2734495355104628	0.8986005989970418	0.5046235360367889	0.5183305193517385	0.1871041073633671	0.7994113851582778	0.34572023725933904	0.05763306020559167	0.11530945186700209	0.9791610933803352	0.10168543717432973	0.40737159016113633	0.07401479477744452	0.49646828315944	0.3416958565469078	0.11879537569425624	0.434619382604359	1.0	0.2660603438938745	0.0497507140316414	1.0	1.0	0.8526824682095131	0.17251670032021085	0.7762341974345736	0.9962887093736279	0.7433473502164604	0.4731757618087098	0.9726335207463535	0.9721047590960741	0.02357472342551266	0.6275539983279749	1.0	0.5219915459201244	0.7734121689884429	0.5066201490742203	0.9986798915932423	0.5580275942808239	0.7016938854585743	0.3868095926199558	0.7396088480044708	0.5843642449892013	0.768313323766699	0.03562791052214281	1.0	0.43331333981903586	0.3220673299598334	0.7941110991795873	0.4558137964107093	0.6929179140765341	0.6053562479463929	0.6069657717054849	0.7265061731555835	0.2723202108509581	0.3532789496548089	0.42192448149501377	0.5610838121852139	0.612492862637671	0.11381506384396654	0.4490886835700557	0.6322933331503552	0.642748914495865	0.48473226921997126	0.9897654874575667	0.08806807267847722	0.5838568152932169	0.17077186430844143	0.4501999275665896
"G1(+/-)"	0.25200113737099433	0.001963512274573803	0.9821882806935661	0.009332905738411602	0.17454184050150667	0.9384887840208629	0.519274699574382	0.4984803956949396	0.19157209040093753	0.9941867050122188	0.7178391487419128	0.059074583436493626	0.9820875483098093	0.9617871668737961	0.7002100367099133	0.9368770296471892	0.7536250798357513	0.5525037297580835	1.0	0.14870544641360317	0.8113508508221389	1.0	1.0	0.0014535744039784857	0.09918397620670222	0.06907979791668446	0.9879913781389098	0.8021187239438553	0.42136357421405973	0.9693188798887311	0.3959908012913916	0.5407059338389231	0.2734495285033485	0.8986006021933752	0.5046235360507232	0.5183305193531168	0.18710410740436542	0.7994113960081236	0.34572023687573633	0.057633060169227326	0.11530945180251734	0.979161093485328	0.10168543682073987	0.40737158968158294	0.07401479477718852	0.4964682838542944	0.34169585578416567	0.11879537568268721	0.43461938466745265	1.0	0.26606034405393414	0.04975071127943775	1.0	1.0	0.8526824672098513	0.17251670475375763	0.7762342007228157	0.996288709139678	0.7433473510267783	0.4731757677408854	0.9726335680402044	0.9721047590633656	0.023574721393998917	0.6275539985751246	1.0	0.5219915460672908	0.773412169036854	0.5066201490763874	0.9986799115798402	0.5580275942629225	0.7016938868366214	0.38680958967429935	0.7396088480057735	0.5843642449895665	0.7683133237466886	0.03562790871944202	1.0	0.4333133311816388	0.32206732955802103	0.7941110991117288	0.45581379629517665	0.692917933716222	0.605356247946522	0.6069657717680528	0.7265062046854904	0.2723201714620138	0.353278949656813	0.4219244814622429	0.5610838122009912	0.6124928702843053	0.11381506385058307	0.4490887209542593	0.6322933337800857	0.6427489109620086	0.4847322661182306	0.9897654874579284	0.08806807333158992	0.5838568152916938	0.17077181337658293	0.4502000827841989
"G2(+/-)"	0.5040022747403237	9.81756104496713E-4	0.9821882879838765	0.009332902348423057	0.17516372757802226	0.9384887822133106	0.5192747079158087	0.4984803886053498	0.19157187074768095	0.994186705752534	0.7178391534691678	0.059074583522627545	0.9820875993842482	0.9617871711664038	0.7002100367126518	0.9368770301156795	0.753625078611872	0.5525037331842881	1.0	0.14870544764674895	0.8113508593446472	1.0	1.0	0.0014535744521389444	0.09949058834519292	0.06898552663248493	0.9879913791007708	0.802118723842402	0.4213635742149507	0.969318876846514	0.3959908012048176	0.5407059347685784	0.27344949514152084	0.8986006169506905	0.5046235361023425	0.5183305193577615	0.1871041075805651	0.7994114556985545	0.3457202349317112	0.05763306002658811	0.11530945155962481	0.9791610939293005	0.10168543515049264	0.4073715876046001	0.07401479477562994	0.49646828700905415	0.3416958518151128	0.11879537563782486	0.43461939480822687	1.0	0.2660603446652153	0.04975069705772075	1.0	1.0	0.8526824629645628	0.17251742168578982	0.776234216527829	0.9962887079336447	0.743347355020628	0.4731757964827164	0.9726338470956011	0.9721047589213012	0.02357471212871367	0.6275539997132851	1.0	0.5219915467150591	0.7734121692346846	0.506620149084313	0.9986800202184074	0.5580275941837202	0.7016938925743987	0.3868095756895811	0.7396088480101615	0.5843642449935681	0.7683133236641865	0.03562789978116494	1.0	0.4333132887479904	0.3220673275751492	0.7941110988377297	0.4558137958602245	0.6929180238012547	0.6053562479469008	0.6069657720262981	0.7265063957068545	0.2723199502717423	0.35327894966396917	0.4219244813062567	0.5610838122614061	0.6124929138173902	0.11381506387845858	0.4490889096382403	0.632293336805571	0.6427488926853898	0.4847322515242053	0.9897654874590961	0.08806807647940802	0.5838533047302039	0.17077151150296563	0.45020102333871703
"G3(+/-)"	0.5040022747419887	0.001963512274573803	0.49109414034678306	0.009332905738411602	0.17454184050150667	0.9384887840208629	0.519274699574382	0.4984803956949396	0.19157209040093753	0.9941867050122188	0.7178391487419128	0.059074583436493626	0.9820875483098093	0.9617871668737961	0.7002100367099133	0.9368770296471892	0.7536250798357513	0.5525037297580835	1.0	0.14870544641360317	0.8113508508221389	1.0	1.0	0.0014535744039784857	0.09918397620670222	0.06907979791668446	0.9879913781389098	0.8021187239438553	0.42136357421405973	0.9693188798887311	0.3959908012913916	0.5407059338389231	0.2734495285033485	0.8986006021933752	0.5046235360507232	0.5183305193531168	0.18710410740436542	0.7994113960081236	0.34572023687573633	0.057633060169227326	0.11530945180251734	0.979161093485328	0.10168543682073987	0.40737158968158294	0.07401479477718852	0.4964682838542944	0.34169585578416567	0.11879537568268721	0.43461938466745265	1.0	0.26606034405393414	0.04975071127943775	1.0	1.0	0.8526824672098513	0.17251670475375763	0.7762342007228157	0.996288709139678	0.7433473510267783	0.4731757677408854	0.9726335680402044	0.9721047590633656	0.023574721393998917	0.6275539985751246	1.0	0.5219915460672908	0.773412169036854	0.5066201490763874	0.9986799115798402	0.5580275942629225	0.7016938868366214	0.38680958967429935	0.7396088480057735	0.5843642449895665	0.7683133237466886	0.03562790871944202	1.0	0.4333133311816388	0.32206732955802103	0.7941110991117288	0.45581379629517665	0.692917933716222	0.605356247946522	0.6069657717680528	0.7265062046854904	0.2723201714620138	0.353278949656813	0.4219244814622429	0.5610838122009912	0.6124928702843053	0.11381506385058307	0.4490887209542593	0.6322933337800857	0.6427489109620086	0.4847322661182306	0.9897654874579284	0.08806807333158992	0.5838568152916938	0.17077181337658293	0.4502000827841989
"G4(+/-)"	0.5040022747403237	0.001963512209006037	0.9821882878768688	0.0046664511872056965	0.1745417878501149	0.9384887822144851	0.5192747079126911	0.4984803886096726	0.1915718711684303	0.9941867054451211	0.7178391534690172	0.05907458352260632	0.9820875922794047	0.9617871705785508	0.7002100367126516	0.9368770301155205	0.7536250786134847	0.5525037331822238	1.0	0.14870544764643584	0.8113508593397141	1.0	1.0	0.0012195170979290297	0.09918397502883214	0.0690801059936343	0.9879913791005451	0.8021187238424248	0.4213635742149507	0.9693188768482969	0.3959908012048339	0.5407059347682296	0.2734494951617894	0.8986006169430755	0.504623536101808	0.5183305193577612	0.18710410755095702	0.7994114556152956	0.34572023493321263	0.05763306002661425	0.11530945155951573	0.9791610939291674	0.10168543515147796	0.4073715876052891	0.07401479477563036	0.4964682870075801	0.34169585181933276	0.11879537563783339	0.434619394800446	1.0	0.2660603446651051	0.04975069707108465	1.0	1.0	0.8526824629657459	0.17251672734222884	0.7762342165169851	0.9962887079345824	0.7433473550178105	0.4731757964643954	0.9727083110986715	0.9721047589213463	0.023574712133070073	0.6275539997126929	1.0	0.5219915467148057	0.7734121692346438	0.5066201490843122	0.9986800200761383	0.558027594183923	0.7016938925730958	0.3868095756981449	0.7396088480101614	0.5843642449909412	0.7683133236642075	0.03562789978758344	1.0	0.43331328877950087	0.32206732757610357	0.7941110988377853	0.455813795860255	0.6929180237605053	0.6053562479469008	0.6069657720262327	0.7265063952647929	0.2723199506140813	0.3532789496639688	0.42192448130635607	0.5610838122613973	0.6124929137445431	0.11381506387845157	0.44908890947642316	0.632293336803519	0.642748892703168	0.48473225153583344	0.9897654874590961	0.08806807647742154	0.583856815284986	0.17077151211649602	0.450201021161391
"G5(+/-)"	0.5040022747403237	0.0019635122089912147	0.9821882878820668	0.009332902372141124	0.08727089391144359	0.9384887822129009	0.5192747079167609	0.4984803886038518	0.1915718705438081	0.9941867054452331	0.7178391534689732	0.05907458352263337	0.982087592332798	0.9617871705816493	0.7002100367126518	0.9368770301157268	0.753625078611242	0.5525037331849542	1.0	0.1487054476468345	0.811350859346323	1.0	1.0	0.0014535744742946537	0.09918397502753785	0.1021483334356062	0.9879913791008311	0.8021187238423969	0.4213635742149507	0.9693188768458985	0.39599080120481367	0.5407059347686858	0.2734494951344946	0.8986006169532323	0.5046235361018141	0.5183305193577615	0.18710410758057938	0.7994114557350506	0.3457202349311719	0.05763306002658138	0.11530945155968268	0.9791610939293388	0.10168543515015235	0.4073715876043969	0.07401479477562987	0.4964682870095336	0.34169585181338796	0.11879537563782257	0.4346193948111306	1.0	0.26606034466524664	0.04975069705255196	1.0	1.0	0.8526824629642331	0.1717287726663932	0.7762342165313506	0.9962887079333106	0.7433473550216285	0.473175796489076	0.9726338473756233	0.9721047589212883	0.023574712127303627	0.6275539997134841	1.0	0.5219915467151379	0.7734121692346938	0.506620149084313	0.9986800202796536	0.5580275941836285	0.7016938925747234	0.3868095756865957	0.7396088480101615	0.5843642449909412	0.7683133236641813	0.03562789977888163	1.0	0.4333132887363932	0.32206732757395284	0.7941110988377158	0.4558137958602229	0.6929180238140024	0.6053562479469008	0.6069657720263157	0.7265063959336338	0.272319950117239	0.35327894966396917	0.4219244813062215	0.5610838122614075	0.6124929138512828	0.11381506387846044	0.44908890969993087	0.6322933368063153	0.6427488926784082	0.48473225151918015	0.9897654874590961	0.08806807648009894	0.5838188014623658	0.1707715111995107	0.450201024455693
"G6(+/-)"	0.5040022747403236	0.0019635122090057773	0.9821883721493774	0.009290399491413	0.17454178608993778	0.4692443911064502	0.5192747079167617	0.49848038860385013	0.1915718705435192	0.9941867957688418	0.7178391534670038	0.05907458352263351	0.9820933589809229	0.9617876485626544	0.7002061047504968	0.9368769931803245	0.7536250785995122	0.55250373321675	1.0	0.14870544764683455	0.7967077470297113	1.0	1.0	0.0014503445405340018	0.09918397502753276	0.06908010678291827	0.9879913879578796	0.8021192685009917	0.4213635757284982	0.9693188768458978	0.39599080114533197	0.5407059347686859	0.2734494951344865	0.898600616953235	0.5046235365336978	0.5183305193577615	0.18707292954583887	0.7994114494836678	0.34572023493117127	0.057633057230529104	0.11530945155968281	0.9791610939293388	0.10168543515015196	0.40737158756477315	0.07401479477562983	0.4964682870095341	0.3416958518133851	0.11879537563782257	0.43461939481113465	1.0	0.2660603446652465	0.04975070569872998	1.0	1.0	0.8526824629642329	0.17251672736833093	0.7762342161342227	0.9962887079333103	0.7433473550216296	0.4731757964890833	0.8877691446223088	0.9721047589212883	0.023574712127302246	0.6275539997134844	1.0	0.521991546715138	0.7734121692346938	0.506620149084313	0.9986800202794723	0.5580275941836454	0.7016938925747235	0.3868095756865922	0.7396088480101615	0.5843642471329237	0.7683133236641813	0.035627899778893454	1.0	0.43331328873637764	0.3220673280714909	0.7941110991697704	0.45581379586022297	0.6929180238140135	0.6053562479469008	0.6069657720263157	0.7289465074687744	0.2723199501169182	0.35327894966396917	0.4219244813062215	0.5610838122614075	0.6124929140766081	0.11381506387846044	0.4490898772630431	0.6322933863096941	0.641905122075014	0.4847268758711754	0.9897654874590961	0.08806807648009976	0.5838568153404012	0.170771339021258	0.45020145170304926
"G7(+/-)"	0.5040022747403237	0.014064533641388696	0.9821881606497834	0.009332932325267034	0.1662425247417273	0.9384887822129087	0.25963735395837334	0.4984803886038802	0.19157187055065825	0.9941856095335456	0.7178391534689854	0.05907458352263328	0.9820788844668044	0.9617864488118614	0.7002100367126518	0.9368770301157263	0.7536250786112563	0.5525037331369637	1.0	0.1487054476468335	0.8113508593460766	1.0	1.0	0.001453601735724801	0.09534345694980165	0.07043733961079113	0.9879913791008307	0.8021187238423969	0.4213635742149507	0.9693188768459103	0.39599080120481367	0.5407059347686842	0.2734494951346273	0.8986006169531875	0.5046235354496162	0.5183305193577615	0.1871041075805796	0.7994114557340127	0.3457202349311827	0.05763306002658143	0.11530945155968099	0.9791610939293385	0.10168543515015872	0.40737158760439957	0.07401479477562987	0.49646828700952544	0.34169585181343176	0.11879537563782257	0.43461939481106765	1.0	0.26606034466524614	0.04975069705267006	1.0	1.0	0.8526824629642373	0.1725061014669328	0.7762342161940698	0.996288707933317	0.7433473550216092	0.47317579648895586	0.972633846581244	0.9721047589212883	0.0235747121273271	0.6275539997134806	1.0	0.5219915467151368	0.7734121692346938	0.506620149084313	0.9986800202779635	0.5580275941836306	0.7016938925747208	0.38680957568665264	0.7396088480101615	0.5843642417560958	0.7683133236641813	0.03562789977892636	1.0	0.4333132887366383	0.322067326822764	0.7941110988377158	0.45581379586022264	0.6929180238138081	0.6053562479469008	0.6069657720263157	0.7265063959277543	0.2723199501218457	0.35327894966396917	0.4219244813062222	0.5610838122614075	0.6124929139378611	0.11381506387846044	0.44908890969854826	0.6322933368063001	0.6427488926785725	0.48473225151932864	0.9897654874590961	0.08806807648008583	0.583859558903252	0.1707715112101267	0.4502010244146295
"G8(+/-)"	0.5040022747403236	0.0019711075361741152	0.982188290031956	0.026370373511077412	0.1750444997981054	0.9059220795180476	0.5192747079167617	0.24924019430192507	0.19282370397656867	0.9941867077462395	0.7168152374399404	0.05919800929655892	0.9820877394575487	0.9617871827764758	0.700209983124433	0.936877029307651	0.7536241381366491	0.5525037331857663	1.0	0.14870544764683455	0.811013214999492	1.0	1.0	0.004913329601345383	0.09918196427028067	0.11940464671292106	0.9879913792757374	0.802118731266462	0.4213633146244015	0.9693188768458978	0.395990801203639	0.5407059347686859	0.2734494951344865	0.898600616953235	0.5046235361128328	0.5183305193577615	0.18710381954703015	0.7994114556502145	0.3251263408686582	0.05763305998583124	0.12060412988801802	0.9791610939293388	0.10168543515015196	0.40737158760361436	0.07401479477562987	0.4964682870095341	0.3416958518133851	0.11879537563782265	0.43461939481113465	1.0	0.26703525203169215	0.04973045882663404	1.0	1.0	0.8526824629642331	0.17631288885987983	0.7762342165286041	0.9567849939310423	0.7974801395129238	0.4731757964890832	0.9689513876302845	0.9721047589212883	0.023574712127302246	0.6275525515387754	1.0	0.521991546715138	0.7712379937756529	0.506620149084313	0.9986800202797628	0.5581257194269126	0.6834094547882313	0.3540350727143151	0.7396088480101616	0.5843642450455915	0.7683133236641813	0.00929453027787932	1.0	0.4711630066841443	0.32206732758664547	0.7941110988422412	0.47382815724021166	0.6282409272448988	0.6053562479469008	0.6069657720263157	0.7265683801647506	0.277895399932528	0.35327894966396917	0.4219244813062215	0.5610838122614075	0.61249291385547	0.11381506387846044	0.4503730327952191	0.6322933587358226	0.6424053699573322	0.4847321176985918	0.9897654874590961	0.19619868078155342	0.5838568622333459	0.15999195900463367	0.4502011057669959
"G9(+/-)"	0.5040022747403237	0.0019635122089914966	0.9821882878816656	0.009332902372308487	0.17627888987790075	0.938488782213028	0.5192747079164897	0.49848038860431426	0.09578593531028207	0.9941867054452278	0.7178391534690804	0.05907458352263182	0.9820875923278787	0.9617871705813983	0.7002100367126518	0.9368770301157135	0.75362507861145	0.5525037331847357	1.0	0.1487054476468119	0.8113508593458125	1.0	1.0	0.0014535744742895874	0.09918397502765271	0.06881759660076954	0.9879913791008159	0.8021187238423979	0.4213635742149507	0.9693188768460885	0.39599080120481445	0.5407059347686551	0.27344949513666517	0.898600616952465	0.5046235361018141	0.5183305193577615	0.1871041075805756	0.7994114557220755	0.3457202349313417	0.05763306002658307	0.1153094515596613	0.9791610939293287	0.10168543515025724	0.40737158760445347	0.07401479477562987	0.4964682870093913	0.3416958518139771	0.11879537563782316	0.43461939481019124	1.0	0.26606034466523804	0.0497506970542573	1.0	1.0	0.8526824629643213	0.17251863691688477	0.7762342165301518	0.996288707933415	0.7433473550213154	0.47317579648711156	0.972633847268859	0.9721047589212916	0.02357471212772077	0.6275539997134238	1.0	0.5219915467151156	0.773412169234692	0.506620149084313	0.998680020258105	0.5580275941836607	0.7016938925746447	0.3868095756875211	0.7396088480101615	0.5843642449909412	0.7683133236641825	0.03562789977959681	1.0	0.4333132887401132	0.3220673275741438	0.794111098837719	0.45581379586022197	0.6929180238103276	0.6053562479469008	0.6069657720263115	0.7265063958455418	0.2723199501730838	0.35327894966396917	0.42192448130623256	0.5610838122614075	0.61249291383886	0.11381506387845998	0.44908890967972953	0.6322933368060785	0.6427488926807337	0.48473225152098737	0.9897654874590961	0.0880680764798852	0.5838569298058609	0.17077151131522078	0.4502010240218003
