"Index"	"Gene"
G1	64
G2	340
G3	65
G4	103
G5	196
G6	344
G7	100
G8	355
G9	93
G10	406
G11	101
G12	102
G13	104
G14	105
G15	106
G16	130
G17	214
G18	226
G19	244
G20	281
G21	297
G22	335
G23	343
G24	394
G25	70
G26	84
G27	98
G28	99
G29	264
G30	381
G31	137
G32	133
G33	134
G34	138
G35	139
G36	367
G37	132
G38	135
G39	136
G40	140
G41	141
G42	142
G43	131
G44	193
G45	332
G46	365
G47	278
G48	279
G49	294
G50	69
G51	282
G52	186
G53	275
G54	296
G55	14
G56	149
G57	210
G58	6
G59	11
G60	18
G61	331
G62	17
G63	92
G64	298
G65	403
G66	10
G67	183
G68	13
G69	312
G70	5
G71	7
G72	203
G73	1
G74	119
G75	116
G76	148
G77	395
G78	147
G79	309
G80	326
G81	117
G82	118
G83	292
G84	202
G85	67
G86	68
G87	24
G88	152
G89	217
G90	177
G91	49
G92	73
G93	76
G94	242
G95	318
G96	50
G97	291
G98	153
G99	172
G100	165
