"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	1.0	0.9917615592450696	1.0	1.0	0.99995981219111	0.48779259365049527	0.8235245808894173	0.5292901159819863	0.5226354151163396	0.5082628863534441	0.5446314636526328	0.10834882438955701	0.1616162312547106	0.5185387651415985	0.8136439797653691	0.173106742954937	0.9932017038195183	0.9968217803975808	1.0	4.685098797142583E-7	0.9979425333886243	0.06376875375740709	1.0	1.0	0.5604564913376421	0.5317006507856438	0.8869556125125028	1.0	0.7580002411258872	0.9998988671077393	0.9794140553688038	0.8799542437034721	0.863837055686725	0.628121163475896	0.14696351645214112	0.5224730837321934	0.3278277337292954	0.6138844738044457	0.511437443887825	0.5400957250865838	0.22721076045145294	0.5853748648965822	0.4654796894507351	0.5252206782928004	0.9993801730780074	0.007043912153965706	0.5037259554777647	0.5006082124977482	0.4694742115704843	1.0
"G1(+/-)"	0.5	0.9828941654383554	1.0	1.0	0.9999598122196703	0.4877925936988331	0.8235246137871235	0.529290116200543	0.5226354151746461	0.5082628863534441	0.5446314639787595	0.10834882438955525	0.16161623125468344	0.5185387651419442	0.8136439797708003	0.17310674292245398	0.9932017038782661	0.9968217842685393	1.0	4.637179578960841E-7	0.997942534475944	0.06376875342687777	1.0	1.0	0.5604564914326085	0.5317006506175682	0.886955612523062	1.0	0.7580002293710557	0.9998988671446982	0.9794140518444112	0.879954366533402	0.863837057064637	0.628121167097144	0.1469635161279072	0.5224730837225903	0.32782773285527	0.613884474197444	0.5114374438639444	0.5400957175767938	0.22721075995142667	0.5853748648519052	0.46547968955466107	0.5252206785249844	0.999380173077941	0.007043912140771859	0.5037259560593121	0.5006082125954819	0.4694742174169416	1.0
"G2(+/-)"	1.0	0.4958807798318307	1.0	1.0	0.9999598121970348	0.48779259366003175	0.8235245860979847	0.5292901160241011	0.5226354151273469	0.5082628863534441	0.544631463711085	0.10834882438955652	0.1616162312547035	0.5185387651416803	0.8136439797666057	0.17310674294842057	0.9932017038314396	0.9968217810663533	1.0	4.677689352460617E-7	0.997942533581789	0.06376875369919725	1.0	1.0	0.5604564913545107	0.5317006507530461	0.8869556125147273	1.0	0.7580002391033364	0.9998988671154223	0.9794140547918144	0.8799542609505383	0.8638370559319473	0.6281211640997109	0.14696351639454	0.5224730837301941	0.3278277335703554	0.6138844738721091	0.5114374438835652	0.5400957239119702	0.22721076036329738	0.5853748648886619	0.4654796894691925	0.5252206783355671	0.9993801730779946	0.007043912151115417	0.5037259555852531	0.500608212516364	0.4694742125290921	1.0
"G3(+/-)"	1.0	0.9813315920718187	0.5	1.0	0.9999598122196705	0.48779259369883354	0.8235246137889183	0.5292901162005452	0.5226354151746468	0.5082628863534441	0.5446314639787663	0.10834882438955525	0.16161623125468344	0.5185387651419442	0.8136439797708003	0.17310674292245373	0.9932017038782665	0.9968217842686476	1.0	4.637176300222845E-7	0.9979425344759678	0.06376875342687006	1.0	1.0	0.5604564914326107	0.5317006506175668	0.886955612523062	1.0	0.7580002293707372	0.9998988671446983	0.9794140518442653	0.8799543665498855	0.8638370570646672	0.6281211670972419	0.14696351612790004	0.5224730837225903	0.3278277328552548	0.6138844741974542	0.5114374438639441	0.5400957175763257	0.22721075995141513	0.5853748648519042	0.46547968955466335	0.5252206785249882	0.999380173077941	0.0070439121407718215	0.5037259560593208	0.500608212595483	0.4694742174171956	1.0
"G4(+/-)"	1.0	0.9863424993968553	1.0	0.5	0.9995291468874012	0.44060327472049876	0.6693063083687183	0.5160135221563337	0.500070947382986	0.4232366856235408	0.5191909163648638	0.1468396935840794	0.16885680260748667	0.5184855995285647	0.607002205606526	0.17310759965363806	0.9932017038782675	0.9968217842691628	1.0	1.2827517968239812E-5	0.9979425344760773	0.06376875342683447	1.0	1.0	0.5604564914326197	0.5317006506175609	0.886955612523062	1.0	0.7580002293692422	0.9998988671446986	0.9794140518435379	0.8799543666491955	0.8638370570648054	0.6281211670977012	0.14696351612786743	0.52247308372259	0.32782773285518696	0.613884474197501	0.511437443863942	0.5400957175738306	0.22721075995136183	0.5853748648518999	0.4654796895546735	0.5252206785250046	0.999380173077941	0.007043912140771689	0.5037259560593573	0.500608212595487	0.4694742174184803	1.0
"G5(+/-)"	1.0	0.9917615596636614	1.0	1.0	0.4999799060985174	0.48779259366003175	0.8235245860979847	0.5292901160241011	0.5226354151273469	0.5082628863534441	0.544631463711085	0.10834882438955652	0.1616162312547035	0.5185387651416803	0.8136439797666057	0.17310674294842057	0.9932017038314396	0.9968217810663533	1.0	4.677689352460617E-7	0.997942533581789	0.06376875369919725	1.0	1.0	0.5604564913545107	0.5317006507530461	0.8869556125147273	1.0	0.7580002391033364	0.9998988671154223	0.9794140547918144	0.8799542609505383	0.8638370559319473	0.6281211640997109	0.14696351639454	0.5224730837301941	0.3278277335703554	0.6138844738721091	0.5114374438835652	0.5400957239119702	0.22721076036329738	0.5853748648886619	0.4654796894691925	0.5252206783355671	0.9993801730779946	0.007043912151115417	0.5037259555852531	0.500608212516364	0.4694742125290921	1.0
"G6(+/-)"	1.0	0.9917615596636614	1.0	1.0	0.9999598121970348	0.24389629683001587	0.8235245860979847	0.5292901160241011	0.5226354151273469	0.5082628863534441	0.544631463711085	0.10834882438955652	0.1616162312547035	0.5185387651416803	0.8136439797666057	0.17310674294842057	0.9932017038314396	0.9968217810663533	1.0	4.677689352460617E-7	0.997942533581789	0.06376875369919725	1.0	1.0	0.5604564913545107	0.5317006507530461	0.8869556125147273	1.0	0.7580002391033364	0.9998988671154223	0.9794140547918144	0.8799542609505383	0.8638370559319473	0.6281211640997109	0.14696351639454	0.5224730837301941	0.3278277335703554	0.6138844738721091	0.5114374438835652	0.5400957239119702	0.22721076036329738	0.5853748648886619	0.4654796894691925	0.5252206783355671	0.9993801730779946	0.007043912151115417	0.5037259555852531	0.500608212516364	0.4694742125290921	1.0
"G7(+/-)"	1.0	0.9917615596636614	1.0	1.0	0.9999598121970348	0.48779259366003175	0.41176229304899237	0.5292901160241011	0.5226354151273469	0.5082628863534441	0.544631463711085	0.10834882438955652	0.1616162312547035	0.5185387651416803	0.8136439797666057	0.17310674294842057	0.9932017038314396	0.9968217810663533	1.0	4.677689352460617E-7	0.997942533581789	0.06376875369919725	1.0	1.0	0.5604564913545107	0.5317006507530461	0.8869556125147273	1.0	0.7580002391033364	0.9998988671154223	0.9794140547918144	0.8799542609505383	0.8638370559319473	0.6281211640997109	0.14696351639454	0.5224730837301941	0.3278277335703554	0.6138844738721091	0.5114374438835652	0.5400957239119702	0.22721076036329738	0.5853748648886619	0.4654796894691925	0.5252206783355671	0.9993801730779946	0.007043912151115417	0.5037259555852531	0.500608212516364	0.4694742125290921	1.0
"G8(+/-)"	1.0	0.9917615596636614	1.0	1.0	0.9999598121970348	0.48779259366003175	0.8235245860979847	0.26464505801205057	0.5226354151273469	0.5082628863534441	0.544631463711085	0.10834882438955652	0.1616162312547035	0.5185387651416803	0.8136439797666057	0.17310674294842057	0.9932017038314396	0.9968217810663533	1.0	4.677689352460617E-7	0.997942533581789	0.06376875369919725	1.0	1.0	0.5604564913545107	0.5317006507530461	0.8869556125147273	1.0	0.7580002391033364	0.9998988671154223	0.9794140547918144	0.8799542609505383	0.8638370559319473	0.6281211640997109	0.14696351639454	0.5224730837301941	0.3278277335703554	0.6138844738721091	0.5114374438835652	0.5400957239119702	0.22721076036329738	0.5853748648886619	0.4654796894691925	0.5252206783355671	0.9993801730779946	0.007043912151115417	0.5037259555852531	0.500608212516364	0.4694742125290921	1.0
"G9(+/-)"	1.0	0.9917615596636614	1.0	1.0	0.9999598121970348	0.48779259366003175	0.8235245860979847	0.5292901160241011	0.26131770756367345	0.5082628863534441	0.544631463711085	0.10834882438955652	0.1616162312547035	0.5185387651416803	0.8136439797666057	0.17310674294842057	0.9932017038314396	0.9968217810663533	1.0	4.677689352460617E-7	0.997942533581789	0.06376875369919725	1.0	1.0	0.5604564913545107	0.5317006507530461	0.8869556125147273	1.0	0.7580002391033364	0.9998988671154223	0.9794140547918144	0.8799542609505383	0.8638370559319473	0.6281211640997109	0.14696351639454	0.5224730837301941	0.3278277335703554	0.6138844738721091	0.5114374438835652	0.5400957239119702	0.22721076036329738	0.5853748648886619	0.4654796894691925	0.5252206783355671	0.9993801730779946	0.007043912151115417	0.5037259555852531	0.500608212516364	0.4694742125290921	1.0
