"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.3183509985653377	0.5022566371757986	0.5140350358590889	1.0	0.02244721443640814	0.9994891652417618	0.37408390910185213	0.4840769774250256	0.6181103011615768	0.061390353108503645	0.9991694600267413	0.19565248565305068	0.9774027696746596	0.5258312828901104	0.5451777923886151	0.4866335747162556	1.0	0.491869323327421	0.5308158525418761	0.5331663175776727	0.543662741158018	0.45744340593340577	0.8603026090060573	0.6298313964536641	0.1898763584116928	0.592402184649686	0.8023074047027691	0.47497063860513794	1.0	0.6873730931572356	0.8986098809471702	0.5453065989676829	0.05258262259543713	0.4810059193967874	0.5787301233791896	0.04670878918707683	0.08778904679791273	0.526217808788854	1.0	0.9590117432729318	0.44202838130226524	0.29109194434829466	0.26845022297235976	0.23262300632224822	0.2790426897772953	1.0	1.0	0.49037188265252507	0.19785658588780036	0.9993471328789137
"G1(+/-)"	0.1591754992789076	0.5022566371747794	0.5140350348961825	1.0	0.02244721443673206	0.9994891652404225	0.37408390912015854	0.4840769774267223	0.6181103008161186	0.06139035310848782	0.9991694600267563	0.19565248565286408	0.9774027696027529	0.5258312828901104	0.5451777923881649	0.48663357477254526	1.0	0.4918693233276765	0.5308158502221115	0.5331663175778507	0.5436627411564126	0.45744340593305083	0.8603026090078353	0.6298313964561402	0.18987635841100053	0.5924021846439544	0.8023074047334651	0.47497063860224426	1.0	0.687373093159199	0.898609880958092	0.5453065989676829	0.05258262222230629	0.48100591939668635	0.5787301234169447	0.046708783634164364	0.08778904679790187	0.5262178087888438	1.0	0.9590117432729309	0.44202838130226524	0.2910919443381201	0.2684502229722377	0.23262300274540954	0.2790426897772953	1.0	1.0	0.4903718826515824	0.19785658588591754	0.9993471328789137
"G2(+/-)"	0.3183670738645425	0.2511283185854431	0.5140490447244883	1.0	0.09245950851958114	0.9994891679136478	0.4987869921152011	0.48407697743338846	0.6181102990009796	0.06139035310843846	0.9991694600268023	0.19565248565221635	0.9774027692247104	0.5258312828901104	0.5451777923863967	0.4866335750358723	1.0	0.4918693233286803	0.5308158366513502	0.5331663175784997	0.5436627411501056	0.45744340593165683	0.8603026090148206	0.6298313964659453	0.18987635840830883	0.5924021846211682	0.802307404874721	0.47497063859071165	1.0	0.6873730931669121	0.8986098810019479	0.5453065989676829	0.052582620257688346	0.48100591939633525	0.5787301235987854	0.046708750791934935	0.0877890467978685	0.526217808788812	1.0	0.9590117432729284	0.44202838130226524	0.2910919442924985	0.2684502229717981	0.2326229819023255	0.2790426897772953	1.0	1.0	0.4903718826479988	0.19785658587852992	0.9993471328789137
"G3(+/-)"	0.3183509985578152	0.5022566371747794	0.25701751744809126	1.0	0.02244721443673206	0.9994891652404225	0.37408390912015854	0.4840769774267223	0.6181103008161186	0.06139035310848782	0.9991694600267563	0.19565248565286408	0.9774027696027529	0.5258312828901104	0.5451777923881649	0.48663357477254526	1.0	0.4918693233276765	0.5308158502221115	0.5331663175778507	0.5436627411564126	0.45744340593305083	0.8603026090078353	0.6298313964561402	0.18987635841100053	0.5924021846439544	0.8023074047334651	0.47497063860224426	1.0	0.687373093159199	0.898609880958092	0.5453065989676829	0.05258262222230629	0.48100591939668635	0.5787301234169447	0.046708783634164364	0.08778904679790187	0.5262178087888438	1.0	0.9590117432729309	0.44202838130226524	0.2910919443381201	0.2684502229722377	0.23262300274540954	0.2790426897772953	1.0	1.0	0.4903718826515824	0.19785658588591754	0.9993471328789137
"G4(+/-)"	0.32797946891529056	0.5026527623041612	0.5140350268983654	0.5	0.02618179401780613	0.9994891657501072	0.3717095237575503	0.48407697743338846	0.6181102990009832	0.20384459835440644	0.9819171424205408	0.3983922065275043	0.9774027692247109	0.4647608790792351	0.5451777923863967	0.42343922088821623	1.0	0.4918693233286803	0.5322702698076228	0.5331663175784997	0.5436627411501056	0.45744340593165683	0.8603026090148206	0.6298313964659453	0.18987635840830883	0.5924021846211682	0.802307404874721	0.47497063859071165	1.0	0.6873730931669121	0.8986098810019479	0.5453065989676829	0.05258262025769288	0.48100591939633525	0.5787301235987854	0.04670875079220717	0.0877890467978685	0.526217808788812	1.0	0.9590117432729284	0.44202838130226535	0.2910919442924985	0.2684502229717981	0.2326229819024733	0.2790426897772952	1.0	1.0	0.4903718826479988	0.19785658587852992	0.9993471328789135
"G5(+/-)"	0.3183509985578152	0.5022566371747794	0.5140350348961825	1.0	0.01122360721836603	0.9994891652404225	0.37408390912015854	0.4840769774267223	0.6181103008161186	0.06139035310848782	0.9991694600267563	0.19565248565286408	0.9774027696027529	0.5258312828901104	0.5451777923881649	0.48663357477254526	1.0	0.4918693233276765	0.5308158502221115	0.5331663175778507	0.5436627411564126	0.45744340593305083	0.8603026090078353	0.6298313964561402	0.18987635841100053	0.5924021846439544	0.8023074047334651	0.47497063860224426	1.0	0.687373093159199	0.898609880958092	0.5453065989676829	0.05258262222230629	0.48100591939668635	0.5787301234169447	0.046708783634164364	0.08778904679790187	0.5262178087888438	1.0	0.9590117432729309	0.44202838130226524	0.2910919443381201	0.2684502229722377	0.23262300274540954	0.2790426897772953	1.0	1.0	0.4903718826515824	0.19785658588591754	0.9993471328789137
"G6(+/-)"	0.3183509985578152	0.5022566371747794	0.5140350348961825	1.0	0.02244721443673206	0.49974458262021126	0.37408390912015854	0.4840769774267223	0.6181103008161186	0.06139035310848782	0.9991694600267563	0.19565248565286408	0.9774027696027529	0.5258312828901104	0.5451777923881649	0.48663357477254526	1.0	0.4918693233276765	0.5308158502221115	0.5331663175778507	0.5436627411564126	0.45744340593305083	0.8603026090078353	0.6298313964561402	0.18987635841100053	0.5924021846439544	0.8023074047334651	0.47497063860224426	1.0	0.687373093159199	0.898609880958092	0.5453065989676829	0.05258262222230629	0.48100591939668635	0.5787301234169447	0.046708783634164364	0.08778904679790187	0.5262178087888438	1.0	0.9590117432729309	0.44202838130226524	0.2910919443381201	0.2684502229722377	0.23262300274540954	0.2790426897772953	1.0	1.0	0.4903718826515824	0.19785658588591754	0.9993471328789137
"G7(+/-)"	0.3183509985578152	0.5022566371747794	0.5140350348961825	1.0	0.02244721443673206	0.9994891652404225	0.18704195456007927	0.4840769774267223	0.6181103008161186	0.06139035310848782	0.9991694600267563	0.19565248565286408	0.9774027696027529	0.5258312828901104	0.5451777923881649	0.48663357477254526	1.0	0.4918693233276765	0.5308158502221115	0.5331663175778507	0.5436627411564126	0.45744340593305083	0.8603026090078353	0.6298313964561402	0.18987635841100053	0.5924021846439544	0.8023074047334651	0.47497063860224426	1.0	0.687373093159199	0.898609880958092	0.5453065989676829	0.05258262222230629	0.48100591939668635	0.5787301234169447	0.046708783634164364	0.08778904679790187	0.5262178087888438	1.0	0.9590117432729309	0.44202838130226524	0.2910919443381201	0.2684502229722377	0.23262300274540954	0.2790426897772953	1.0	1.0	0.4903718826515824	0.19785658588591754	0.9993471328789137
"G8(+/-)"	0.3183516803296493	0.5022566371708862	0.5140350295866774	1.0	0.02244721443788329	0.9994891652333849	0.3741053803407796	0.24203848871669423	0.6181102990010314	0.06139035310843846	0.9991694600268023	0.19565248565221635	0.9774027692247207	0.5258312828901104	0.5867427605441093	0.4866335750358703	1.0	0.44959613530124093	0.5308158366523841	0.5272760595656106	0.8076989050204321	0.48903870280904205	0.5741903556466309	0.5828548363402899	0.27284528416980636	0.6994730735574672	0.7802360831404354	0.48793334394353927	1.0	0.5331288462696985	0.6763502232352251	0.5453065989676829	0.052580706590780756	0.48237258185544285	0.5787301235987835	0.046708750794685214	0.08778957197224553	0.526217808788812	1.0	0.9590117432729284	0.44202838130226535	0.29109194429249863	0.2684502229717981	0.2326229819038599	0.2790426897772952	1.0	1.0	0.4903778393115939	0.27136181165045814	0.9993471328789135
"G9(+/-)"	0.3183521651598123	0.5022566371708862	0.5140417936639238	1.0	0.022183820311913828	0.9978965779987813	0.3605390857646039	0.48407697743338846	0.3090551495005336	0.06139035310843846	0.9991694600268023	0.19565248565221635	0.9193521017526807	0.5258312828901104	0.5451777923863967	0.48663357503586835	1.0	0.4918693233286803	0.530815836653019	0.5331663175784997	0.5436627411501056	0.45744340593165683	0.8603026090148206	0.6298313964659453	0.18987635840830883	0.5924021846211682	0.8023074048747196	0.47497063859071165	1.0	0.6873730931669121	0.8986098810019479	0.5453065989676829	0.05258262025778523	0.48100591939633525	0.5787301235987822	0.046708750796353976	0.0877890467978685	0.526217808788812	1.0	0.9590117432729284	0.44202838130226524	0.29109194429249885	0.2684502229717981	0.23262298190480635	0.2790426897772953	1.0	1.0	0.4903718826479988	0.19785658587852992	0.9993471328789137
