"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.9992530535872648	0.5473731543075756	0.5095138783084991	0.07069691849917487	1.0	0.06803136546847376	0.07679234848483257	0.7865773446275565	0.6007713557486958	0.903758487974658	0.2671344913274836	0.4095101767268687	0.29266509935786766	0.018673531754231833	0.7498132987124478	0.05310908158271999	1.0	1.0	1.0	0.24848828664866912	0.08066209503017746	0.5116793716554007	0.8752310271434445	0.5237557345434698	0.8705795769251241	0.15199321887435846	0.9999859475665481	0.4876599568061782	0.044701822480548464	0.9660444611340291	0.9806867917809575	0.9131212745168533	0.4821494516407692	0.4092288141228733	0.7776104995392806	0.0017083546651605556	0.18018720477694014	0.9328480286344507	0.4644845812205028	0.460402546078156	0.46551200481343213	0.9996430169513936	0.9993766491197598	0.46792321502768297	0.6758972528176002	0.9602663625105875	0.44494636366891155	1.0	0.6377252442809207	0.5134981107825205
"G1(+/-)"	0.49962652720166956	0.5473731546461192	0.5095138653942936	0.07069690868618107	1.0	0.06803136511621183	0.07679234848420866	0.7865773476420803	0.6007713593484844	0.9037584880968278	0.26713449381334076	0.40951018054546157	0.29266511190880984	0.018673534046694633	0.7498132987819298	0.05310908151962753	1.0	1.0	1.0	0.24848822684435076	0.08066209454755778	0.5116793715092834	0.8752310790952903	0.5237557346906779	0.8705795770299207	0.15199321910459607	0.9999859497789543	0.4876599571054979	0.044701822336307415	0.9660444606510293	0.9806867933407748	0.9131212782895893	0.48214945872999965	0.40922881399000227	0.77761049954077	0.0017083546596963698	0.1801871557985626	0.9328477628632202	0.4644846317978381	0.46040254608182735	0.46551234670083813	0.9996430185040872	0.9993766491197615	0.46792321556418753	0.6758971609718383	0.9602663659094998	0.44494636504226637	1.0	0.6377252443130107	0.5134981107822202
"G2(+/-)"	0.9936245889779818	0.2736865780429092	0.512809658136901	0.07165330515898499	1.0	0.06793687527733115	0.0767923484823274	0.7865799269001347	0.6007713768678796	0.9037584885218413	0.26713449145094936	0.4095101968015719	0.29266544900305197	0.018591956868607148	0.7498132990190507	0.053109081247635234	1.0	1.0	1.0	0.24848787210312742	0.08066209242566819	0.5121850610871119	0.8752313195200174	0.5237557352912676	0.8705796144252663	0.15199322010668134	0.9999859604433387	0.48765995842502224	0.044701821708457275	0.9660444584676565	0.9806868003379058	0.9131212961161504	0.48214949051449635	0.4092288140794969	0.7776104995473341	0.0017083546356125487	0.1801868649110621	0.9328461238739275	0.4644443594187061	0.4604025460947582	0.46551437383367894	0.9996430253440511	0.9993766491197649	0.46792321770244144	0.6758966403162994	0.9602663821392239	0.4449463707175422	1.0	0.6377252444563939	0.5134981107808987
"G3(+/-)"	0.9993215130306426	0.5473731560858275	0.25475689619917175	0.07194193245377122	1.0	0.17094103749551876	0.0767923484823274	0.7858742766067988	0.6007713768683262	0.9037584885218413	0.26713445797002666	0.4095101968017039	0.29266553315497623	0.07223794218324053	0.7498132989494514	0.0531090812476327	1.0	1.0	1.0	0.24848787205311693	0.08066209242564772	0.5116793709009557	0.8752313195233604	0.5237557352912697	0.870579626321216	0.15199322010669078	0.9999859604435921	0.4876599584250352	0.04470182170845132	0.9660444584676028	0.9806868003379866	0.9131212961164783	0.4821494905148493	0.4092288261709613	0.7776104995473342	0.00170835463561229	0.18018686487001184	0.9328461236046254	0.4719974431930716	0.4604025460947582	0.4655143741195209	0.9996430253441136	0.9993766491197649	0.4679232177023775	0.675896640271681	0.9602663821395765	0.4449463707175797	1.0	0.6377252444563957	0.5134981107808987
"G4(+/-)"	0.9992530581063878	0.5473731560721504	0.5095137944246518	0.03534842675194201	1.0	0.06803136480325797	0.07679234848233074	0.7865773610932804	0.6007713765827405	0.903758488520252	0.26713449132216804	0.40951019664005767	0.29263207036159805	0.018673546873206846	0.7498133199970329	0.05310908125051952	1.0	1.0	1.0	0.2484878835687382	0.08066209244901693	0.5116793709062811	0.8752313163685529	0.5237557352864898	0.8705747970701715	0.1519932200959108	0.9999859602750352	0.48765995841034504	0.04470182171523176	0.9660444584968111	0.9806868002548303	0.9131212958586723	0.48214949013903724	0.40922881362526914	0.7776104995472612	0.0017083546358803753	0.1801868743262358	0.9328461817592445	0.4644849223524482	0.4604025460947055	0.4655143083365335	0.9996430252693044	0.9993766491197649	0.46792321769384304	0.6758966544594027	0.9602663818921662	0.4449463706675703	1.0	0.6377252444547167	0.5134981107809129
"G5(+/-)"	0.9983720449753992	0.5473731560858278	0.5095137923979729	0.057077782734891565	0.5	0.06803136488984694	0.0767923484823274	0.7865773612799879	0.6007713768683445	0.9037584885218413	0.2671344913395514	0.4095101968017084	0.29265968433007217	0.018673547256111766	0.7498133025155914	0.05310908124763264	1.0	1.0	1.0	0.248487872050281	0.08066209242564702	0.5116793709009557	0.8752313195234808	0.5237557352912697	0.8705787980801869	0.15199322010669108	0.9999859604436026	0.48765995842503557	0.044701821708451106	0.9660444584676	0.9806868003379896	0.9131212961164908	0.482149490514502	0.409228814036471	0.7776104995473342	0.001708354635612282	0.1801868648676842	0.9328461235891793	0.4644849323691008	0.4604025460947582	0.465514374135733	0.9996430253441158	0.9993766491197649	0.46792321770237333	0.6758966402694161	0.9602663821395904	0.44494637071758103	1.0	0.6377252444563938	0.5134981107808987
"G6(+/-)"	0.9992530544033391	0.5473731546461192	0.5095138653942936	0.07069690862409876	1.0	0.0340156825581061	0.07679234848420866	0.7865773475683525	0.6007713593484844	0.9037584880968278	0.2671344913262366	0.40951018054546157	0.2926651119088078	0.018673534046694633	0.7498132987817407	0.05310908151962753	1.0	1.0	1.0	0.24848822684435076	0.08066209454755778	0.5116793715092834	0.8752310790952903	0.5237557346906779	0.8705795770299207	0.15199321910459607	0.9999859497789543	0.4876599571054979	0.044701822336307415	0.9660444606510293	0.9806867933407748	0.9131212782895893	0.48214945872999965	0.4092288141227393	0.77761049954077	0.0017083546596963698	0.1801871557985626	0.9328477628632202	0.4644846317978383	0.46040254608182735	0.46551234670083813	0.9996430185040872	0.9993766491197615	0.46792321556418753	0.6758971609718383	0.9602663659094998	0.44494636504226637	1.0	0.6377252443130107	0.5134981107822202
"G7(+/-)"	0.9992530581561166	0.5473731560858267	0.5095137923992246	0.071064297636707	1.0	0.06713328617634659	0.0383961742411637	0.7865773627700792	0.795458106204217	0.9839201318203928	0.28620489203941146	0.40951019680169154	0.292665289870828	0.018673547255868457	0.7498227519111537	0.05310908124763293	1.0	1.0	1.0	0.24848787205968836	0.08066209242564963	0.5116793709009562	0.875231319523032	0.5237557352912697	0.8705795918575991	0.15199322010668986	0.9999859604435654	0.48765995842503407	0.04470182170845188	0.9660444584676091	0.9806868003379786	0.913121296116445	0.4821494905148012	0.40270498498625057	0.7776104995473342	0.0017083546356123126	0.18018686487540542	0.9328461236402819	0.4644847965029355	0.4604025460947582	0.46551437408195756	0.9996430253441078	0.9993766491197649	0.46792321770238676	0.6758966402771447	0.9602663821395394	0.4449463707175763	1.0	0.6377252444563956	0.5134981107808987
"G8(+/-)"	0.9992530544033391	0.5473731546461192	0.5095138653942936	0.07069690862409876	1.0	0.0680313651162122	0.07679234848420866	0.39328867378417626	0.6007713593484844	0.9037584880968278	0.2671344913262366	0.40951018054546157	0.2926651119088078	0.018673534046694633	0.7498132987817407	0.05310908151962753	1.0	1.0	1.0	0.24848822684435076	0.08066209454755778	0.5116793715092834	0.8752310790952903	0.5237557346906779	0.8705795770299207	0.15199321910459607	0.9999859497789543	0.4876599571054979	0.044701822336307415	0.9660444606510293	0.9806867933407748	0.9131212782895893	0.48214945872999965	0.4092288141227393	0.77761049954077	0.0017083546596963698	0.1801871557985626	0.9328477628632202	0.4644846317978383	0.46040254608182735	0.46551234670083813	0.9996430185040872	0.9993766491197615	0.46792321556418753	0.6758971609718383	0.9602663659094998	0.44494636504226637	1.0	0.6377252443130107	0.5134981107822202
"G9(+/-)"	0.9992530581561228	0.5473731560858275	0.5095137923983435	0.08334134412628044	1.0	0.06803136488982359	0.0767923484823274	0.7865773612783543	0.3003856884341631	0.9037584885218413	0.26713449132215655	0.4095101968017039	0.29266787482749246	0.018673547256039646	0.7498132975477938	0.0531090812476327	1.0	1.0	1.0	0.24848787205311693	0.08066209242564772	0.5116793709009557	0.8752313195233604	0.5237557352912697	0.8705799579132777	0.15199322010669078	0.9999859604435921	0.4876599584250352	0.04470182170845132	0.9660444584676028	0.9806868003379866	0.9131212961164783	0.4821494905149934	0.40922881416103085	0.7776104995473342	0.00170835463561229	0.18018686487001184	0.9328461236046254	0.4644849324381217	0.4604025460947582	0.4655143741195209	0.9996430253441136	0.9993766491197649	0.4679232177023775	0.675896640271681	0.9602663821395765	0.4449463707175797	1.0	0.6377252444563966	0.5134981107808987
