"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.31835099873568545	0.5022566372191882	0.514035042701009	1.0	0.022447354127670387	0.9994891652528504	0.37408390884466036	0.48407697738395095	0.6181103073118287	0.06139035310862385	0.9991694600215191	0.1956524857299251	0.9774027712084028	0.5258312827940925	0.5451777923924216	0.4866335742974981	1.0	0.4918693233267117	0.5308158866245497	0.5331663142742382	0.5436627412127246	0.4574434059349045	0.8603026089889187	0.6298313945457207	0.18987635843279851	0.5924021853464716	0.8023074045243874	0.47497063887386193	1.0	0.6873730931480889	0.8986098802300806	0.5453065986165311	0.052582657219829444	0.48100591954438143	0.5787301229724628	0.0467088214463774	0.08778906297215291	0.5262178089807243	1.0	0.9590117432729551	0.44202838129478206	0.29109194473774175	0.26845022297839616	0.23262304490609062	0.2790426897772975	1.0	1.0	0.49037188292872613	0.19785658591666738	0.9993471328792356
"G1(-/-)"	0.0	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.19565248571385319	0.9774027709127585	0.5258312828124286	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G2(-/-)"	0.5920680261138727	0.0	0.9999996324456759	1.0	0.40276405762503226	0.9999999999999806	0.7278227745971864	0.4840769774333883	0.6181102990009808	0.06139035310843847	0.9991694600268018	0.19565248565221646	0.9774027692247109	0.5258312828901099	0.545177792386397	0.4866335750358723	1.0	0.4918693233286803	0.5308158366513752	0.5331663175784992	0.5436627411501058	0.45744340593165683	0.8603026090148203	0.6298313964659451	0.18987635840830894	0.5924021846211687	0.8023074048747209	0.4749706385907119	1.0	0.6873730931669121	0.8986098810019475	0.5453065989676826	0.05258262025769818	0.4810059193963355	0.5787301235987851	0.04670875079195855	0.087789046797872	0.5262178087888124	1.0	0.9590117432729287	0.44202838130226507	0.29109194429249874	0.26845022297179816	0.2326229819023515	0.27904268977729535	1.0	1.0	0.4903718826479991	0.19785658587853	0.999347132878914
"G3(-/-)"	0.3183509986950397	0.50225663720923	0.0	1.0	0.022447335861506403	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.19565248571385319	0.9774027709127585	0.5258312828124286	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G4(-/-)"	0.7262824675293054	0.9999999951625552	0.5140342589536632	0.0	0.5747607454322704	0.9999999999999806	0.041429606348866686	0.4840769774333883	0.6181102990009808	0.9999999999518606	0.012003946783464748	0.9999999921066937	0.9774027692247109	0.06677669929479874	0.545177792386397	0.013235113300132908	1.0	0.4918693233286803	0.9999988275639188	0.5331663175784992	0.5436627411501058	0.45744340593165683	0.8603026090148203	0.6298313964659451	0.18987635840830894	0.5924021846211687	0.8023074048747209	0.4749706385907119	1.0	0.6873730931669121	0.8986098810019475	0.5453065989676826	0.05258262025769818	0.4810059193963355	0.5787301235987851	0.04670875079195855	0.087789046797872	0.5262178087888124	1.0	0.9590117432729287	0.44202838130226507	0.29109194429249874	0.26845022297179816	0.2326229819023515	0.27904268977729535	1.0	1.0	0.4903718826479991	0.19785658587853	0.999347132878914
"G5(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.0	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.19565248571385319	0.9774027709127585	0.5258312828124286	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G6(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.0	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.19565248571385319	0.9774027709127585	0.5258312828124286	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G7(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.9994891652497381	0.0	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.19565248571385319	0.9774027709127585	0.5258312828124286	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G8(-/-)"	0.592068031966895	0.5022566371708863	0.514035029586437	1.0	0.022447214437982876	0.9994891652333852	0.3741761955751839	0.0	0.6181102990009799	0.06139035310843847	0.9991694600268018	0.19565248565221646	0.9774027692247109	0.5258312828901099	0.9999999999999906	0.4866335750358723	1.0	0.04215633198800088	0.5308158366513415	0.06774196933726356	0.9999999999906964	0.9432618079083132	0.06431408710739059	0.18741264644823355	0.9999999999697146	0.9999999990935974	0.11508226847706308	0.5048382279191632	1.0	0.2626652766333209	0.1363408467661471	0.5453065989676826	0.0024796501926803716	0.7537782378219768	0.5787301235987851	0.04670875079190376	0.17557183690245473	0.5262178087888124	1.0	0.9590117432729285	0.44202838130226507	0.29109194429249874	0.26845022297179816	0.23262298190231095	0.27904268977729524	1.0	1.0	0.7041665445770534	0.5770840172692798	0.999347132878914
"G9(-/-)"	0.5920680323963597	0.5022566371708863	0.9999999920449583	1.0	1.8757609728005416E-6	0.006712168145471004	0.22282443909924213	0.4840769774333883	0.0	0.06139035310843847	0.9991694600268018	0.19565248565221646	0.0490479953748786	0.5258312828901099	0.545177792386397	0.4866335750358723	1.0	0.4918693233286803	0.5308158366513369	0.5331663175784992	0.5436627411501058	0.45744340593165683	0.8603026090148203	0.6298313964659451	0.18987635840830894	0.5924021846211687	0.8023074048747209	0.4749706385907119	1.0	0.6873730931669121	0.8986098810019475	0.5453065989676826	0.052582620257688034	0.4810059193963355	0.5787301235987851	0.04670875079189559	0.0877890467978686	0.5262178087888124	1.0	0.9590117432729287	0.44202838130226507	0.29109194429249874	0.26845022297179816	0.23262298190230513	0.27904268977729535	1.0	1.0	0.4903718826479991	0.19785658587853	0.999347132878914
"G10(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.0	0.9991694600227266	0.19565248571385319	0.9774027709127585	0.5258312828124286	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G11(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.0	0.19565248571385319	0.9774027709127585	0.5258312828124286	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G12(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.0	0.9774027709127585	0.5258312828124286	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G13(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.19565248571385319	0.0	0.5258312828124286	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G14(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.19565248571385319	0.9774027709127585	0.0	0.5451777923911992	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G15(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.19565248571385319	0.9774027709127585	0.5258312828124286	0.0	0.4866335744275376	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
"G16(-/-)"	0.3183509986950397	0.50225663720923	0.5140350406878088	1.0	0.022447335861506403	0.9994891652497381	0.3740839089159975	0.48407697739397126	0.6181103059833982	0.06139035310857885	0.9991694600227266	0.19565248571385319	0.9774027709127585	0.5258312828124286	0.5451777923911992	0.0	1.0	0.49186932332711103	0.5308158793299413	0.5331663148325698	0.5436627412000128	0.45744340593424543	0.8603026089941741	0.6298313948823812	0.1898763584277003	0.5924021852078477	0.8023074045869113	0.47497063882100315	1.0	0.687373093151908	0.8986098803784436	0.5453065986796543	0.052582651523821106	0.48100591951522637	0.5787301230801455	0.046708811227955935	0.08778906041007628	0.5262178089440959	1.0	0.9590117432729485	0.44202838129620936	0.29109194465700894	0.2684502229769739	0.23262303567785492	0.27904268977729696	1.0	1.0	0.4903718828742414	0.1978565859089104	0.9993471328791744
