"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.04284209972560061	0.5472111109735835	0.9999999450866848	0.23806172837032277	0.5549955989318152	0.4809174022095549	0.9381274807415678	0.6067707756825529	0.5232677715221538	0.9910149759372383	1.0	0.1801457206650781	1.0	0.7235629087033296	0.04267558642964642	0.2728748127047	0.010929808882560977	0.9336938287741013	0.5023251172380643	0.9999888369195007	0.5244594890747031	0.8875590179787048	0.6459392466918991	0.6883774930343045	0.330285944273879	1.0	0.4445561764930617	0.5163380001621316	0.636641239069113	0.01518717145597492	0.7519361345541623	0.1387688619804911	1.0	0.6164340395095425	0.2359575202614734	0.5184974526884695	0.012357749242489882	0.9999999439914902	0.5283590861291331	0.514017448529125	0.017884042857948635	1.0	0.5454819556960975	0.1945979163777719	0.447980120524336	0.9958956027781001	0.08939032657892931	0.5027778563686827	0.5265438250995497	0.24923529375376582
"G1(-/-)"	0.0	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.5549955989318007	0.48091740220945045	0.9381274807415391	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G2(-/-)"	0.9999991999927336	0.0	0.2634284014420922	0.23806172837034126	0.5549955989317575	0.9999999993342605	0.9381274807414532	0.6067707756824363	0.5232677715221536	0.991014975937252	1.0	0.18014572066515272	1.0	0.7235629087024298	0.0426755864296464	0.27287481270470076	0.01092980888258435	0.9336938293962179	0.5023251172135269	0.9999888369195002	0.5244594889912442	0.887559017961698	0.6459392462991185	0.6883774930462216	0.3302859462399852	1.0	0.44455617682916543	0.5163380001623215	0.6366412398085505	0.015187171391997269	0.7519361275206697	0.13876886114242162	1.0	0.6164340395517411	0.23595752558691246	0.5184973813162063	0.012357749238426056	0.9999999439914903	0.5283590912030093	0.514017448516986	0.017884011487313674	1.0	0.5454820381680247	0.19459791634293108	0.4479801221075858	0.9958956027781393	0.08939032566054911	0.5027778563699957	0.5265438246104711	0.24923529375343562
"G3(-/-)"	0.04284209943605003	0.5472111109735861	0.0	0.2380617283703275	0.5549955989318007	0.48091740220945045	0.9381274807415391	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G4(-/-)"	0.15950778374084196	0.09894965539418095	0.9999999999999996	0.0	0.9999999999991266	0.8764480190821957	0.9999999999999805	0.9999999999310779	0.5232677715221534	0.991014975937252	1.0	0.0061956549337835376	1.0	0.9999998358299831	0.04267558642964639	0.27287481270470093	0.005476339319251785	0.9336938293962183	0.5023251172135269	0.9999888369195002	0.5244594889912442	0.8875590179616979	0.6459392462991185	0.6883774930462219	0.3302859462399865	1.0	0.44455617682916565	0.5163380001623215	0.6366412398085509	0.015187171391997267	0.7519361275206646	0.1387688611424211	1.0	0.6164340395517411	0.2359575255869163	0.5184973813152131	0.012357749238426056	0.9999999439914903	0.52835909120302	0.514017448516986	0.01788401148715636	1.0	0.5454820381684383	0.19459791634293094	0.4479801221075876	0.9958956027781393	0.08939032566054868	0.5027778563699957	0.5265438246104701	0.24923529375343562
"G5(-/-)"	0.04284209943605003	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.0	0.48091740220945045	0.9381274807415391	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G6(-/-)"	0.04284209943605003	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.5549955989318007	0.0	0.9381274807415391	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G7(-/-)"	0.04284209943605003	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.5549955989318007	0.48091740220945045	0.0	0.6067707756825246	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G8(-/-)"	0.04284209943605003	0.5472111109735861	0.9999999450866848	0.2380617283703275	0.5549955989318007	0.48091740220945045	0.9381274807415391	0.0	0.5232677715221536	0.9910149759372421	1.0	0.18014572066509688	1.0	0.723562908703107	0.04267558642964641	0.2728748127047002	0.010929808882566838	0.9336938288821353	0.5023251172331193	0.9999888369195007	0.524459489058489	0.8875590179757933	0.6459392466232593	0.688377493036864	0.330285944619552	1.0	0.44455617655189394	0.5163380001621676	0.6366412391998989	0.015187171443056377	0.7519361333178385	0.1387688618343143	1.0	0.6164340395167608	0.2359575211976599	0.5184974426730509	0.012357749241584386	0.9999999439914903	0.5283590869567506	0.514017448526574	0.01788403806085119	1.0	0.545481968307452	0.19459791637244261	0.44798012079400823	0.9958956027781103	0.08939032641307161	0.5027778563689798	0.5265438250198101	0.24923529375368678
"G9(-/-)"	0.04279965242015958	0.5494633873794189	0.9999999295073436	0.9999999997310327	0.51568095821142	0.4797541480468782	0.5033523474093157	0.9999999995197213	0.0	0.021537523092759248	1.0	0.40892687128479455	1.0	0.5234961412448073	0.04267558642964639	0.9999999999998729	0.6396536805969038	0.9340684064083499	0.5023248488357044	0.9999888367401537	0.5243577959512948	0.891179320421035	0.6544784289257944	0.9158731153394264	0.34266959820426945	1.0	0.4188605768009921	0.5163380317622539	0.6370712298130489	0.015187171391997267	0.7332170078580108	0.13769328356695798	1.0	0.6164617244733003	0.2536787377295661	0.5184973063304045	0.012357749238426056	0.9999999439914903	0.5284855172385108	0.5110659806231214	0.01788401148725637	1.0	0.5454820381681752	0.19459791634293103	0.44798012210758653	0.9958956027781393	0.08939032566054893	0.5027778563699957	0.5265382901774063	0.24923529375343562
