"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"wt"	0.7638774326048056	0.4497368954241185	0.15977955881181413	0.29159642423892645	0.5386053750751901	0.5755637625364323	0.6763083335402441	0.071410401443604	0.02976175807752605	0.054198262187934165	0.3644875962095654	0.28715358045163025	1.0	0.3393602539613223	0.1819261691796607	0.5937980143988185	0.5110044932877695	0.023052993476924865	0.6499704558954031	0.6683421205218646	0.1548269521011594	0.009896730977912015	0.4919370580422272	0.25040463968070503	0.9943600386325414	0.5088044730128163	0.23375076511992912	0.649070726533443	0.01360918615910747	0.36664575267240634	0.8778579293555203	0.6028838992552019	0.994914999160913	0.3706200013300486	1.0	0.7744185315278793	0.7484693861939107	0.8549501588813198	0.08640776804646304	0.35269331964303247	0.9623027094032935	1.0	0.5894746908096111	1.0	0.8252151979464423	0.5299965326810041	0.4530292425107155	0.7395998148298537	0.8607594934075167	0.8226195641804809
"G1(-/-)"	0.0	0.027066148819231545	0.15977952885545896	0.2915964330918597	0.5386053667176259	0.5755637921871922	0.6763083095536827	0.07141040778841615	0.029761698665226665	0.05419825686616112	0.36448759731873365	0.28715358809932684	1.0	0.3393601931326816	0.18192616792649727	0.5937988022684878	0.5110044928821623	0.023052876727775024	0.6499704616885719	0.6683421069779298	0.15482689323064538	0.009896730977920532	0.4919370387814725	0.2504046926677338	0.9943601132507002	0.5088044730128171	0.23375075934014913	0.6490707373431664	0.013609151216306455	0.3666457559065879	0.8778579354117412	0.6028839005392279	0.9949150079373715	0.3706199995305072	1.0	0.7744185409807965	0.7484696083864466	0.8549501655726632	0.08640775823136793	0.35269346755545294	0.9623029009816985	1.0	0.5894743285728622	1.0	0.825215200501319	0.5299965327030842	0.4530292268551753	0.7396000666841294	0.8607597208034201	0.8226193372975165
"G2(-/-)"	0.763877441676363	0.0	0.15977955370240549	0.2915964258079672	0.5386053736117203	0.5755637690477454	0.6763083296143835	0.0714104024760466	0.02976174856091661	0.05419826128986899	0.3644875963856165	0.28715358177121775	1.0	0.339360243622664	0.18192616895373978	0.5937981322231584	0.511004493217991	0.023052975166877234	0.6499704569161842	0.6683421183562791	0.15482694200678943	0.009896730977913179	0.4919370546518938	0.25040464699221715	0.994360050561663	0.5088044730128164	0.23375076418673227	0.6490707284848627	0.013609180585207306	0.3666457532572104	0.877857930306713	0.6028838994736058	0.99491500055555	0.3706200007973718	1.0	0.77441853314919	0.7484694219171899	0.854950160020525	0.08640776649916636	0.35269334292545196	0.9623027395232687	1.0	0.5894746377825704	1.0	0.8252151984051845	0.5299965326854148	0.4530292399301686	0.7395998559575737	0.8607595285539099	0.8226195293199804
"G3(-/-)"	0.9653095117682525	0.47104131999778054	0.0	0.2915964330916592	0.5386053667178313	0.575563792191574	0.6763083095549092	0.07141040778801042	0.029761698668870053	0.05419825686635243	0.3644875973186523	0.2871535880990914	1.0	0.3393601931347457	0.18192616792652272	0.5937988021780793	0.511004492882175	0.023052876735783708	0.6499704616884344	0.6683421069787981	0.15482689323174442	0.009896730977920532	0.49193703878193584	0.2504046926573669	0.99436011324598	0.5088044730128171	0.23375075934052328	0.6490707373429502	0.013609151218321623	0.3666457559065251	0.8778579354113388	0.6028839005391798	0.9949150079368642	0.37061999952995234	1.0	0.7744185409804631	0.7484696083719143	0.8549501655724385	0.0864077582321173	0.3526934675461342	0.9623029009696241	1.0	0.5894743286234172	1.0	0.82521520050132	0.5299965327030842	0.45302922685594404	0.7396000666721987	0.8607597207831887	0.8226193373159616
"G4(-/-)"	0.4248010321415687	0.35733003918379924	0.8312347845971165	0.0	0.9999999981869983	0.035479826840786065	0.9999999320375124	0.01579310864465578	0.23481791619775105	0.05419825686604048	0.36448749309819345	0.28139706020560507	1.0	0.3393601931313888	0.18192616792648256	0.5937988023386404	0.5110751862898025	0.015398873289448754	0.6499704616886528	0.737471729993695	0.18331154571363414	0.009896728715526264	0.49193703878119766	0.25040469267652415	0.764945144624945	0.5088044730128171	0.25228279129775416	0.6490707373432925	0.013609151214949152	0.3666457559066241	0.8778579354120176	0.3802723470122727	0.9990228607163069	0.36286465373854726	1.0	0.7744185409810105	0.7035575360972328	0.854950165572804	0.156219661462019	0.5075201904378279	0.9623029009899093	1.0	0.5894743285319254	1.0	0.8253978399378101	0.5299965327030842	0.45302922685466274	0.7396000666919499	0.8607597208185397	0.9665269781474303
"G5(-/-)"	0.763877441676363	0.44973689692385527	0.15977955370240549	0.2915964258079672	0.0	0.5755637690477454	0.6763083296143835	0.0714104024760466	0.02976174856091661	0.05419826128986899	0.3644875963856165	0.28715358177121775	1.0	0.339360243622664	0.18192616895373978	0.5937981322231584	0.511004493217991	0.023052975166877234	0.6499704569161842	0.6683421183562791	0.15482694200678943	0.009896730977913179	0.4919370546518938	0.25040464699221715	0.994360050561663	0.5088044730128164	0.23375076418673227	0.6490707284848627	0.013609180585207306	0.3666457532572104	0.877857930306713	0.6028838994736058	0.99491500055555	0.3706200007973718	1.0	0.77441853314919	0.7484694219171899	0.854950160020525	0.08640776649916636	0.35269334292545196	0.9623027395232687	1.0	0.5894746377825704	1.0	0.8252151984051845	0.5299965326854148	0.4530292399301686	0.7395998559575737	0.8607595285539099	0.8226195293199804
"G6(-/-)"	0.763877441676363	0.44973689692385527	0.15977955370240549	0.2915964258079672	0.5386053736117203	0.0	0.6763083296143835	0.0714104024760466	0.02976174856091661	0.05419826128986899	0.3644875963856165	0.28715358177121775	1.0	0.339360243622664	0.18192616895373978	0.5937981322231584	0.511004493217991	0.023052975166877234	0.6499704569161842	0.6683421183562791	0.15482694200678943	0.009896730977913179	0.4919370546518938	0.25040464699221715	0.994360050561663	0.5088044730128164	0.23375076418673227	0.6490707284848627	0.013609180585207306	0.3666457532572104	0.877857930306713	0.6028838994736058	0.99491500055555	0.3706200007973718	1.0	0.77441853314919	0.7484694219171899	0.854950160020525	0.08640776649916636	0.35269334292545196	0.9623027395232687	1.0	0.5894746377825704	1.0	0.8252151984051845	0.5299965326854148	0.4530292399301686	0.7395998559575737	0.8607595285539099	0.8226195293199804
"G7(-/-)"	0.763877441676363	0.44973689692385527	0.15977955370240549	0.2915964258079672	0.5386053736117203	0.5755637690477454	0.0	0.0714104024760466	0.02976174856091661	0.05419826128986899	0.3644875963856165	0.28715358177121775	1.0	0.339360243622664	0.18192616895373978	0.5937981322231584	0.511004493217991	0.023052975166877234	0.6499704569161842	0.6683421183562791	0.15482694200678943	0.009896730977913179	0.4919370546518938	0.25040464699221715	0.994360050561663	0.5088044730128164	0.23375076418673227	0.6490707284848627	0.013609180585207306	0.3666457532572104	0.877857930306713	0.6028838994736058	0.99491500055555	0.3706200007973718	1.0	0.77441853314919	0.7484694219171899	0.854950160020525	0.08640776649916636	0.35269334292545196	0.9623027395232687	1.0	0.5894746377825704	1.0	0.8252151984051845	0.5299965326854148	0.4530292399301686	0.7395998559575737	0.8607595285539099	0.8226195293199804
"G8(-/-)"	0.7638774847515631	0.44973690397583277	0.15977952885493507	0.2915964330919673	0.5386053667175147	0.6259773586298556	0.6763083095529444	0.0	0.04471595292988983	0.05419825686605241	0.364487488912301	0.2813970613438327	1.0	0.33936019313151555	0.18192616792648372	0.5937988023294557	0.511075186069882	0.015144379846189717	0.6499704616886456	0.8486999580002301	0.2514509162051031	0.009896728580426225	0.4919370387812223	0.2504046926752374	0.9869197358465543	0.5088044730128171	0.2337507593399186	0.6490707373432816	0.013609151215095436	0.3666457559066212	0.8778579354119872	0.6028839005392556	0.999999999938771	0.3627964074367664	1.0	0.7744185409809892	0.7484696083955606	0.8549501655727906	0.19201910046166742	0.5511541650364109	0.9623029009890134	1.0	0.5894743285375974	1.0	0.82539954817738	0.5299965327030842	0.4530292268547174	0.7396000666911364	0.8607597208166503	0.9999987967240394
"G9(-/-)"	0.7638774847508509	0.4497369039757231	0.15977952885545896	0.2915964330918597	0.5386053667176259	0.5755637921871922	0.6763083095536827	0.07141040778841615	0.0	0.05419825686616112	0.36448759731873365	0.28715358809932684	1.0	0.3393601931326816	0.18192616792649727	0.5937988022684878	0.5110044928821623	0.023052876727775024	0.6499704616885719	0.6683421069779298	0.15482689323064538	0.009896730977920532	0.4919370387814725	0.2504046926677338	0.9999998795454828	0.5088044730128171	0.23375075934014913	0.6490707373431664	0.013609151216306455	0.3666457559065879	0.8778579354117412	0.6028839005392279	0.9949150079373715	0.3706199995305072	1.0	0.7744185409807965	0.7484696083864466	0.8549501655726632	0.08640775823136793	0.5754280962497598	0.9623029009816985	1.0	0.5894743285728622	1.0	0.825215200501319	0.5299965327030842	0.4530292268551753	0.7396000666841294	0.8607597208034201	0.8226193372975165
