,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
S1,10,0,0,0,7,0,0,0,0,0,2,0,7,6,4,5,5,0,0,0
S2,0,9,0,2,0,0,8,0,5,0,8,0,4,10,0,3,9,0,3,0
S3,3,1,9,4,8,0,4,13,0,0,10,0,17,8,3,13,6,0,9,13
S4,8,0,0,6,0,5,8,0,3,0,0,0,3,0,0,0,9,0,9,0
S5,9,10,10,0,0,8,0,0,9,0,10,0,11,5,7,9,10,0,13,7
S6,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
S7,3,0,9,9,0,0,8,6,4,0,8,0,11,12,3,1,10,0,0,11
S8,5,0,10,0,2,5,0,0,0,0,3,0,0,8,0,0,4,0,0,9
S9,0,0,0,4,0,0,0,1,0,0,0,0,6,0,0,1,4,0,6,7
S10,4,5,0,2,0,6,9,0,6,0,10,0,3,5,0,0,10,0,11,0
S11,2,0,7,9,0,8,5,0,0,0,0,0,6,0,0,0,13,0,0,0
S12,0,0,0,7,0,5,0,0,0,0,4,0,0,5,0,6,7,0,0,7
S13,22,16,8,12,0,16,11,0,7,5,16,7,14,0,4,2,27,0,9,0
S14,4,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,13,0,4,0
S15,13,8,6,7,0,9,6,0,11,0,6,0,2,8,0,8,13,0,5,0
S16,0,5,5,5,0,0,0,0,0,0,0,0,8,4,0,0,3,0,0,7
S17,0,0,6,5,4,0,0,7,10,4,0,0,4,4,6,0,8,0,11,6
S18,4,4,9,7,0,0,3,7,11,0,6,7,10,7,11,4,5,0,6,13
S19,0,0,0,2,0,10,1,0,5,0,13,0,4,0,11,0,10,0,7,0
S20,0,5,0,0,0,0,0,0,4,0,6,0,0,5,0,0,7,0,9,0
