,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
S1,6.47396022420857,3.44734420254936,2.48165855998325,1.36515166371875,2.12640914519285,4.26813956602285,4.06899930516892,2.59048935957792,3.91005445429835,1.68530638705552,5.75358733776826,3.73235625980876,2.01539993929752,4.58770182833677,3.3829481505277,3.34295679940125,8.17622992364981,0.4775575412972,3.15228608071803,3.33423140315933
S2,2.78517968930675,3.47594133033628,1.23090775765534,3.3778315900001,0.932325597696746,6.96398374432964,7.43175029877012,1.82570474863967,3.01285849207374,5.77274744273207,0.942860362275501,3.15327930853942,3.47885253652862,4.15459694156545,4.95858902408361,5.02266849164777,10.4630664977798,0.388050837683956,2.25622384657154,3.5101421294517
S3,4.6063591651839,3.88444423970642,1.36169804825333,2.85950490895587,3.17681604781689,2.995307907716,4.06316525400113,2.72824764041968,3.75654792020584,3.07226035004532,6.72469378869898,4.4143311839673,2.82821936531248,4.90085131167975,4.6870471519936,3.01322621358009,8.79333968206127,0.17631683982131,4.16962641769267,4.39704325350992
S4,4.29452458453768,2.82602403629868,0.307286678087308,1.05831224939188,0.581871637230819,0.446203326746619,4.93459033014983,5.2302679316932,2.25509956850628,1.0940447049327,1.36212703907856,1.87266529612774,7.08074219784127,1.40171361826138,3.3485523437009,0.846778381748416,4.82732008259248,0.79157079758557,1.58645501636176,5.49449314860799
S5,4.8076587236912,2.74612468867872,0.374331595903816,0.901599816649655,0.806170757122272,0,6.68427048539994,3.20499777894909,1.19851725317945,0.0478513284573885,1.24924148556985,1.70389107840296,2.33312240324085,2.98690012627111,2.97152681124187,1.16381598186995,2.30560903702345,0,2.46427018620617,5.45017996859085
S6,4.70582988669402,1.2106460595487,0.83660801589457,0.425662013178453,2.09118066387121,0.683744498310099,5.00640631159992,4.30834393959225,2.24058986916554,0.95274591845838,1.95746128079875,2.41176914739405,2.26356769218139,2.63252015455625,1.65234768165677,2.45582804552742,3.45039821366167,0.61746631120717,1.66261758256521,5.56229738932764
S7,3.66831826249108,3.16724028239904,2.27512661847351,1.1646289428486,1.01001334321829,1.73207351499534,6.18339208673429,6.32657302668999,1.23393012088134,1.95310974313422,0.451927396660519,1.42434824876629,3.19259686772642,2.92451242050301,2.51877330718896,0.647748961625693,7.12716932685665,0.158960541226562,2.77017564678041,3.17508073949464
S8,7.04399381382756,0.205625019804507,1.50333275196122,5.90360996410594,0.820022311640516,7.07519274753213,5.56482004580434,2.58702483613823,3.36683541129768,3.55762243307789,3.34787765890975,5.60375460417173,4.6496212320598,4.56105808958437,6.61011944418415,4.68524778019294,12.3633837615543,0.13807222078331,3.19721051323984,3.24714813881081
S9,5.73639644700841,1.55693698366957,1.8346170986063,4.64493404881826,2.26783867518566,6.40494384911483,4.70995906622377,3.323448686499,3.45439802123163,2.8640831930205,2.51531103108576,6.62814606047106,5.91062354390787,3.53356718513662,5.78453504547988,3.6857561502307,12.2531158400531,0.182525957575285,3.47491213573156,3.11964783102588
S10,6.38328765524347,2.82746989354896,2.88507059264861,0.695489118588105,6.40436723499167,2.83698098888222,6.36774163490294,6.4607081461727,3.24883803486974,2.53357709661461,3.35346095500544,4.97656283616255,4.89820425894757,1.73708507263158,1.69047661678895,3.3032146969086,5.34284807146193,0.153786650438116,3.22624100595833,6.71094672194833
S11,3.6338682587898,2.93204797564805,0,1.26041922085963,0.593743286866763,0.130706910354149,4.61370540616301,3.98690990058778,2.11943113679367,0,1.92384259829958,1.503532789648,5.74658079338623,1.68697759145878,3.09036172784156,1.49082426959452,3.63115235206264,0.490404444878526,1.42629539801916,4.89905346838682
S12,7.7282648106021,4.88201579047327,3.87763933996499,1.01928452092091,7.99889878776591,3.3513249345201,5.88134370319355,7.79807808292021,3.56693101492478,4.44762674906518,4.72725193935851,6.94012200410662,4.33655073299567,2.36585950435504,2.80669201343169,2.74490014388462,7.205678864057,0.908629611380376,5.40528277268275,3.44257789716191
S13,5.86287674321676,6.14752028405107,3.97406412119239,1.99219082564767,4.71613967506634,5.44691272535562,4.18545090122942,1.81515404802913,3.02798863574214,5.46503926587909,3.44194149322922,5.46771131291588,3.19074877976911,8.16655951866967,4.06253598687764,3.32441857448966,7.12342790477884,0.10374407681005,1.99418781676994,1.02967897206628
S14,2.22182968025593,3.95367050005544,1.16740882048611,3.46265490700996,2.70869043294321,5.36104538615697,8.94025067942961,1.72274309765281,0.498602093197517,4.39765037445535,1.40787452210757,6.42553813273502,4.32661532484766,3.91081355466892,6.33279709241672,3.23813484682555,7.02276920778859,0.127562876831133,5.895003259375,1.54146419650853
S15,6.18484326573742,0.793945617948173,1.18749855647,4.03891585027596,1.57343528424252,5.65141567338221,5.91783330719302,2.62479406858341,4.91328005200088,2.88879630690033,2.07767288085905,6.37800418790958,5.78305941612513,3.88474605432515,4.87861925251581,4.46913705126141,10.5965064956087,0.693518637183876,2.76830829417117,2.85004584144995
S16,3.08227490249547,3.92910708154191,0.769051966661885,3.55858203699309,1.78266687263597,5.46088923452457,7.59080810626625,2.31640623148115,0.447922142290939,4.31997062654019,2.02717908588303,6.07260381069272,3.69049364616055,3.57981181245836,4.99606581383364,3.19395336626927,8.15643469561961,0.305529559031416,5.54172866977729,2.70595587482523
S17,2.26080624981308,4.01968983619479,1.38252116445545,3.49196967061287,1.35166492700694,7.21379386863453,5.97235999484624,1.11753332581422,0.751129681916119,3.62419466668924,0.813667589925544,5.23771615626156,4.0967555324601,4.33208583758108,5.30921503005562,3.54465541453067,10.7328668573158,0.151695895531616,4.37479427247707,3.41228509550597
S18,6.57455963737193,5.23280739182935,2.08885206750449,5.66815063020735,3.38166248031737,4.37913638158261,5.80400915996132,1.62937456251357,1.836456442692,5.11328692234067,1.49497956518616,5.83571054189126,3.56110481952511,4.26422651522565,5.46460527124011,3.77679314668652,6.71870411081946,0,4.41388698857534,1.69956310916329
S19,5.83530052959912,4.12420209167744,3.3862471294627,1.32344269856314,5.83603106491108,0.815854726235129,5.46840317802016,4.05453201451151,4.97736971486462,7.55722743229882,5.93161963007476,9.25709334400841,5.45340951971628,4.32970975280472,4.20234380364669,3.86603280167608,7.13084568230071,0.506740534488668,4.46501865195755,2.09926922105642
S20,2.0206781073208,3.88068471478871,1.5495107385657,3.3200651903903,1.06857982715119,7.0134471675812,6.2248165474867,1.3109802979337,0.732426363633835,4.43623702972373,0.784170166825053,5.27201957122509,3.80506741312704,4.44141956375781,5.87718272902997,4.12284306889856,10.6185242459025,0.212207371097028,4.47701636206065,3.57830539631127
S21,6.44582614925044,3.34882432049838,4.2171704756297,0.571042670291742,6.35992245254811,1.81110401440624,6.55314028755933,6.09741990528055,3.16203240253796,5.20709327849159,4.94545725371808,8.7975690591264,4.80122256881514,2.80927245242591,3.22304457853694,3.45509702679512,7.23514374664646,0.188015689840114,3.00153211198621,1.71957225187721
S22,6.70468906639104,1.15452171478168,0.202675393513606,0.444834309860578,1.0543243567579,0.565275394847217,4.93311912269017,4.17649075706784,2.33308286409982,0.155995390269408,1.54059425855903,1.55473916763463,2.18162614943738,3.96200054604791,1.8501614015838,2.45845002144215,3.3639607653204,0.703020073811399,2.05140730281682,4.68440357405473
S23,4.46656427933362,5.48699885947656,2.72846965531131,1.68394779999018,5.99968685441567,6.19469126573239,3.9351397286377,2.34449965195851,2.45645374992668,5.2477163046625,3.43113701165249,7.00910958383301,3.37190087731005,6.7523138199937,3.26195110799368,3.93816047028138,6.10434954042659,0.166063957664259,1.92389623067838,1.25574848768885
S24,8.51397148085929,3.28518036935415,2.70379177012103,0.220218406881222,8.12041892555785,3.75109194226231,7.0036770399312,6.77794733350437,3.70662611561614,2.75838041299498,2.51626153763319,6.38222243557148,4.73521161267408,2.99973573394622,1.41830992715938,4.55036234538971,3.46454946284951,0.292673701119498,3.45923061619074,6.36892436112338
S25,7.26856256546908,2.62350322310935,3.21643024449119,0.602920067206856,6.41031628784863,3.0125320285266,5.81958072122091,6.62746623333542,3.69911122478744,2.19905493071751,3.30560020740419,5.6578392825396,4.79439187431759,1.97883012026517,1.62012453691628,3.66154763340747,5.55566810009803,0.10837851425983,3.25586856940996,6.80760158227926
S26,2.58114214692568,2.8617689519332,2.12103960308773,3.54117517935733,1.15339819237444,6.328568463711,6.9478264721144,2.50616144207743,3.88191724247823,3.95645380307208,0.771289469245969,3.61895888520141,3.22814471291,5.49706723178513,5.69931921953932,5.42289478331499,10.8908080806789,0.190043767388849,2.45931728743065,3.47512362195689
S27,4.18458458514465,2.76872729895996,0.312458531947121,1.02418356173395,0.542565571510681,0.385028138436354,5.26056240179539,4.33828881313205,2.47096676760977,0.11465596434502,1.2553293938792,1.87957808607194,5.79853351134513,1.92188416970839,3.66130114532079,1.34175766394156,4.61097463566462,0.61473545778234,1.14082225756515,5.78275379984521
S28,7.18914425396468,5.28098823859232,4.05951869066367,0.849473134163593,7.24345726076799,3.03821899348295,6.22190131754916,7.53365289684609,3.29609341924898,5.17225601033925,4.81506384862336,8.38860631823289,3.91685069219825,2.84131417257274,2.48166995362103,3.12305102064503,7.16199981369715,0.546937794683801,4.47334664403706,3.1902005236802
S29,7.16399579860156,4.07566863975863,3.03226114045717,0.844790995685352,5.70561122204811,0.883814665347762,5.41063479157456,4.45914999885122,4.39805192916237,5.03844150136818,5.72569894680086,8.26461072218102,5.22681876492437,3.5788660750309,3.69130262424538,4.42817338546421,8.51456081326801,0.484750269208693,3.68608594864262,2.40160442830283
