TF	Target	EdgeWeight
G17	G9	0.05296294391155243
G17	G2	0.05295838043093681
G1	G9	0.052955467253923416
G1	G11	0.052952636033296585
G1	G15	0.052947673946619034
G1	G19	0.05294424295425415
G17	G6	0.05294092372059822
G17	G1	0.05293037369847298
G1	G12	0.052925776690244675
G1	G5	0.05292057991027832
G17	G15	0.05291297286748886
G1	G4	0.052911560982465744
G14	G1	0.052908893674612045
G17	G3	0.05290668085217476
G17	G4	0.05290454998612404
G14	G19	0.05290428549051285
G1	G0	0.052903711795806885
G14	G4	0.05290137603878975
G17	G11	0.052893321961164474
G1	G7	0.052892278879880905
G1	G10	0.052885740995407104
G1	G17	0.052879806607961655
G17	G5	0.052879348397254944
G1	G14	0.05287221819162369
G14	G3	0.052871957421302795
G1	G2	0.05286749452352524
G14	G18	0.05286271870136261
G1	G16	0.05286021903157234
G14	G2	0.052858561277389526
G17	G18	0.05285700038075447
G1	G3	0.052853286266326904
G14	G0	0.052828431129455566
G1	G13	0.05282609537243843
G17	G13	0.05282381549477577
G17	G12	0.05282272398471832
G1	G8	0.05282263457775116
G14	G6	0.05282090604305267
G14	G5	0.05281677097082138
G14	G16	0.05281387269496918
G17	G8	0.052812542766332626
G17	G10	0.05280689522624016
G1	G6	0.05280562862753868
G14	G10	0.05280553922057152
G14	G7	0.05280418321490288
G14	G13	0.052800215780735016
G17	G16	0.052791349589824677
G17	G19	0.05278647318482399
G17	G14	0.05278562381863594
G17	G0	0.052783455699682236
G14	G9	0.05278164893388748
G14	G11	0.052778709679841995
G14	G12	0.0527786947786808
G14	G17	0.052776630967855453
G17	G7	0.052773162722587585
G1	G18	0.05276728421449661
G14	G8	0.052762988954782486
G14	G15	0.05276059731841087
