TF	Target	EdgeWeight
G17	G54	0.010541816242039204
G56	G67	0.010539641603827477
G56	G57	0.010538441129028797
G17	G26	0.010538020171225071
G93	G5	0.010537841357290745
G62	G92	0.010537770576775074
G17	G28	0.0105377696454525
G14	G96	0.010537533089518547
G17	G14	0.01053742878139019
G74	G76	0.010537197813391685
G14	G54	0.010537047870457172
G44	G19	0.01053682155907154
G14	G6	0.010536759160459042
G62	G52	0.010536415502429008
G62	G77	0.010536319576203823
G93	G64	0.010536243207752705
G84	G40	0.01053587719798088
G1	G93	0.01053525134921074
G14	G77	0.010534733533859253
G62	G23	0.010534696280956268
G74	G95	0.01053459383547306
G93	G95	0.010534374043345451
G17	G40	0.010534043423831463
G93	G73	0.01053392980247736
G74	G59	0.010533828288316727
G67	G47	0.010533801279962063
G74	G63	0.010533659718930721
G74	G19	0.010533418506383896
G67	G36	0.010533392429351807
G84	G26	0.01053313072770834
G17	G67	0.010532951913774014
G44	G23	0.01053294725716114
G14	G71	0.010532915592193604
G56	G0	0.010532150976359844
G14	G21	0.010532146319746971
G67	G88	0.01053206343203783
G56	G18	0.010532060638070107
G93	G74	0.01053201500326395
G44	G41	0.010532003827393055
G44	G46	0.010531888343393803
G1	G73	0.010531574487686157
G14	G81	0.010531426407396793
G56	G54	0.010530725121498108
G67	G55	0.010530541650950909
G62	G27	0.01053046714514494
G84	G86	0.010530396364629269
G1	G11	0.01052985992282629
G1	G13	0.010529760271310806
G17	G96	0.010529405437409878
G93	G14	0.010528972372412682
G74	G43	0.010528745129704475
G74	G60	0.010528737679123878
G67	G30	0.010528502985835075
G17	G35	0.01052821334451437
G44	G77	0.01052816491574049
G62	G83	0.010528095997869968
G56	G53	0.010528048500418663
G17	G3	0.010528035461902618
G1	G16	0.010528022423386574
G84	G81	0.010527512989938259
G1	G53	0.010527235455811024
G14	G24	0.010526753030717373
G56	G66	0.010526737198233604
G17	G12	0.010526666417717934
G44	G96	0.010526619851589203
G84	G80	0.010526293888688087
G17	G32	0.01052621379494667
G74	G2	0.010526188649237156
G17	G62	0.010525988414883614
